uid,start_time_s,duration_s,label
ABAN141223,0.0,0.68,KCHI
ABAN141223,0.42,0.32,OCH
ABAN141223,0.6,3.38,FEM
ABAN141223,2.1,0.98,OCH
ABAN141223,8.2,0.58,FEM
ABAN141223,11.94,0.46,FEM
ABAN141223,13.28,1.24,FEM
ABAN141223,14.68,1.24,MAL
ABAN141223,16.64,0.7,KCHI
ABAN141223,17.92,0.78,KCHI
ABAN141223,18.72,0.42,FEM
ABAN141223,19.7,0.18,FEM
ABAN141223,19.98,3.9,OCH
ABAN141223,20.12,0.6,FEM
ABAN141223,27.86,11.2,FEM
ABAN141223,32.88,1.3,KCHI
ABAN141223,38.96,0.66,KCHI
ABAN141223,39.56,1.88,FEM
ABAN141223,42.02,0.64,FEM
ABAN141223,42.88,5.88,FEM
ABAN141223,44.22,3.46,MAL
ABAN141223,49.36,0.32,KCHI
ABAN141223,49.72,2.02,FEM
ABAN141223,50.0,0.82,KCHI
ABAN141223,51.96,0.24,FEM
ABAN141223,55.84,0.4,FEM
ABAN141223,59.7,2.7,FEM
ABAN141223,62.56,1.12,FEM
ABAN141223,67.66,0.94,FEM
ABAN141223,69.64,1.86,FEM
ABAN141223,70.52,0.82,OCH
ABAN141223,72.68,2.94,FEM
ABAN141223,73.64,0.48,KCHI
ABAN141223,74.82,0.8,KCHI
ABAN141223,78.16,0.76,FEM
ABAN141223,79.6,8.7,FEM
ABAN141223,88.7,0.8,KCHI
ABAN141223,89.44,9.18,FEM
ABAN141223,92.2,0.38,KCHI
ABAN141223,99.22,0.28,FEM
ABAN141223,99.5,1.56,OCH
ABAN141223,100.06,2.44,FEM
ABAN141223,101.9,1.58,OCH
ABAN141223,103.1,1.22,FEM
ABAN141223,104.62,0.34,FEM
ABAN141223,106.04,5.38,FEM
ABAN141223,110.14,1.3,OCH
ABAN141223,111.58,5.58,FEM
ABAN141223,115.42,0.74,KCHI
ABAN141223,119.48,0.94,MAL
ABAN141223,122.7,0.68,FEM
ABAN141223,127.66,0.88,FEM
ABAN141223,129.78,0.48,MAL
ABAN141223,130.22,0.9,FEM
ABAN141223,132.18,1.76,OCH
ABAN141223,137.34,0.34,MAL
ABAN141223,142.46,1.6,FEM
ABAN141223,145.84,1.42,FEM
ABAN141223,148.96,1.04,FEM
ABAN141223,151.0,0.24,FEM
ABAN141223,152.5,0.38,OCH
ABAN141223,158.56,0.64,MAL
ABAN141223,167.16,0.64,FEM
ABAN141223,171.14,1.44,FEM
ABAN141223,213.42,1.4,FEM
ABAN141223,219.54,0.96,FEM
ABAN141223,221.14,0.74,FEM
ABAN141223,221.92,1.16,KCHI
ABAN141223,223.16,0.98,FEM
ABAN141223,228.06,0.74,KCHI
ABAN141223,228.64,1.28,FEM
ABAN141223,230.06,0.7,KCHI
ABAN141223,230.72,0.68,FEM
ABAN141223,231.8,1.2,FEM
ABAN141223,233.0,0.72,KCHI
ABAN141223,233.76,0.84,FEM
ABAN141223,234.56,0.86,KCHI
ABAN141223,238.8,0.52,FEM
ABAN141223,239.7,0.48,KCHI
ABAN141223,242.24,0.52,FEM
ABAN141223,242.74,0.72,KCHI
ABAN141223,243.08,1.62,FEM
ABAN141223,244.84,1.04,KCHI
ABAN141223,245.86,0.9,FEM
ABAN141223,246.92,0.54,FEM
ABAN141223,246.94,1.38,KCHI
ABAN141223,248.68,1.42,KCHI
ABAN141223,250.08,0.66,FEM
ABAN141223,250.6,0.84,KCHI
ABAN141223,251.36,2.18,FEM
ABAN141223,253.92,1.02,KCHI
ABAN141223,254.88,0.46,FEM
ABAN141223,255.36,0.5,KCHI
ABAN141223,256.08,0.2,KCHI
ABAN141223,256.56,0.94,FEM
ABAN141223,258.7,0.76,KCHI
ABAN141223,259.4,0.7,FEM
ABAN141223,260.1,0.82,KCHI
ABAN141223,260.84,1.84,FEM
ABAN141223,261.24,0.58,KCHI
ABAN141223,263.48,1.38,KCHI
ABAN141223,264.52,1.44,FEM
ABAN141223,266.66,0.78,FEM
ABAN141223,290.94,0.76,FEM
ABAN141223,292.52,1.34,KCHI
ABAN141223,293.8,0.6,FEM
ABAN141223,294.38,0.86,KCHI
ABAN141223,295.18,0.7,FEM
ABAN141223,300.24,1.94,FEM
ABAN141223,302.48,2.64,FEM
ABAN141223,306.22,0.24,FEM
ABAN141223,307.4,0.9,FEM
ABAN141223,308.7,0.5,KCHI
ABAN141223,309.34,0.92,FEM
ABAN141223,310.58,0.8,FEM
ABAN141223,311.6,0.82,KCHI
ABAN141223,312.98,0.7,KCHI
ABAN141223,313.86,0.56,FEM
ABAN141223,314.9,0.64,FEM
ABAN141223,316.0,0.88,FEM
ABAN141223,317.46,1.8,FEM
ABAN141223,319.64,0.14,FEM
ABAN141223,319.92,1.68,FEM
ABAN141223,329.68,0.66,KCHI
ABAN141223,330.02,1.02,FEM
ABAN141223,331.66,1.54,KCHI
ABAN141223,333.66,2.24,FEM
ABAN141223,334.32,0.58,KCHI
ABAN141223,335.24,1.12,KCHI
ABAN141223,336.8,0.88,KCHI
ABAN141223,338.3,0.76,KCHI
ABAN141223,339.28,0.86,KCHI
ABAN141223,339.64,1.64,FEM
ABAN141223,341.24,0.52,KCHI
ABAN141223,342.02,1.48,FEM
ABAN141223,343.62,1.94,FEM
ABAN141223,346.0,0.52,KCHI
ABAN141223,346.5,0.6,FEM
ABAN141223,347.64,1.84,FEM
ABAN141223,350.34,0.5,KCHI
ABAN141223,351.02,0.6,FEM
ABAN141223,352.5,0.74,FEM
ABAN141223,358.78,3.4,FEM
ABAN141223,363.78,1.68,FEM
ABAN141223,366.16,1.3,FEM
ABAN141223,369.32,2.86,FEM
ABAN141223,372.54,1.32,FEM
ABAN141223,374.0,0.12,FEM
ABAN141223,377.56,0.54,FEM
ABAN141223,378.68,1.3,FEM
ABAN141223,378.8,0.28,OCH
ABAN141223,380.24,0.38,OCH
ABAN141223,383.84,1.72,FEM
ABAN141223,386.14,1.12,FEM
ABAN141223,387.9,1.5,FEM
ABAN141223,390.16,1.38,FEM
ABAN141223,393.5,0.52,FEM
ABAN141223,398.8,1.3,FEM
ABAN141223,412.26,1.66,FEM
ABAN141223,414.14,0.84,FEM
ABAN141223,419.46,0.84,KCHI
ABAN141223,421.36,2.16,FEM
ABAN141223,424.38,1.38,KCHI
ABAN141223,428.02,0.76,KCHI
ABAN141223,429.62,0.66,KCHI
ABAN141223,430.88,1.1,KCHI
ABAN141223,432.26,0.7,KCHI
ABAN141223,438.0,0.62,KCHI
ABAN141223,438.6,1.04,FEM
ABAN141223,440.24,1.18,FEM
ABAN141223,441.28,0.8,KCHI
ABAN141223,442.14,0.78,FEM
ABAN141223,445.76,0.34,FEM
ABAN141223,446.82,2.92,FEM
ABAN141223,459.86,0.9,KCHI
ABAN141223,462.32,1.22,FEM
ABAN141223,464.8,0.86,FEM
ABAN141223,473.8,2.2,FEM
ABAN141223,476.32,1.28,FEM
ABAN141223,480.8,0.78,FEM
ABAN141223,481.64,1.14,KCHI
ABAN141223,482.76,1.6,FEM
ABAN141223,484.46,0.68,KCHI
ABAN141223,485.1,1.52,FEM
ABAN141223,486.1,0.42,KCHI
ABAN141223,487.24,1.7,FEM
ABAN141223,489.46,0.96,KCHI
ABAN141223,490.36,1.52,FEM
ABAN141223,491.84,0.82,KCHI
ABAN141223,492.62,0.58,FEM
ABAN141223,495.04,1.06,FEM
ABAN141223,495.58,0.6,KCHI
ABAN141223,496.56,0.74,KCHI
ABAN141223,497.98,3.5,FEM
ABAN141223,501.7,1.52,FEM
ABAN141223,503.84,1.62,FEM
ABAN141223,505.66,0.5,KCHI
ABAN141223,506.1,1.38,FEM
ABAN141223,507.92,1.24,FEM
ABAN141223,508.84,0.84,KCHI
ABAN141223,509.66,1.66,FEM
ABAN141223,511.62,1.0,KCHI
ABAN141223,512.56,0.86,FEM
ABAN141223,513.54,0.76,FEM
ABAN141223,515.14,2.56,FEM
ABAN141223,517.86,0.92,KCHI
ABAN141223,518.88,1.46,OCH
ABAN141223,520.6,0.58,FEM
ABAN141223,524.22,1.14,OCH
ABAN141223,525.48,0.64,FEM
ABAN141223,526.22,1.28,OCH
ABAN141223,527.14,0.94,KCHI
ABAN141223,528.04,1.3,OCH
ABAN141223,529.34,0.68,FEM
ABAN141223,530.16,0.58,KCHI
ABAN141223,530.7,1.74,FEM
ABAN141223,530.92,0.8,KCHI
ABAN141223,532.64,0.68,KCHI
ABAN141223,532.64,0.96,FEM
ABAN141223,534.18,1.98,FEM
ABAN141223,536.82,1.42,FEM
ABAN141223,539.26,1.52,OCH
ABAN141223,541.28,0.26,FEM
ABAN141223,543.18,1.12,KCHI
ABAN141223,544.48,2.24,FEM
ABAN141223,547.46,1.04,FEM
ABAN141223,548.34,0.52,KCHI
ABAN141223,548.88,4.2,FEM
ABAN141223,552.96,0.26,OCH
ABAN141223,553.22,0.78,FEM
ABAN141223,553.28,0.68,KCHI
ABAN141223,555.42,0.54,FEM
ABAN141223,555.98,0.4,KCHI
ABAN141223,556.7,1.54,FEM
ABAN141223,558.36,0.54,KCHI
ABAN141223,558.88,1.38,FEM
ABAN141223,559.76,0.58,KCHI
ABAN141223,561.6,1.28,KCHI
