uid,start_time_s,duration_s,label
ADGA210923,1.18,0.24,FEM
ADGA210923,2.5,1.06,KCHI
ADGA210923,3.64,1.14,FEM
ADGA210923,5.64,2.7,FEM
ADGA210923,8.94,0.94,FEM
ADGA210923,10.46,0.68,KCHI
ADGA210923,11.48,2.64,FEM
ADGA210923,15.98,0.6,KCHI
ADGA210923,16.0,1.16,OCH
ADGA210923,17.08,0.62,FEM
ADGA210923,17.84,0.76,FEM
ADGA210923,18.82,0.88,KCHI
ADGA210923,19.42,1.4,FEM
ADGA210923,21.0,1.02,FEM
ADGA210923,22.12,1.76,FEM
ADGA210923,25.7,0.26,FEM
ADGA210923,26.1,1.76,OCH
ADGA210923,27.56,0.3,FEM
ADGA210923,28.2,2.28,FEM
ADGA210923,30.96,0.88,FEM
ADGA210923,31.84,0.88,KCHI
ADGA210923,34.12,0.28,FEM
ADGA210923,35.52,5.06,FEM
ADGA210923,40.86,1.12,FEM
ADGA210923,42.08,5.68,FEM
ADGA210923,46.22,0.84,KCHI
ADGA210923,47.42,0.66,KCHI
ADGA210923,48.2,0.54,MAL
ADGA210923,48.72,1.34,KCHI
ADGA210923,49.7,1.16,FEM
ADGA210923,51.26,0.68,KCHI
ADGA210923,51.74,3.12,FEM
ADGA210923,54.82,0.52,KCHI
ADGA210923,55.46,0.26,FEM
ADGA210923,55.72,1.1,OCH
ADGA210923,55.94,1.78,FEM
ADGA210923,57.28,1.02,KCHI
ADGA210923,58.44,1.18,KCHI
ADGA210923,59.7,0.56,OCH
ADGA210923,60.24,1.1,KCHI
ADGA210923,61.6,1.16,KCHI
ADGA210923,63.1,0.52,KCHI
ADGA210923,63.68,2.52,FEM
ADGA210923,64.48,0.84,KCHI
ADGA210923,66.46,0.82,KCHI
ADGA210923,66.5,4.42,FEM
ADGA210923,67.88,1.3,KCHI
ADGA210923,69.56,0.58,KCHI
ADGA210923,70.86,0.78,KCHI
ADGA210923,72.52,2.34,FEM
ADGA210923,75.16,10.8,FEM
ADGA210923,86.1,1.46,FEM
ADGA210923,89.72,0.1,OCH
ADGA210923,90.94,0.8,MAL
ADGA210923,92.98,2.12,MAL
ADGA210923,94.74,0.5,OCH
ADGA210923,95.32,1.64,MAL
ADGA210923,97.32,2.56,FEM
ADGA210923,100.32,0.38,MAL
ADGA210923,100.68,1.22,FEM
ADGA210923,101.66,0.68,MAL
ADGA210923,102.8,1.26,FEM
ADGA210923,105.86,4.62,FEM
ADGA210923,106.48,0.22,OCH
ADGA210923,111.32,1.38,FEM
ADGA210923,113.38,1.28,KCHI
ADGA210923,115.12,4.28,FEM
ADGA210923,116.5,0.6,KCHI
ADGA210923,119.64,2.22,FEM
ADGA210923,122.32,0.68,FEM
ADGA210923,123.38,1.26,FEM
ADGA210923,125.32,1.62,FEM
ADGA210923,127.2,0.16,FEM
ADGA210923,131.34,0.74,KCHI
ADGA210923,134.28,0.98,KCHI
ADGA210923,135.26,2.5,FEM
ADGA210923,139.3,1.54,OCH
ADGA210923,141.88,1.2,FEM
ADGA210923,143.28,0.42,MAL
ADGA210923,143.94,1.8,OCH
ADGA210923,147.66,0.56,MAL
ADGA210923,149.18,0.96,MAL
ADGA210923,150.62,5.0,FEM
ADGA210923,155.02,0.18,OCH
ADGA210923,156.04,3.16,FEM
ADGA210923,160.44,0.36,FEM
ADGA210923,160.8,2.38,OCH
ADGA210923,161.0,0.4,FEM
ADGA210923,162.18,4.98,FEM
ADGA210923,171.72,2.7,FEM
ADGA210923,175.12,3.98,FEM
ADGA210923,178.38,0.12,OCH
ADGA210923,179.38,0.44,OCH
ADGA210923,179.86,0.32,FEM
ADGA210923,180.44,2.64,FEM
ADGA210923,185.88,0.68,KCHI
ADGA210923,187.26,2.32,OCH
ADGA210923,189.78,2.2,OCH
ADGA210923,194.04,0.98,OCH
ADGA210923,203.84,0.18,OCH
ADGA210923,205.1,0.7,FEM
ADGA210923,205.94,0.42,OCH
ADGA210923,207.94,3.94,FEM
ADGA210923,214.06,1.22,FEM
ADGA210923,216.58,0.52,FEM
ADGA210923,217.32,0.52,FEM
ADGA210923,217.94,0.4,KCHI
ADGA210923,218.9,1.1,KCHI
ADGA210923,220.0,1.28,OCH
ADGA210923,220.54,1.38,FEM
ADGA210923,222.88,0.54,OCH
ADGA210923,224.98,3.38,FEM
ADGA210923,228.54,0.92,FEM
ADGA210923,229.58,1.26,MAL
ADGA210923,231.46,3.36,FEM
ADGA210923,235.18,1.62,MAL
ADGA210923,237.22,1.58,OCH
ADGA210923,239.24,0.92,MAL
ADGA210923,242.78,0.86,OCH
ADGA210923,244.62,1.0,FEM
ADGA210923,246.32,0.44,FEM
ADGA210923,248.0,0.9,FEM
ADGA210923,252.76,0.78,FEM
ADGA210923,254.14,0.58,FEM
ADGA210923,255.82,0.92,OCH
ADGA210923,255.96,0.36,FEM
ADGA210923,256.84,1.18,FEM
ADGA210923,258.96,1.32,FEM
ADGA210923,260.52,1.22,FEM
ADGA210923,262.0,2.32,FEM
ADGA210923,264.74,0.78,FEM
ADGA210923,266.46,0.64,FEM
ADGA210923,267.08,1.0,OCH
ADGA210923,268.08,2.94,FEM
ADGA210923,270.64,1.14,OCH
ADGA210923,271.7,1.02,FEM
ADGA210923,274.02,0.38,KCHI
ADGA210923,274.62,1.56,OCH
ADGA210923,276.38,1.06,FEM
ADGA210923,277.5,0.54,KCHI
ADGA210923,278.28,0.32,FEM
ADGA210923,278.72,0.98,FEM
ADGA210923,279.96,0.72,FEM
ADGA210923,281.58,0.62,FEM
ADGA210923,283.06,0.8,FEM
ADGA210923,285.3,0.46,KCHI
ADGA210923,290.7,1.3,FEM
ADGA210923,292.28,1.44,FEM
ADGA210923,295.04,0.66,KCHI
ADGA210923,296.28,0.44,FEM
ADGA210923,296.64,0.94,KCHI
ADGA210923,297.48,2.02,FEM
ADGA210923,297.5,0.72,OCH
ADGA210923,298.78,0.96,OCH
ADGA210923,299.78,0.84,KCHI
ADGA210923,300.56,0.92,FEM
ADGA210923,301.48,0.52,KCHI
ADGA210923,301.9,0.5,OCH
ADGA210923,302.1,0.74,FEM
ADGA210923,303.88,0.1,KCHI
ADGA210923,304.14,0.22,KCHI
ADGA210923,304.64,2.2,FEM
ADGA210923,306.94,0.52,KCHI
ADGA210923,307.42,0.62,FEM
ADGA210923,308.96,0.48,FEM
ADGA210923,310.28,0.16,KCHI
ADGA210923,310.72,0.14,FEM
ADGA210923,311.66,2.06,FEM
ADGA210923,316.22,0.48,FEM
ADGA210923,320.0,0.38,FEM
ADGA210923,320.76,0.54,OCH
ADGA210923,321.58,0.8,FEM
ADGA210923,323.84,0.84,KCHI
ADGA210923,324.72,0.76,FEM
ADGA210923,325.76,1.96,KCHI
ADGA210923,327.64,1.26,MAL
ADGA210923,329.44,0.9,OCH
ADGA210923,332.32,0.7,KCHI
ADGA210923,332.98,1.34,FEM
ADGA210923,334.96,0.68,OCH
ADGA210923,336.24,1.56,OCH
ADGA210923,336.32,1.48,KCHI
ADGA210923,337.96,1.02,FEM
ADGA210923,338.14,0.16,MAL
ADGA210923,341.04,0.88,FEM
ADGA210923,345.44,0.52,FEM
ADGA210923,346.9,1.94,FEM
ADGA210923,348.98,1.26,FEM
ADGA210923,350.52,3.22,FEM
ADGA210923,351.78,0.42,MAL
ADGA210923,359.04,1.9,FEM
ADGA210923,361.5,0.48,MAL
ADGA210923,366.16,2.54,FEM
ADGA210923,370.14,0.26,OCH
ADGA210923,372.58,1.24,MAL
ADGA210923,373.94,0.74,KCHI
ADGA210923,374.74,0.36,MAL
ADGA210923,375.12,0.4,KCHI
ADGA210923,375.56,0.54,MAL
ADGA210923,376.14,0.74,KCHI
ADGA210923,377.16,0.78,MAL
ADGA210923,378.5,0.44,KCHI
ADGA210923,379.1,0.8,MAL
ADGA210923,380.14,0.7,KCHI
ADGA210923,381.06,0.86,MAL
ADGA210923,382.42,0.84,FEM
ADGA210923,383.52,0.32,MAL
ADGA210923,384.24,0.42,KCHI
ADGA210923,384.72,0.92,MAL
ADGA210923,386.98,0.5,FEM
ADGA210923,388.28,1.14,MAL
ADGA210923,389.5,0.46,KCHI
ADGA210923,390.5,2.58,FEM
ADGA210923,390.52,0.24,MAL
ADGA210923,393.6,0.42,FEM
ADGA210923,393.7,0.24,MAL
ADGA210923,394.02,1.3,OCH
ADGA210923,394.2,1.12,FEM
ADGA210923,395.32,0.96,MAL
ADGA210923,396.44,1.0,FEM
ADGA210923,396.46,1.2,OCH
ADGA210923,398.14,0.72,MAL
ADGA210923,400.16,0.46,FEM
ADGA210923,402.08,1.94,MAL
ADGA210923,404.04,1.06,OCH
ADGA210923,404.04,1.32,FEM
ADGA210923,405.96,0.26,OCH
ADGA210923,406.66,1.04,OCH
ADGA210923,407.22,1.72,MAL
ADGA210923,409.1,0.84,OCH
ADGA210923,409.94,0.64,MAL
ADGA210923,411.02,0.96,FEM
ADGA210923,411.98,0.5,MAL
ADGA210923,412.64,0.62,MAL
ADGA210923,413.42,0.24,OCH
ADGA210923,413.92,0.5,OCH
ADGA210923,414.62,0.32,MAL
ADGA210923,415.06,0.16,OCH
ADGA210923,415.78,0.62,MAL
ADGA210923,416.38,1.08,FEM
ADGA210923,418.3,0.42,KCHI
ADGA210923,418.82,0.16,FEM
ADGA210923,418.9,0.6,MAL
ADGA210923,419.2,0.86,FEM
ADGA210923,420.16,0.84,FEM
ADGA210923,422.2,1.48,FEM
ADGA210923,422.92,0.4,OCH
ADGA210923,423.66,0.1,OCH
ADGA210923,423.88,0.2,OCH
ADGA210923,425.16,1.1,FEM
ADGA210923,425.86,1.14,OCH
ADGA210923,427.42,1.2,OCH
ADGA210923,428.68,1.16,FEM
ADGA210923,429.84,0.48,KCHI
ADGA210923,430.24,0.42,OCH
ADGA210923,431.06,1.04,FEM
ADGA210923,431.2,2.4,OCH
ADGA210923,431.46,0.28,KCHI
ADGA210923,434.06,1.46,MAL
ADGA210923,436.12,1.46,MAL
ADGA210923,437.58,2.12,FEM
ADGA210923,440.66,1.06,FEM
ADGA210923,441.78,0.42,OCH
ADGA210923,442.4,0.2,OCH
ADGA210923,443.16,0.76,MAL
ADGA210923,445.26,3.58,OCH
ADGA210923,449.32,1.24,MAL
ADGA210923,451.24,0.82,KCHI
ADGA210923,451.38,0.34,MAL
ADGA210923,451.4,0.38,OCH
ADGA210923,452.72,0.82,MAL
ADGA210923,453.58,0.14,OCH
ADGA210923,453.72,1.0,FEM
ADGA210923,455.86,1.84,FEM
ADGA210923,457.7,0.72,OCH
ADGA210923,459.96,0.54,MAL
ADGA210923,460.28,1.4,OCH
ADGA210923,461.68,0.66,FEM
ADGA210923,462.8,1.96,FEM
ADGA210923,462.88,0.1,OCH
ADGA210923,463.54,1.12,OCH
ADGA210923,465.82,0.14,KCHI
ADGA210923,466.4,0.32,MAL
ADGA210923,466.86,0.5,MAL
ADGA210923,467.34,2.6,OCH
ADGA210923,468.62,0.12,MAL
ADGA210923,468.88,0.3,MAL
ADGA210923,470.08,1.14,MAL
ADGA210923,471.32,0.22,MAL
ADGA210923,471.86,0.78,KCHI
ADGA210923,472.54,0.64,OCH
ADGA210923,473.18,0.44,MAL
ADGA210923,473.62,0.2,FEM
ADGA210923,475.4,2.2,FEM
ADGA210923,475.46,1.64,OCH
ADGA210923,475.96,1.02,KCHI
ADGA210923,477.3,0.2,OCH
ADGA210923,478.04,1.3,KCHI
ADGA210923,478.92,0.46,FEM
ADGA210923,479.8,1.0,KCHI
ADGA210923,480.54,1.12,FEM
ADGA210923,482.5,0.26,MAL
ADGA210923,482.9,0.92,KCHI
ADGA210923,485.08,0.48,MAL
ADGA210923,485.56,0.68,FEM
ADGA210923,487.72,0.64,FEM
ADGA210923,489.9,1.06,MAL
ADGA210923,491.18,1.22,KCHI
ADGA210923,492.66,0.68,MAL
ADGA210923,494.72,0.5,MAL
ADGA210923,496.0,0.44,MAL
ADGA210923,497.1,0.36,MAL
ADGA210923,498.14,0.32,MAL
ADGA210923,498.52,2.96,FEM
ADGA210923,501.74,2.88,FEM
ADGA210923,504.3,0.78,KCHI
ADGA210923,505.46,1.1,FEM
ADGA210923,506.62,2.82,OCH
ADGA210923,510.48,2.94,FEM
ADGA210923,514.52,2.88,FEM
ADGA210923,516.54,2.22,OCH
ADGA210923,518.86,2.22,OCH
ADGA210923,521.74,0.48,KCHI
ADGA210923,524.24,2.2,FEM
ADGA210923,525.36,0.54,OCH
ADGA210923,526.52,0.38,KCHI
ADGA210923,527.54,0.72,OCH
ADGA210923,528.26,0.64,FEM
ADGA210923,528.38,2.02,MAL
ADGA210923,529.34,0.24,FEM
ADGA210923,531.92,0.54,KCHI
ADGA210923,532.56,0.24,FEM
ADGA210923,532.6,0.44,MAL
ADGA210923,533.4,0.14,FEM
ADGA210923,533.5,0.8,MAL
ADGA210923,536.2,0.7,KCHI
ADGA210923,537.92,0.42,FEM
ADGA210923,538.78,2.5,FEM
ADGA210923,541.66,0.94,FEM
ADGA210923,545.1,0.16,FEM
ADGA210923,555.86,0.18,KCHI
ADGA210923,566.84,0.24,FEM
ADGA210923,568.34,1.02,KCHI
ADGA210923,569.34,0.68,FEM
ADGA210923,571.0,0.68,FEM
ADGA210923,573.38,0.8,FEM
ADGA210923,573.58,0.16,OCH
ADGA210923,574.7,2.4,FEM
ADGA210923,578.14,1.88,FEM
ADGA210923,581.28,0.54,KCHI
ADGA210923,582.0,0.72,MAL
ADGA210923,582.84,0.2,FEM
ADGA210923,583.06,0.5,MAL
ADGA210923,583.56,1.44,FEM
ADGA210923,585.06,0.38,OCH
ADGA210923,585.6,1.72,OCH
ADGA210923,585.62,1.6,FEM
ADGA210923,587.76,0.42,FEM
ADGA210923,588.18,0.42,OCH
ADGA210923,588.86,0.18,OCH
ADGA210923,589.92,0.7,MAL
ADGA210923,590.42,0.88,OCH
ADGA210923,591.7,1.14,OCH
ADGA210923,595.0,0.82,OCH
ADGA210923,596.04,0.96,MAL
ADGA210923,597.58,0.56,MAL
ADGA210923,599.22,1.08,FEM
ADGA210923,600.4,1.14,MAL
ADGA210923,601.66,0.62,KCHI
ADGA210923,603.54,4.86,MAL
ADGA210923,609.54,0.38,KCHI
ADGA210923,609.96,1.14,MAL
ADGA210923,611.8,0.7,FEM
ADGA210923,613.08,0.98,MAL
ADGA210923,614.36,0.86,KCHI
ADGA210923,615.28,0.7,FEM
ADGA210923,616.18,0.72,KCHI
ADGA210923,617.16,1.12,MAL
ADGA210923,619.56,1.08,FEM
ADGA210923,620.68,0.2,MAL
ADGA210923,621.0,0.3,MAL
ADGA210923,621.44,0.22,MAL
ADGA210923,621.76,0.14,MAL
ADGA210923,623.56,1.3,FEM
ADGA210923,625.12,0.12,OCH
ADGA210923,625.4,1.72,OCH
ADGA210923,625.96,1.1,FEM
ADGA210923,627.78,0.98,FEM
ADGA210923,630.16,1.98,FEM
ADGA210923,633.7,2.74,MAL
ADGA210923,637.0,3.06,FEM
ADGA210923,642.58,0.28,FEM
ADGA210923,645.2,0.66,KCHI
ADGA210923,645.92,1.46,FEM
ADGA210923,648.24,0.84,FEM
ADGA210923,649.56,0.64,KCHI
ADGA210923,651.42,3.3,FEM
ADGA210923,652.82,0.4,MAL
ADGA210923,653.72,0.18,MAL
ADGA210923,657.34,1.3,FEM
ADGA210923,658.72,1.08,KCHI
ADGA210923,660.68,1.18,FEM
ADGA210923,663.48,0.84,FEM
ADGA210923,664.66,3.98,OCH
ADGA210923,670.26,0.78,OCH
ADGA210923,671.48,1.02,MAL
ADGA210923,672.62,3.98,OCH
ADGA210923,673.62,0.26,MAL
ADGA210923,676.6,0.42,KCHI
ADGA210923,677.28,0.82,OCH
ADGA210923,677.58,0.16,FEM
ADGA210923,678.06,0.36,FEM
ADGA210923,678.24,0.46,OCH
ADGA210923,679.02,0.9,FEM
ADGA210923,680.58,0.54,OCH
ADGA210923,681.4,0.18,OCH
ADGA210923,683.44,0.42,OCH
ADGA210923,684.7,0.26,OCH
ADGA210923,687.18,0.12,OCH
ADGA210923,693.76,0.66,MAL
ADGA210923,695.92,0.32,FEM
ADGA210923,696.68,0.24,FEM
ADGA210923,697.08,0.48,FEM
ADGA210923,699.32,0.18,FEM
ADGA210923,699.62,0.3,FEM
ADGA210923,708.44,0.12,MAL
ADGA210923,709.84,0.66,KCHI
ADGA210923,710.92,1.2,MAL
ADGA210923,713.56,2.02,FEM
ADGA210923,716.88,0.22,FEM
ADGA210923,719.22,0.78,MAL
ADGA210923,720.38,0.18,OCH
ADGA210923,720.82,0.26,OCH
ADGA210923,721.06,0.72,MAL
ADGA210923,722.08,0.36,MAL
ADGA210923,723.3,1.06,MAL
ADGA210923,724.36,0.86,FEM
ADGA210923,724.88,0.28,OCH
ADGA210923,725.9,0.64,KCHI
ADGA210923,726.6,0.22,FEM
ADGA210923,727.72,0.5,OCH
ADGA210923,728.66,0.52,KCHI
ADGA210923,729.3,0.64,FEM
ADGA210923,730.28,0.66,FEM
ADGA210923,731.56,0.64,OCH
ADGA210923,732.32,2.58,OCH
ADGA210923,738.06,0.12,MAL
ADGA210923,743.92,0.44,KCHI
ADGA210923,745.78,1.34,OCH
ADGA210923,747.4,0.5,MAL
ADGA210923,747.78,0.46,FEM
ADGA210923,748.08,0.5,MAL
ADGA210923,748.46,1.82,FEM
ADGA210923,750.76,1.46,FEM
ADGA210923,752.22,0.32,OCH
ADGA210923,754.44,1.36,KCHI
ADGA210923,759.54,1.5,MAL
ADGA210923,762.38,0.68,MAL
ADGA210923,763.9,0.98,MAL
ADGA210923,764.44,0.64,KCHI
ADGA210923,765.14,0.62,MAL
ADGA210923,765.9,0.62,KCHI
ADGA210923,766.6,0.76,MAL
ADGA210923,767.46,0.14,OCH
ADGA210923,768.2,1.48,MAL
ADGA210923,770.78,0.42,MAL
ADGA210923,771.8,1.18,MAL
ADGA210923,773.5,0.18,OCH
ADGA210923,776.1,1.16,MAL
ADGA210923,777.66,0.52,MAL
ADGA210923,784.06,0.96,FEM
ADGA210923,785.94,1.32,FEM
ADGA210923,792.2,1.32,OCH
ADGA210923,794.14,1.86,FEM
ADGA210923,796.0,0.2,MAL
ADGA210923,796.88,0.28,MAL
ADGA210923,798.72,2.02,MAL
ADGA210923,802.46,1.1,MAL
ADGA210923,803.72,0.24,OCH
ADGA210923,803.96,0.16,KCHI
ADGA210923,815.22,1.02,FEM
ADGA210923,827.88,1.5,FEM
ADGA210923,837.76,1.62,KCHI
ADGA210923,839.78,1.36,KCHI
ADGA210923,841.44,1.14,KCHI
ADGA210923,843.1,0.6,FEM
ADGA210923,843.24,2.74,KCHI
ADGA210923,844.42,1.56,FEM
ADGA210923,846.16,1.52,KCHI
ADGA210923,849.22,1.82,KCHI
ADGA210923,851.04,1.06,FEM
ADGA210923,852.6,0.32,MAL
ADGA210923,854.46,0.2,KCHI
ADGA210923,855.7,1.12,FEM
ADGA210923,857.26,0.18,FEM
ADGA210923,859.68,1.74,KCHI
ADGA210923,866.34,0.9,KCHI
