uid,start_time_s,duration_s,label
AHKV290824,1.62,3.44,FEM
AHKV290824,5.6,2.12,FEM
AHKV290824,7.72,0.24,OCH
AHKV290824,7.96,2.0,FEM
AHKV290824,12.7,1.34,FEM
AHKV290824,14.3,1.62,FEM
AHKV290824,16.1,1.4,FEM
AHKV290824,17.92,0.8,MAL
AHKV290824,18.36,1.28,FEM
AHKV290824,21.1,1.08,FEM
AHKV290824,22.2,1.08,MAL
AHKV290824,24.44,0.54,MAL
AHKV290824,27.38,0.48,MAL
AHKV290824,27.86,1.3,FEM
AHKV290824,31.06,0.78,MAL
AHKV290824,32.98,0.14,FEM
AHKV290824,35.82,1.44,MAL
AHKV290824,37.72,0.32,FEM
AHKV290824,38.02,0.3,MAL
AHKV290824,38.14,0.16,FEM
AHKV290824,38.56,1.2,FEM
AHKV290824,49.8,0.34,FEM
AHKV290824,54.66,0.7,FEM
AHKV290824,55.94,0.18,FEM
AHKV290824,56.02,0.32,MAL
AHKV290824,56.34,1.02,FEM
AHKV290824,56.52,0.34,MAL
AHKV290824,57.56,0.7,FEM
AHKV290824,58.92,0.2,FEM
AHKV290824,59.24,0.1,FEM
AHKV290824,59.5,4.08,FEM
AHKV290824,59.7,0.46,MAL
AHKV290824,60.96,1.4,MAL
AHKV290824,63.56,0.12,MAL
AHKV290824,63.68,0.66,FEM
AHKV290824,66.24,0.76,FEM
AHKV290824,67.18,0.16,FEM
AHKV290824,67.8,0.96,MAL
AHKV290824,68.9,1.12,FEM
AHKV290824,70.7,0.94,FEM
AHKV290824,73.88,1.36,MAL
AHKV290824,75.32,0.56,FEM
AHKV290824,76.12,0.66,FEM
AHKV290824,77.44,0.94,FEM
AHKV290824,79.28,0.32,FEM
AHKV290824,79.6,0.26,KCHI
AHKV290824,80.54,0.54,OCH
AHKV290824,81.0,1.16,FEM
AHKV290824,82.44,2.4,FEM
AHKV290824,84.66,0.3,OCH
AHKV290824,85.9,3.12,FEM
AHKV290824,87.18,0.38,OCH
AHKV290824,89.6,0.62,MAL
AHKV290824,89.72,0.88,FEM
AHKV290824,91.54,2.44,FEM
AHKV290824,98.28,0.8,OCH
AHKV290824,100.04,0.64,MAL
AHKV290824,102.94,0.32,MAL
AHKV290824,103.48,1.06,MAL
AHKV290824,104.56,1.2,KCHI
AHKV290824,105.64,1.78,FEM
AHKV290824,113.22,2.46,FEM
AHKV290824,116.16,0.84,FEM
AHKV290824,117.32,1.08,FEM
AHKV290824,118.76,2.2,FEM
AHKV290824,118.78,0.32,MAL
AHKV290824,121.3,3.52,FEM
AHKV290824,125.14,0.5,KCHI
AHKV290824,125.86,1.76,FEM
AHKV290824,129.7,0.5,FEM
AHKV290824,130.96,2.36,FEM
AHKV290824,134.02,0.14,MAL
AHKV290824,134.22,1.1,FEM
AHKV290824,134.52,0.66,KCHI
AHKV290824,135.94,0.34,MAL
AHKV290824,136.2,2.62,FEM
AHKV290824,139.02,0.28,FEM
AHKV290824,139.44,0.12,MAL
AHKV290824,139.82,1.06,FEM
AHKV290824,142.14,3.84,FEM
AHKV290824,148.36,0.9,FEM
AHKV290824,149.44,1.4,FEM
AHKV290824,151.24,0.58,FEM
AHKV290824,151.96,1.62,FEM
AHKV290824,153.94,0.72,FEM
AHKV290824,154.84,1.2,FEM
AHKV290824,155.22,0.38,MAL
AHKV290824,155.74,0.2,MAL
AHKV290824,156.48,3.36,FEM
AHKV290824,156.88,1.0,MAL
AHKV290824,160.04,1.24,FEM
AHKV290824,161.46,1.14,FEM
AHKV290824,163.28,4.38,FEM
AHKV290824,168.8,0.28,OCH
AHKV290824,169.18,0.58,OCH
AHKV290824,170.48,2.88,FEM
AHKV290824,172.5,0.58,MAL
AHKV290824,174.08,0.38,MAL
AHKV290824,174.66,0.46,MAL
AHKV290824,175.18,0.12,FEM
AHKV290824,176.38,2.68,FEM
AHKV290824,180.4,1.32,FEM
AHKV290824,184.8,0.16,FEM
AHKV290824,186.12,0.58,FEM
AHKV290824,188.24,0.4,FEM
AHKV290824,190.12,0.62,FEM
AHKV290824,190.86,0.78,FEM
AHKV290824,192.82,1.4,FEM
AHKV290824,195.02,1.46,MAL
AHKV290824,197.2,0.9,FEM
AHKV290824,198.04,0.46,OCH
AHKV290824,198.42,1.64,FEM
AHKV290824,200.68,0.92,FEM
AHKV290824,202.12,0.56,KCHI
AHKV290824,203.38,1.44,FEM
AHKV290824,206.64,1.24,FEM
AHKV290824,208.86,0.88,FEM
AHKV290824,213.44,1.48,FEM
AHKV290824,215.5,1.4,FEM
AHKV290824,218.12,1.22,FEM
AHKV290824,220.94,1.0,MAL
AHKV290824,221.94,0.3,FEM
AHKV290824,222.26,0.62,MAL
AHKV290824,228.7,2.72,FEM
AHKV290824,231.76,1.54,MAL
AHKV290824,233.82,0.7,FEM
AHKV290824,234.5,0.32,MAL
AHKV290824,234.82,0.16,FEM
AHKV290824,236.58,1.06,FEM
AHKV290824,237.92,0.16,OCH
AHKV290824,238.26,0.98,FEM
