uid,start_time_s,duration_s,label
AIFA160424,0.0,0.96,FEM
AIFA160424,1.38,0.6,FEM
AIFA160424,2.14,0.58,OCH
AIFA160424,3.86,0.12,KCHI
AIFA160424,4.38,3.0,FEM
AIFA160424,5.08,0.56,KCHI
AIFA160424,7.36,0.72,KCHI
AIFA160424,8.04,2.46,FEM
AIFA160424,10.94,1.04,FEM
AIFA160424,11.94,1.32,KCHI
AIFA160424,12.32,7.58,FEM
AIFA160424,20.56,1.6,FEM
AIFA160424,22.6,16.06,FEM
AIFA160424,38.76,3.6,FEM
AIFA160424,41.4,0.46,KCHI
AIFA160424,42.48,0.5,FEM
AIFA160424,43.2,0.24,FEM
AIFA160424,44.0,4.24,FEM
AIFA160424,49.02,1.12,FEM
AIFA160424,52.72,4.6,FEM
AIFA160424,57.52,0.8,FEM
AIFA160424,59.56,4.12,FEM
AIFA160424,64.42,0.3,FEM
AIFA160424,66.6,0.12,FEM
AIFA160424,73.44,0.3,FEM
AIFA160424,74.18,1.1,FEM
AIFA160424,75.8,0.76,FEM
AIFA160424,79.24,0.36,FEM
AIFA160424,81.36,0.8,FEM
AIFA160424,83.3,0.78,FEM
AIFA160424,84.4,0.76,FEM
AIFA160424,85.44,1.04,FEM
AIFA160424,90.0,0.58,FEM
AIFA160424,91.54,2.44,FEM
AIFA160424,94.2,2.26,FEM
AIFA160424,96.88,0.86,FEM
AIFA160424,98.54,3.84,FEM
AIFA160424,107.46,1.3,FEM
AIFA160424,108.86,0.42,OCH
AIFA160424,109.28,7.64,FEM
AIFA160424,117.92,0.34,KCHI
AIFA160424,118.32,4.0,FEM
AIFA160424,122.48,0.9,FEM
AIFA160424,123.62,2.32,FEM
AIFA160424,127.36,5.82,FEM
AIFA160424,134.76,0.8,FEM
AIFA160424,136.14,0.92,MAL
AIFA160424,138.28,0.36,FEM
AIFA160424,138.74,0.32,FEM
AIFA160424,139.3,4.54,FEM
AIFA160424,143.86,0.46,MAL
AIFA160424,145.14,7.2,FEM
AIFA160424,153.6,0.18,FEM
AIFA160424,154.6,0.92,FEM
AIFA160424,155.76,1.28,FEM
AIFA160424,158.86,12.06,FEM
AIFA160424,171.94,4.98,FEM
AIFA160424,181.06,0.5,FEM
AIFA160424,187.24,1.46,FEM
AIFA160424,190.82,1.38,FEM
AIFA160424,191.04,0.3,KCHI
AIFA160424,192.74,2.28,FEM
AIFA160424,195.18,0.72,FEM
AIFA160424,197.66,0.26,OCH
AIFA160424,198.34,0.5,OCH
AIFA160424,199.44,3.4,FEM
AIFA160424,201.44,0.48,MAL
AIFA160424,202.6,0.16,MAL
AIFA160424,202.98,1.86,FEM
AIFA160424,205.7,6.0,FEM
AIFA160424,206.68,0.24,KCHI
AIFA160424,207.4,0.32,OCH
AIFA160424,208.26,0.1,OCH
AIFA160424,211.24,2.52,OCH
AIFA160424,212.88,1.44,FEM
AIFA160424,214.2,0.72,OCH
AIFA160424,214.92,0.96,FEM
AIFA160424,216.72,1.98,FEM
AIFA160424,218.9,0.66,FEM
AIFA160424,219.92,1.5,FEM
AIFA160424,221.54,0.34,FEM
AIFA160424,223.34,0.16,OCH
AIFA160424,224.94,0.32,OCH
AIFA160424,226.7,0.16,FEM
AIFA160424,232.12,1.62,OCH
AIFA160424,235.72,1.06,FEM
AIFA160424,237.18,1.16,FEM
AIFA160424,238.58,0.22,OCH
AIFA160424,238.9,1.58,FEM
AIFA160424,241.24,1.32,FEM
AIFA160424,241.9,0.8,OCH
AIFA160424,243.72,3.04,FEM
AIFA160424,252.86,3.52,FEM
AIFA160424,260.16,0.72,FEM
AIFA160424,261.5,0.56,FEM
AIFA160424,270.64,2.32,FEM
AIFA160424,275.72,0.5,FEM
AIFA160424,278.6,1.1,FEM
AIFA160424,282.9,1.1,MAL
AIFA160424,284.3,2.26,FEM
AIFA160424,286.84,0.8,FEM
AIFA160424,290.98,0.46,OCH
AIFA160424,299.64,2.24,OCH
AIFA160424,300.62,2.58,FEM
AIFA160424,307.14,0.56,FEM
AIFA160424,309.52,8.88,FEM
AIFA160424,319.76,2.32,FEM
AIFA160424,322.38,0.4,OCH
AIFA160424,322.38,3.44,FEM
AIFA160424,326.22,0.84,FEM
AIFA160424,327.86,2.86,FEM
AIFA160424,331.12,0.58,FEM
AIFA160424,331.24,0.1,MAL
AIFA160424,331.94,2.38,FEM
AIFA160424,334.32,1.12,OCH
AIFA160424,334.68,1.74,FEM
AIFA160424,336.94,2.98,FEM
AIFA160424,341.1,1.18,FEM
AIFA160424,343.16,3.48,FEM
AIFA160424,346.94,0.68,FEM
AIFA160424,347.84,2.04,FEM
AIFA160424,350.18,4.4,FEM
AIFA160424,356.84,1.2,MAL
AIFA160424,358.2,0.58,FEM
AIFA160424,359.64,0.68,OCH
AIFA160424,359.64,6.3,FEM
AIFA160424,369.34,9.82,FEM
AIFA160424,380.22,0.86,FEM
AIFA160424,382.34,0.54,FEM
AIFA160424,385.52,2.2,FEM
AIFA160424,390.46,0.34,FEM
AIFA160424,391.34,0.18,FEM
AIFA160424,391.72,1.04,FEM
AIFA160424,401.98,0.32,FEM
AIFA160424,402.72,0.64,KCHI
AIFA160424,406.1,0.34,FEM
AIFA160424,406.14,0.82,OCH
AIFA160424,409.68,0.26,FEM
AIFA160424,433.98,0.9,FEM
AIFA160424,437.02,0.68,FEM
AIFA160424,438.12,0.6,FEM
AIFA160424,439.34,1.1,FEM
AIFA160424,441.24,2.14,FEM
AIFA160424,444.2,1.22,FEM
AIFA160424,448.28,0.16,FEM
AIFA160424,449.88,0.74,FEM
AIFA160424,451.06,0.16,MAL
AIFA160424,451.48,1.38,FEM
AIFA160424,452.86,0.38,MAL
AIFA160424,453.22,1.94,FEM
AIFA160424,455.76,0.82,FEM
AIFA160424,457.7,0.3,KCHI
AIFA160424,458.42,4.06,FEM
AIFA160424,463.04,5.94,FEM
AIFA160424,470.76,0.36,FEM
AIFA160424,474.68,0.44,FEM
AIFA160424,481.22,0.44,FEM
AIFA160424,483.58,0.54,FEM
AIFA160424,485.56,0.96,FEM
AIFA160424,488.3,2.04,FEM
AIFA160424,491.58,0.14,FEM
AIFA160424,493.5,0.26,FEM
AIFA160424,494.14,1.02,FEM
AIFA160424,494.26,0.24,KCHI
AIFA160424,496.08,0.9,FEM
AIFA160424,497.74,1.48,FEM
AIFA160424,500.48,1.0,FEM
AIFA160424,510.0,0.78,FEM
AIFA160424,513.58,1.34,FEM
AIFA160424,516.28,0.24,KCHI
AIFA160424,517.4,0.46,FEM
AIFA160424,518.06,1.06,FEM
AIFA160424,519.4,0.34,FEM
AIFA160424,519.9,0.38,KCHI
AIFA160424,520.56,0.86,KCHI
AIFA160424,520.62,0.76,FEM
AIFA160424,523.62,1.02,KCHI
AIFA160424,524.88,0.48,OCH
AIFA160424,525.36,2.3,FEM
AIFA160424,527.48,2.54,KCHI
AIFA160424,529.88,1.26,OCH
AIFA160424,529.88,1.3,FEM
AIFA160424,531.46,0.1,FEM
AIFA160424,531.6,1.14,KCHI
AIFA160424,532.78,0.8,FEM
AIFA160424,533.32,0.3,OCH
AIFA160424,533.78,1.88,KCHI
AIFA160424,536.74,1.72,KCHI
AIFA160424,538.18,1.92,FEM
AIFA160424,538.88,1.06,OCH
AIFA160424,540.4,2.92,KCHI
AIFA160424,541.28,0.22,OCH
AIFA160424,541.28,1.02,FEM
AIFA160424,541.78,0.1,OCH
AIFA160424,542.0,0.18,OCH
AIFA160424,542.72,2.02,OCH
AIFA160424,542.94,0.16,FEM
AIFA160424,543.24,0.62,FEM
AIFA160424,544.24,1.02,KCHI
AIFA160424,545.26,2.48,FEM
AIFA160424,547.08,1.34,KCHI
AIFA160424,548.4,2.26,FEM
AIFA160424,548.98,0.5,KCHI
AIFA160424,550.62,1.22,KCHI
AIFA160424,552.36,0.86,FEM
AIFA160424,554.08,1.36,FEM
AIFA160424,555.86,1.26,FEM
AIFA160424,558.96,3.7,FEM
AIFA160424,562.2,0.52,KCHI
AIFA160424,562.88,1.38,FEM
AIFA160424,564.28,0.48,KCHI
AIFA160424,566.56,1.98,KCHI
AIFA160424,566.64,2.16,FEM
AIFA160424,568.98,0.16,KCHI
AIFA160424,569.66,3.44,FEM
AIFA160424,569.84,0.26,KCHI
AIFA160424,571.26,1.54,KCHI
AIFA160424,573.86,1.5,FEM
AIFA160424,575.2,1.9,KCHI
AIFA160424,576.18,0.92,FEM
AIFA160424,577.68,0.3,OCH
AIFA160424,577.78,1.54,FEM
AIFA160424,578.0,3.02,KCHI
AIFA160424,581.24,0.84,KCHI
AIFA160424,582.18,1.14,FEM
AIFA160424,583.2,2.18,KCHI
AIFA160424,585.34,1.74,FEM
AIFA160424,587.04,2.0,KCHI
AIFA160424,588.18,4.84,FEM
AIFA160424,593.66,1.82,FEM
AIFA160424,596.32,1.48,FEM
AIFA160424,598.18,1.7,FEM
AIFA160424,601.74,2.16,FEM
AIFA160424,612.2,0.72,FEM
AIFA160424,616.42,2.02,FEM
AIFA160424,618.6,1.44,FEM
AIFA160424,620.44,1.26,FEM
AIFA160424,628.96,1.12,FEM
AIFA160424,634.0,0.18,FEM
AIFA160424,637.6,0.16,FEM
AIFA160424,638.12,1.6,FEM
AIFA160424,640.78,3.28,FEM
AIFA160424,642.7,0.5,KCHI
AIFA160424,644.4,0.6,FEM
AIFA160424,644.96,0.86,OCH
AIFA160424,645.74,2.76,FEM
AIFA160424,648.38,0.36,OCH
AIFA160424,648.74,2.64,FEM
AIFA160424,656.76,0.82,KCHI
AIFA160424,660.06,0.42,FEM
AIFA160424,663.2,0.84,FEM
AIFA160424,664.66,0.36,OCH
AIFA160424,665.0,0.7,FEM
AIFA160424,667.14,1.38,FEM
AIFA160424,669.82,1.46,FEM
AIFA160424,671.6,3.28,FEM
AIFA160424,674.82,0.6,KCHI
AIFA160424,675.36,1.16,FEM
AIFA160424,676.86,1.82,FEM
