uid,start_time_s,duration_s,label
ALMA140824,3.98,0.1,FEM
ALMA140824,4.7,1.48,FEM
ALMA140824,6.32,0.24,FEM
ALMA140824,6.68,1.28,FEM
ALMA140824,9.06,1.9,FEM
ALMA140824,11.1,1.02,FEM
ALMA140824,12.46,0.78,FEM
ALMA140824,13.54,2.38,FEM
ALMA140824,19.9,1.58,FEM
ALMA140824,20.44,0.14,MAL
ALMA140824,21.62,0.48,FEM
ALMA140824,25.66,2.82,FEM
ALMA140824,28.62,1.18,FEM
ALMA140824,30.18,0.76,FEM
ALMA140824,31.14,0.7,FEM
ALMA140824,35.88,0.2,OCH
ALMA140824,45.4,0.78,FEM
ALMA140824,47.4,0.36,FEM
ALMA140824,50.9,0.84,FEM
ALMA140824,56.86,1.8,FEM
ALMA140824,59.7,0.16,MAL
ALMA140824,62.82,4.84,FEM
ALMA140824,68.1,0.7,FEM
ALMA140824,69.34,0.82,MAL
ALMA140824,71.3,0.34,MAL
ALMA140824,74.54,0.34,FEM
ALMA140824,75.62,0.7,FEM
ALMA140824,76.66,1.08,FEM
ALMA140824,77.84,0.64,FEM
ALMA140824,79.04,0.3,FEM
ALMA140824,79.5,5.02,FEM
ALMA140824,86.28,1.28,FEM
ALMA140824,91.54,0.26,MAL
ALMA140824,95.96,0.12,OCH
ALMA140824,98.0,0.5,OCH
ALMA140824,98.94,0.7,FEM
ALMA140824,99.72,2.26,OCH
ALMA140824,102.5,1.96,FEM
ALMA140824,103.3,0.18,OCH
ALMA140824,107.46,4.48,OCH
ALMA140824,112.06,0.14,OCH
ALMA140824,115.42,0.14,KCHI
ALMA140824,115.72,1.58,FEM
ALMA140824,117.42,0.3,KCHI
ALMA140824,127.36,2.68,FEM
ALMA140824,127.58,0.56,OCH
ALMA140824,129.56,1.2,OCH
ALMA140824,130.52,4.02,FEM
ALMA140824,134.92,0.22,KCHI
ALMA140824,135.32,1.1,FEM
ALMA140824,136.54,1.16,FEM
ALMA140824,138.36,0.94,FEM
ALMA140824,139.84,1.08,FEM
ALMA140824,142.78,0.5,OCH
ALMA140824,145.1,3.2,FEM
ALMA140824,146.46,0.58,KCHI
ALMA140824,146.54,0.36,OCH
ALMA140824,148.92,1.66,FEM
ALMA140824,150.68,2.0,FEM
ALMA140824,152.6,2.34,OCH
ALMA140824,153.32,9.86,FEM
ALMA140824,163.96,8.58,FEM
