uid,start_time_s,duration_s,label
ANMI190224,13.56,0.86,MAL
ANMI190224,15.38,0.54,MAL
ANMI190224,16.38,1.36,MAL
ANMI190224,17.7,1.12,FEM
ANMI190224,20.46,3.42,FEM
ANMI190224,24.1,1.74,FEM
ANMI190224,28.3,0.66,FEM
ANMI190224,29.82,0.98,FEM
ANMI190224,32.1,0.26,FEM
ANMI190224,32.58,0.5,MAL
ANMI190224,47.76,1.9,FEM
ANMI190224,54.16,0.7,MAL
ANMI190224,67.66,1.5,FEM
ANMI190224,70.14,2.62,FEM
ANMI190224,79.6,0.32,FEM
ANMI190224,86.18,1.38,MAL
ANMI190224,119.4,2.08,FEM
ANMI190224,121.74,0.34,FEM
ANMI190224,127.12,1.04,KCHI
ANMI190224,128.8,1.74,KCHI
ANMI190224,130.74,2.32,FEM
ANMI190224,130.92,0.36,KCHI
ANMI190224,132.82,0.64,KCHI
ANMI190224,140.76,0.46,KCHI
ANMI190224,141.14,6.12,FEM
ANMI190224,142.32,0.96,KCHI
ANMI190224,144.12,0.42,KCHI
ANMI190224,145.62,1.02,KCHI
ANMI190224,147.4,2.18,FEM
ANMI190224,151.24,0.64,KCHI
ANMI190224,154.9,3.72,FEM
ANMI190224,158.98,1.82,FEM
ANMI190224,159.2,0.44,KCHI
ANMI190224,160.54,0.74,KCHI
ANMI190224,162.02,0.48,KCHI
ANMI190224,163.34,1.02,KCHI
ANMI190224,164.84,0.56,FEM
ANMI190224,164.84,0.7,KCHI
ANMI190224,166.56,0.6,FEM
ANMI190224,195.92,0.6,FEM
ANMI190224,232.72,1.1,KCHI
ANMI190224,238.3,0.78,KCHI
ANMI190224,275.48,0.12,KCHI
ANMI190224,276.08,0.28,KCHI
ANMI190224,282.96,0.52,KCHI
ANMI190224,283.62,1.84,KCHI
ANMI190224,295.1,0.9,MAL
ANMI190224,296.58,1.08,MAL
ANMI190224,298.86,3.04,FEM
ANMI190224,310.44,0.26,FEM
ANMI190224,311.9,0.76,FEM
ANMI190224,313.72,1.72,FEM
ANMI190224,316.58,1.82,FEM
ANMI190224,318.72,0.8,FEM
ANMI190224,320.32,0.94,KCHI
ANMI190224,321.18,1.2,FEM
ANMI190224,322.38,0.28,KCHI
ANMI190224,322.7,0.68,FEM
ANMI190224,324.66,2.68,FEM
ANMI190224,327.96,0.8,KCHI
ANMI190224,329.02,0.58,FEM
ANMI190224,352.3,1.16,KCHI
ANMI190224,371.92,1.74,KCHI
ANMI190224,389.74,0.3,KCHI
ANMI190224,414.02,1.6,MAL
ANMI190224,446.26,0.72,KCHI
ANMI190224,447.8,1.84,KCHI
ANMI190224,472.34,1.0,KCHI
ANMI190224,475.16,0.58,KCHI
ANMI190224,481.58,0.98,FEM
ANMI190224,482.72,1.04,FEM
ANMI190224,509.44,1.38,MAL
ANMI190224,510.9,2.52,KCHI
ANMI190224,519.66,3.34,FEM
ANMI190224,523.52,1.84,FEM
ANMI190224,524.8,1.8,KCHI
ANMI190224,527.28,1.2,FEM
ANMI190224,529.54,0.36,KCHI
ANMI190224,529.78,0.8,OCH
ANMI190224,531.8,0.3,MAL
ANMI190224,532.3,2.08,KCHI
ANMI190224,539.28,0.4,MAL
ANMI190224,549.24,1.24,FEM
ANMI190224,551.18,1.28,KCHI
ANMI190224,554.56,0.58,KCHI
ANMI190224,581.5,3.44,FEM
ANMI190224,585.02,0.52,KCHI
ANMI190224,585.06,0.74,FEM
ANMI190224,585.66,0.12,KCHI
ANMI190224,586.34,5.2,FEM
ANMI190224,591.74,1.28,FEM
ANMI190224,597.0,0.78,KCHI
ANMI190224,598.82,0.82,KCHI
ANMI190224,600.98,0.18,FEM
ANMI190224,602.58,1.62,FEM
ANMI190224,605.58,1.36,FEM
ANMI190224,606.58,0.94,KCHI
ANMI190224,607.44,0.98,FEM
ANMI190224,608.58,2.34,KCHI
ANMI190224,609.24,6.34,FEM
ANMI190224,616.44,0.46,FEM
ANMI190224,617.52,1.54,FEM
ANMI190224,628.14,0.26,FEM
ANMI190224,628.52,2.12,FEM
ANMI190224,630.74,2.08,FEM
ANMI190224,634.22,2.78,KCHI
ANMI190224,639.32,0.12,MAL
ANMI190224,640.12,0.66,FEM
ANMI190224,644.76,0.72,FEM
ANMI190224,645.72,3.02,FEM
ANMI190224,652.72,1.02,MAL
ANMI190224,654.68,1.74,MAL
ANMI190224,677.84,0.62,FEM
ANMI190224,679.24,1.34,FEM
ANMI190224,680.58,0.86,KCHI
ANMI190224,682.2,0.4,FEM
ANMI190224,682.72,0.12,FEM
ANMI190224,683.48,0.72,KCHI
ANMI190224,684.56,1.16,FEM
ANMI190224,687.74,0.8,FEM
ANMI190224,688.54,0.32,KCHI
ANMI190224,689.26,1.06,KCHI
ANMI190224,691.16,0.9,KCHI
ANMI190224,693.68,1.9,KCHI
ANMI190224,696.5,1.28,KCHI
ANMI190224,704.46,2.22,FEM
ANMI190224,705.7,0.4,KCHI
ANMI190224,706.9,1.54,FEM
ANMI190224,707.22,1.44,KCHI
ANMI190224,743.86,0.16,FEM
ANMI190224,754.82,0.38,KCHI
ANMI190224,760.08,0.1,KCHI
ANMI190224,768.14,0.32,KCHI
ANMI190224,768.88,1.52,KCHI
ANMI190224,776.56,0.76,KCHI
ANMI190224,778.12,0.72,KCHI
ANMI190224,792.26,0.22,KCHI
ANMI190224,792.92,0.4,MAL
ANMI190224,793.52,2.48,KCHI
ANMI190224,793.62,0.66,FEM
ANMI190224,796.0,0.68,FEM
ANMI190224,796.64,1.6,KCHI
ANMI190224,797.2,1.04,FEM
ANMI190224,799.12,1.78,KCHI
ANMI190224,803.96,0.82,KCHI
ANMI190224,807.78,0.48,KCHI
ANMI190224,807.94,0.32,FEM
ANMI190224,808.76,0.74,KCHI
ANMI190224,810.38,1.12,KCHI
ANMI190224,811.92,5.36,KCHI
ANMI190224,813.46,0.66,OCH
ANMI190224,817.46,1.94,KCHI
ANMI190224,819.66,0.22,MAL
ANMI190224,819.88,3.84,KCHI
ANMI190224,826.0,3.0,KCHI
ANMI190224,833.44,2.08,KCHI
ANMI190224,839.78,2.8,KCHI
ANMI190224,843.16,2.12,KCHI
ANMI190224,845.42,0.1,KCHI
ANMI190224,845.72,1.64,KCHI
ANMI190224,847.74,0.28,FEM
ANMI190224,854.94,2.28,KCHI
ANMI190224,857.62,1.28,KCHI
ANMI190224,859.26,2.34,KCHI
ANMI190224,861.82,0.28,KCHI
ANMI190224,883.56,3.02,OCH
ANMI190224,889.44,1.12,MAL
ANMI190224,895.5,1.34,FEM
ANMI190224,897.84,1.4,FEM
ANMI190224,899.92,0.9,FEM
ANMI190224,901.5,1.08,FEM
ANMI190224,903.64,1.18,FEM
ANMI190224,905.0,2.18,OCH
ANMI190224,906.04,0.84,MAL
ANMI190224,907.14,0.3,FEM
ANMI190224,907.44,0.38,KCHI
ANMI190224,907.64,1.5,FEM
ANMI190224,908.66,1.1,MAL
ANMI190224,910.48,0.5,MAL
ANMI190224,912.84,0.38,MAL
ANMI190224,914.06,1.34,MAL
ANMI190224,917.08,0.42,MAL
ANMI190224,921.5,1.18,FEM
ANMI190224,922.94,2.2,FEM
ANMI190224,926.02,0.66,FEM
ANMI190224,930.1,1.84,FEM
ANMI190224,935.3,0.2,MAL
ANMI190224,935.76,0.64,OCH
ANMI190224,941.82,0.56,FEM
ANMI190224,946.28,0.96,OCH
ANMI190224,968.44,0.32,FEM
ANMI190224,976.22,1.12,KCHI
ANMI190224,977.58,0.48,FEM
ANMI190224,978.5,0.58,OCH
ANMI190224,979.08,0.64,FEM
ANMI190224,984.12,0.96,FEM
ANMI190224,985.42,2.44,KCHI
ANMI190224,991.02,1.42,KCHI
ANMI190224,995.0,3.98,KCHI
ANMI190224,1000.28,0.34,KCHI
ANMI190224,1011.2,2.94,KCHI
ANMI190224,1014.52,0.38,FEM
ANMI190224,1023.74,0.14,FEM
ANMI190224,1024.36,1.98,KCHI
ANMI190224,1029.52,3.96,KCHI
ANMI190224,1033.96,0.66,KCHI
ANMI190224,1035.68,3.1,KCHI
ANMI190224,1042.76,0.76,KCHI
ANMI190224,1044.46,0.28,FEM
ANMI190224,1054.36,0.34,MAL
ANMI190224,1055.42,1.14,FEM
ANMI190224,1057.3,5.98,FEM
ANMI190224,1063.88,0.42,KCHI
ANMI190224,1064.32,2.64,FEM
ANMI190224,1067.44,1.84,FEM
ANMI190224,1075.1,1.38,KCHI
ANMI190224,1076.48,0.56,FEM
ANMI190224,1081.14,0.56,MAL
ANMI190224,1082.56,0.28,FEM
ANMI190224,1085.22,2.62,KCHI
ANMI190224,1087.76,0.88,FEM
ANMI190224,1093.22,2.1,KCHI
ANMI190224,1094.5,2.1,FEM
ANMI190224,1096.7,0.72,KCHI
ANMI190224,1097.54,0.94,KCHI
ANMI190224,1098.5,10.32,FEM
ANMI190224,1098.76,1.02,KCHI
ANMI190224,1100.2,1.1,KCHI
ANMI190224,1102.82,0.8,KCHI
ANMI190224,1108.72,0.64,KCHI
ANMI190224,1109.38,1.04,FEM
ANMI190224,1116.86,1.52,FEM
ANMI190224,1118.38,2.68,KCHI
ANMI190224,1119.14,0.5,FEM
ANMI190224,1134.1,0.2,OCH
ANMI190224,1134.3,1.8,FEM
ANMI190224,1134.3,2.12,KCHI
ANMI190224,1139.26,2.0,FEM
ANMI190224,1142.24,0.16,FEM
ANMI190224,1149.82,0.54,FEM
ANMI190224,1151.5,2.7,FEM
ANMI190224,1158.18,0.34,KCHI
ANMI190224,1165.16,0.98,FEM
ANMI190224,1174.44,1.28,FEM
ANMI190224,1192.6,0.48,FEM
ANMI190224,1193.62,0.48,FEM
ANMI190224,1194.0,0.52,KCHI
ANMI190224,1194.44,1.68,FEM
ANMI190224,1195.18,0.42,KCHI
