uid,start_time_s,duration_s,label
ANSO081124,1.0,1.14,FEM
ANSO081124,2.74,0.42,FEM
ANSO081124,4.02,1.62,FEM
ANSO081124,5.74,2.14,FEM
ANSO081124,8.04,3.9,FEM
ANSO081124,13.04,0.26,MAL
ANSO081124,13.84,1.86,MAL
ANSO081124,15.52,1.86,FEM
ANSO081124,17.6,1.7,MAL
ANSO081124,19.14,0.68,FEM
ANSO081124,19.9,1.82,MAL
ANSO081124,22.02,0.38,OCH
ANSO081124,22.6,0.12,MAL
ANSO081124,22.88,0.42,MAL
ANSO081124,23.06,0.38,FEM
ANSO081124,24.84,0.14,FEM
ANSO081124,25.72,0.58,MAL
ANSO081124,27.38,1.22,FEM
ANSO081124,28.52,0.48,OCH
ANSO081124,29.12,1.94,FEM
ANSO081124,31.34,7.3,FEM
ANSO081124,38.98,2.22,FEM
ANSO081124,41.14,0.24,MAL
ANSO081124,41.42,0.46,FEM
ANSO081124,42.14,1.12,FEM
ANSO081124,45.26,5.08,FEM
ANSO081124,48.88,1.38,OCH
ANSO081124,51.74,0.78,MAL
ANSO081124,53.58,1.26,FEM
ANSO081124,60.56,0.58,MAL
ANSO081124,61.1,1.0,FEM
ANSO081124,63.14,1.22,FEM
ANSO081124,65.48,3.1,FEM
ANSO081124,69.14,3.12,FEM
ANSO081124,72.74,1.26,FEM
ANSO081124,74.2,1.2,OCH
ANSO081124,75.62,0.16,FEM
ANSO081124,77.78,0.74,FEM
ANSO081124,81.36,0.76,FEM
ANSO081124,82.66,0.78,OCH
ANSO081124,83.4,0.18,FEM
ANSO081124,83.88,3.02,FEM
ANSO081124,87.56,0.18,FEM
ANSO081124,89.5,2.04,FEM
ANSO081124,91.82,1.64,MAL
ANSO081124,94.46,2.98,FEM
ANSO081124,97.28,1.54,OCH
ANSO081124,98.86,0.64,FEM
ANSO081124,99.62,0.74,MAL
ANSO081124,100.44,1.78,FEM
ANSO081124,102.88,0.74,FEM
ANSO081124,103.66,0.94,OCH
ANSO081124,106.8,1.88,OCH
ANSO081124,111.58,1.76,OCH
ANSO081124,113.42,2.0,FEM
ANSO081124,116.3,1.26,FEM
ANSO081124,122.92,0.2,FEM
ANSO081124,130.34,1.0,FEM
ANSO081124,133.82,0.98,FEM
ANSO081124,135.66,2.3,FEM
ANSO081124,138.62,0.8,FEM
ANSO081124,140.42,0.78,FEM
ANSO081124,141.44,1.4,FEM
ANSO081124,143.28,0.34,FEM
ANSO081124,143.8,0.76,FEM
ANSO081124,145.22,0.84,KCHI
ANSO081124,146.34,0.64,KCHI
ANSO081124,146.98,0.8,FEM
ANSO081124,148.58,1.68,FEM
ANSO081124,151.24,1.24,FEM
ANSO081124,152.88,2.22,FEM
ANSO081124,159.06,0.48,OCH
ANSO081124,163.18,1.14,FEM
ANSO081124,165.38,1.36,FEM
ANSO081124,167.82,1.44,FEM
ANSO081124,169.56,3.88,FEM
ANSO081124,174.26,5.12,FEM
ANSO081124,179.1,2.3,OCH
ANSO081124,181.92,2.36,FEM
ANSO081124,186.04,0.74,KCHI
ANSO081124,191.88,2.0,FEM
ANSO081124,196.38,1.28,KCHI
ANSO081124,198.18,1.4,FEM
ANSO081124,199.7,2.94,FEM
ANSO081124,202.98,0.88,FEM
ANSO081124,204.58,0.76,OCH
ANSO081124,206.54,0.9,FEM
ANSO081124,208.28,1.1,FEM
ANSO081124,209.72,7.04,FEM
ANSO081124,218.08,1.88,FEM
ANSO081124,220.52,1.36,FEM
ANSO081124,222.12,1.56,FEM
ANSO081124,223.88,2.54,FEM
ANSO081124,227.38,2.24,FEM
ANSO081124,235.4,1.18,FEM
ANSO081124,236.98,1.68,FEM
ANSO081124,238.8,3.08,FEM
ANSO081124,242.06,2.58,FEM
ANSO081124,245.04,3.32,FEM
ANSO081124,251.04,5.1,FEM
ANSO081124,258.34,1.32,FEM
ANSO081124,260.44,2.24,FEM
ANSO081124,267.08,0.74,FEM
ANSO081124,268.34,1.7,FEM
ANSO081124,272.7,0.8,OCH
ANSO081124,276.24,0.18,OCH
ANSO081124,282.02,1.04,FEM
ANSO081124,283.96,0.98,FEM
ANSO081124,287.04,2.34,FEM
ANSO081124,290.58,0.58,FEM
ANSO081124,293.3,1.22,FEM
ANSO081124,295.48,0.14,MAL
ANSO081124,296.6,0.34,MAL
ANSO081124,300.86,3.24,FEM
ANSO081124,303.48,0.56,MAL
ANSO081124,304.34,1.12,FEM
ANSO081124,306.52,2.12,FEM
ANSO081124,311.82,0.52,FEM
ANSO081124,314.18,1.02,FEM
ANSO081124,315.74,0.98,FEM
ANSO081124,315.84,0.9,MAL
ANSO081124,317.92,2.16,FEM
ANSO081124,320.22,1.08,FEM
ANSO081124,321.86,1.84,FEM
ANSO081124,324.58,1.06,FEM
ANSO081124,326.36,1.32,FEM
ANSO081124,330.34,7.58,FEM
ANSO081124,332.6,0.3,OCH
ANSO081124,337.02,0.78,MAL
ANSO081124,338.84,0.9,FEM
ANSO081124,340.3,0.52,FEM
ANSO081124,341.42,0.86,KCHI
ANSO081124,341.74,0.18,OCH
ANSO081124,342.0,0.28,FEM
ANSO081124,342.28,0.16,OCH
ANSO081124,342.28,0.56,MAL
ANSO081124,342.76,1.22,OCH
ANSO081124,343.96,4.7,FEM
ANSO081124,347.44,2.8,OCH
ANSO081124,350.12,0.74,FEM
ANSO081124,350.42,0.56,OCH
ANSO081124,351.04,1.04,MAL
ANSO081124,352.54,1.92,FEM
ANSO081124,354.8,1.0,FEM
ANSO081124,356.24,0.54,MAL
ANSO081124,357.22,0.98,FEM
ANSO081124,358.54,3.44,FEM
ANSO081124,362.18,1.78,FEM
ANSO081124,365.1,1.06,FEM
ANSO081124,366.24,1.12,MAL
ANSO081124,367.36,1.32,FEM
ANSO081124,368.94,1.2,MAL
ANSO081124,370.14,2.54,FEM
ANSO081124,372.86,3.04,FEM
ANSO081124,376.9,2.14,FEM
ANSO081124,380.06,1.32,FEM
ANSO081124,381.58,1.88,FEM
ANSO081124,384.04,1.36,FEM
ANSO081124,385.76,3.86,FEM
ANSO081124,390.16,2.72,FEM
ANSO081124,394.72,2.72,FEM
ANSO081124,398.0,3.98,FEM
ANSO081124,402.18,1.74,FEM
ANSO081124,404.12,1.42,FEM
ANSO081124,405.96,2.48,FEM
ANSO081124,408.94,1.38,FEM
ANSO081124,410.46,0.86,MAL
ANSO081124,411.34,2.44,FEM
ANSO081124,414.7,1.88,FEM
ANSO081124,416.76,2.36,FEM
ANSO081124,419.26,1.06,FEM
ANSO081124,419.84,1.36,OCH
ANSO081124,420.04,1.1,KCHI
ANSO081124,422.0,0.92,FEM
ANSO081124,423.04,1.02,OCH
ANSO081124,424.42,1.34,FEM
ANSO081124,426.38,2.0,FEM
ANSO081124,430.18,0.76,KCHI
ANSO081124,430.84,14.92,FEM
ANSO081124,435.96,0.22,KCHI
ANSO081124,439.96,2.34,KCHI
ANSO081124,444.1,0.78,KCHI
ANSO081124,445.8,1.96,OCH
ANSO081124,446.84,0.16,KCHI
ANSO081124,447.82,1.64,MAL
ANSO081124,449.74,5.24,FEM
ANSO081124,455.12,1.54,FEM
ANSO081124,457.92,3.06,OCH
ANSO081124,461.3,0.36,KCHI
ANSO081124,461.68,2.08,FEM
ANSO081124,462.38,2.18,KCHI
ANSO081124,464.42,2.22,FEM
ANSO081124,464.76,3.54,KCHI
ANSO081124,469.1,4.02,FEM
ANSO081124,474.06,0.8,KCHI
ANSO081124,474.98,0.48,KCHI
ANSO081124,475.46,0.42,MAL
ANSO081124,475.94,0.1,KCHI
ANSO081124,476.0,0.66,OCH
ANSO081124,477.5,0.36,OCH
ANSO081124,477.72,2.72,KCHI
ANSO081124,477.98,0.12,OCH
ANSO081124,481.06,0.52,FEM
ANSO081124,481.56,0.56,KCHI
ANSO081124,481.82,0.96,FEM
ANSO081124,483.08,0.8,KCHI
ANSO081124,483.86,2.82,FEM
ANSO081124,484.22,0.84,KCHI
ANSO081124,485.42,0.14,MAL
ANSO081124,486.7,2.38,MAL
ANSO081124,489.14,0.62,KCHI
ANSO081124,489.96,0.28,KCHI
ANSO081124,490.22,2.84,MAL
ANSO081124,493.52,7.96,FEM
ANSO081124,501.48,0.82,MAL
ANSO081124,503.36,1.18,FEM
ANSO081124,503.84,0.62,MAL
ANSO081124,505.0,2.64,KCHI
ANSO081124,508.06,0.62,KCHI
ANSO081124,508.82,0.1,KCHI
ANSO081124,509.96,0.86,MAL
ANSO081124,511.06,0.78,KCHI
ANSO081124,511.9,1.1,MAL
ANSO081124,513.72,1.16,FEM
ANSO081124,515.76,1.22,FEM
ANSO081124,518.74,1.44,MAL
ANSO081124,519.78,1.58,KCHI
ANSO081124,520.38,0.16,MAL
ANSO081124,522.06,1.94,MAL
ANSO081124,525.08,2.16,MAL
ANSO081124,527.4,0.68,OCH
ANSO081124,528.4,2.06,MAL
ANSO081124,530.74,1.5,OCH
ANSO081124,533.06,0.26,OCH
ANSO081124,533.86,1.98,MAL
ANSO081124,537.1,1.88,MAL
ANSO081124,539.68,0.98,FEM
ANSO081124,540.84,0.44,MAL
ANSO081124,544.48,0.46,FEM
ANSO081124,546.96,1.76,MAL
ANSO081124,548.96,0.28,MAL
ANSO081124,549.24,2.04,FEM
ANSO081124,552.62,0.6,FEM
ANSO081124,553.22,1.86,MAL
ANSO081124,555.98,1.06,MAL
ANSO081124,557.36,1.02,MAL
ANSO081124,559.5,0.4,OCH
ANSO081124,559.92,0.8,MAL
ANSO081124,562.34,0.94,MAL
ANSO081124,563.72,1.44,FEM
ANSO081124,565.66,1.42,FEM
