uid,start_time_s,duration_s,label
ARSI070424,3.3,0.68,FEM
ARSI070424,11.94,1.78,FEM
ARSI070424,14.38,1.14,FEM
ARSI070424,16.62,1.78,FEM
ARSI070424,18.84,1.74,FEM
ARSI070424,21.34,0.66,FEM
ARSI070424,22.28,0.98,FEM
ARSI070424,23.44,1.32,FEM
ARSI070424,25.3,1.58,FEM
ARSI070424,28.1,1.34,FEM
ARSI070424,31.84,1.7,FEM
ARSI070424,34.76,1.64,FEM
ARSI070424,36.9,1.56,FEM
ARSI070424,39.8,1.16,FEM
ARSI070424,41.68,1.5,FEM
ARSI070424,43.34,0.7,KCHI
ARSI070424,44.2,1.04,FEM
ARSI070424,45.24,0.8,MAL
ARSI070424,46.2,1.56,FEM
ARSI070424,48.98,1.4,FEM
ARSI070424,50.46,0.64,MAL
ARSI070424,56.8,2.84,FEM
ARSI070424,61.1,0.28,MAL
ARSI070424,62.92,2.2,FEM
ARSI070424,64.76,0.86,MAL
ARSI070424,65.66,1.4,FEM
ARSI070424,66.9,0.76,KCHI
ARSI070424,67.66,3.42,FEM
ARSI070424,71.22,0.82,KCHI
ARSI070424,72.96,2.66,FEM
ARSI070424,87.42,0.14,FEM
ARSI070424,88.88,0.58,KCHI
ARSI070424,91.54,0.8,FEM
ARSI070424,92.96,0.74,KCHI
ARSI070424,94.82,1.86,FEM
ARSI070424,97.38,1.04,FEM
ARSI070424,99.32,1.8,FEM
ARSI070424,101.68,1.64,FEM
ARSI070424,104.0,1.22,FEM
ARSI070424,105.52,1.46,FEM
ARSI070424,107.46,3.14,FEM
ARSI070424,116.8,2.48,FEM
ARSI070424,120.88,0.2,FEM
ARSI070424,121.42,0.28,MAL
ARSI070424,122.72,0.66,MAL
ARSI070424,127.36,0.24,FEM
ARSI070424,135.32,1.3,FEM
ARSI070424,136.86,1.54,FEM
ARSI070424,138.62,0.96,KCHI
ARSI070424,141.74,2.16,FEM
ARSI070424,144.04,1.4,FEM
ARSI070424,146.08,0.72,FEM
ARSI070424,147.0,1.02,FEM
ARSI070424,148.8,0.98,FEM
ARSI070424,150.44,2.52,FEM
ARSI070424,158.82,1.72,FEM
ARSI070424,161.5,1.68,FEM
ARSI070424,163.18,0.34,MAL
ARSI070424,164.36,2.72,MAL
ARSI070424,167.16,1.86,KCHI
