uid,start_time_s,duration_s,label
ARSO310724,0.0,0.8,FEM
ARSO310724,0.1,0.24,OCH
ARSO310724,3.3,1.74,FEM
ARSO310724,3.98,0.62,OCH
ARSO310724,4.74,0.14,OCH
ARSO310724,8.68,1.5,MAL
ARSO310724,10.44,0.7,FEM
ARSO310724,10.44,0.86,KCHI
ARSO310724,11.58,1.72,MAL
ARSO310724,11.94,0.58,KCHI
ARSO310724,13.7,0.24,MAL
ARSO310724,14.32,0.2,OCH
ARSO310724,14.52,1.28,MAL
ARSO310724,17.3,0.18,MAL
ARSO310724,17.62,0.4,OCH
ARSO310724,18.9,1.72,FEM
ARSO310724,21.28,1.3,FEM
ARSO310724,23.16,3.76,FEM
ARSO310724,24.02,0.16,OCH
ARSO310724,25.76,0.12,OCH
ARSO310724,26.28,0.26,OCH
ARSO310724,27.7,0.16,FEM
ARSO310724,27.86,0.58,OCH
ARSO310724,28.62,0.68,MAL
ARSO310724,29.4,1.5,FEM
ARSO310724,31.1,0.74,FEM
ARSO310724,31.34,0.36,OCH
ARSO310724,31.84,0.34,MAL
ARSO310724,32.46,0.96,MAL
ARSO310724,32.58,2.98,FEM
ARSO310724,33.86,0.66,MAL
ARSO310724,34.98,0.66,MAL
ARSO310724,35.82,0.7,FEM
ARSO310724,36.88,2.52,FEM
ARSO310724,39.88,0.46,OCH
ARSO310724,40.38,7.64,FEM
ARSO310724,42.52,1.26,MAL
ARSO310724,47.76,3.0,OCH
ARSO310724,48.2,0.88,FEM
ARSO310724,49.22,0.58,MAL
ARSO310724,49.8,0.66,FEM
ARSO310724,50.82,0.5,MAL
ARSO310724,51.62,1.36,OCH
ARSO310724,52.56,1.34,FEM
ARSO310724,53.3,2.42,OCH
ARSO310724,55.72,0.4,FEM
ARSO310724,56.64,4.08,FEM
ARSO310724,60.78,0.36,OCH
ARSO310724,61.4,2.18,FEM
ARSO310724,63.68,0.3,FEM
ARSO310724,64.2,2.54,FEM
ARSO310724,66.32,1.28,OCH
ARSO310724,68.16,0.98,OCH
ARSO310724,69.18,0.54,FEM
ARSO310724,69.9,0.26,FEM
ARSO310724,72.42,0.78,KCHI
ARSO310724,73.18,1.0,OCH
ARSO310724,74.46,3.54,OCH
ARSO310724,74.5,0.4,FEM
ARSO310724,77.32,0.42,FEM
ARSO310724,79.14,0.38,MAL
ARSO310724,79.6,1.3,FEM
ARSO310724,80.94,1.6,OCH
ARSO310724,86.5,1.06,OCH
ARSO310724,91.3,0.8,FEM
ARSO310724,101.98,0.94,OCH
ARSO310724,103.48,2.14,OCH
ARSO310724,103.88,1.4,KCHI
ARSO310724,106.68,0.78,OCH
ARSO310724,107.68,0.8,OCH
ARSO310724,108.58,1.8,FEM
ARSO310724,110.94,0.84,FEM
ARSO310724,113.08,1.76,FEM
ARSO310724,115.56,0.82,FEM
