uid,start_time_s,duration_s,label
AVSO161024,0.0,0.54,FEM
AVSO161024,0.62,0.18,MAL
AVSO161024,1.18,0.54,FEM
AVSO161024,2.64,2.36,FEM
AVSO161024,5.1,2.08,OCH
AVSO161024,5.48,2.32,FEM
AVSO161024,7.96,0.38,FEM
AVSO161024,9.08,1.88,FEM
AVSO161024,12.14,0.28,FEM
AVSO161024,12.82,1.34,FEM
AVSO161024,14.36,2.94,FEM
AVSO161024,17.96,3.42,FEM
AVSO161024,21.56,0.42,FEM
AVSO161024,22.48,0.1,MAL
AVSO161024,22.74,0.3,MAL
AVSO161024,23.46,10.4,FEM
AVSO161024,37.72,2.28,FEM
AVSO161024,42.5,1.5,FEM
AVSO161024,44.3,0.64,MAL
AVSO161024,44.46,0.64,FEM
AVSO161024,45.48,1.16,FEM
AVSO161024,45.62,0.26,OCH
AVSO161024,46.82,0.18,MAL
AVSO161024,46.9,2.62,FEM
AVSO161024,47.1,0.16,MAL
AVSO161024,48.36,0.22,KCHI
AVSO161024,49.68,4.6,FEM
AVSO161024,52.5,0.36,OCH
AVSO161024,53.48,0.1,OCH
AVSO161024,55.0,0.46,MAL
AVSO161024,55.72,0.6,FEM
AVSO161024,56.32,0.78,MAL
AVSO161024,57.56,0.74,FEM
AVSO161024,61.9,3.58,FEM
AVSO161024,66.54,0.96,FEM
AVSO161024,72.22,5.62,FEM
AVSO161024,77.96,5.62,FEM
AVSO161024,83.88,2.56,FEM
AVSO161024,86.7,5.6,FEM
AVSO161024,92.56,3.98,FEM
AVSO161024,93.88,0.68,OCH
AVSO161024,94.94,0.44,OCH
AVSO161024,96.66,1.12,FEM
AVSO161024,98.54,0.52,KCHI
AVSO161024,98.58,0.64,FEM
AVSO161024,102.46,1.8,FEM
AVSO161024,104.64,2.38,FEM
AVSO161024,107.22,1.32,FEM
AVSO161024,112.14,1.16,KCHI
AVSO161024,113.2,2.22,FEM
AVSO161024,116.98,3.3,FEM
AVSO161024,122.06,0.72,FEM
AVSO161024,123.72,2.0,FEM
AVSO161024,125.88,4.56,FEM
AVSO161024,131.14,0.2,KCHI
AVSO161024,132.64,7.54,FEM
AVSO161024,140.44,1.54,MAL
AVSO161024,146.86,1.52,FEM
AVSO161024,148.66,0.82,OCH
AVSO161024,149.74,0.9,OCH
AVSO161024,151.84,0.34,MAL
AVSO161024,152.84,1.2,FEM
AVSO161024,154.66,0.82,OCH
AVSO161024,155.52,0.34,FEM
AVSO161024,156.54,0.96,FEM
AVSO161024,157.84,3.96,FEM
AVSO161024,163.08,4.84,FEM
AVSO161024,167.78,0.96,OCH
AVSO161024,168.24,0.76,FEM
AVSO161024,168.88,1.88,OCH
AVSO161024,169.26,1.88,FEM
AVSO161024,171.1,0.4,MAL
AVSO161024,171.72,3.4,FEM
AVSO161024,175.12,0.24,OCH
AVSO161024,175.58,0.9,OCH
AVSO161024,177.0,2.1,FEM
AVSO161024,179.48,0.52,FEM
AVSO161024,179.88,0.58,MAL
AVSO161024,180.14,2.82,FEM
AVSO161024,183.06,0.22,FEM
AVSO161024,185.42,3.98,FEM
AVSO161024,189.78,0.68,FEM
AVSO161024,191.04,4.94,FEM
AVSO161024,193.3,0.18,MAL
AVSO161024,193.7,0.14,MAL
AVSO161024,194.0,0.24,MAL
AVSO161024,195.04,0.78,MAL
AVSO161024,195.98,0.24,MAL
AVSO161024,196.34,1.38,FEM
AVSO161024,197.66,0.18,MAL
AVSO161024,197.98,3.98,FEM
AVSO161024,202.14,2.12,FEM
AVSO161024,204.08,0.48,OCH
AVSO161024,204.84,0.76,MAL
AVSO161024,206.74,2.9,FEM
AVSO161024,209.9,4.16,FEM
AVSO161024,215.0,1.9,FEM
AVSO161024,217.5,0.52,FEM
AVSO161024,217.92,0.98,MAL
AVSO161024,218.9,2.48,FEM
AVSO161024,222.78,7.54,FEM
AVSO161024,226.88,1.06,MAL
AVSO161024,230.34,0.5,KCHI
AVSO161024,231.2,1.54,FEM
AVSO161024,232.6,1.22,MAL
AVSO161024,234.3,0.32,MAL
AVSO161024,234.82,1.66,FEM
AVSO161024,235.12,0.36,MAL
AVSO161024,237.06,9.34,FEM
AVSO161024,242.78,0.96,OCH
AVSO161024,244.0,0.2,OCH
AVSO161024,246.04,0.26,OCH
AVSO161024,246.56,0.38,OCH
AVSO161024,246.92,4.52,FEM
AVSO161024,247.26,0.18,OCH
AVSO161024,251.28,0.22,MAL
AVSO161024,251.68,1.32,FEM
AVSO161024,251.98,0.24,MAL
AVSO161024,253.76,0.4,OCH
AVSO161024,254.0,1.4,MAL
AVSO161024,254.32,0.4,OCH
AVSO161024,255.78,0.72,MAL
AVSO161024,256.5,0.94,FEM
AVSO161024,257.8,0.46,FEM
AVSO161024,258.7,3.98,FEM
AVSO161024,264.08,0.56,FEM
AVSO161024,265.68,2.78,FEM
AVSO161024,269.14,2.14,FEM
AVSO161024,272.7,1.1,FEM
AVSO161024,273.76,0.72,MAL
AVSO161024,275.26,3.22,FEM
AVSO161024,278.6,1.0,OCH
AVSO161024,279.14,0.14,FEM
AVSO161024,281.14,1.36,FEM
AVSO161024,283.36,0.6,FEM
AVSO161024,285.8,0.38,KCHI
AVSO161024,286.86,0.26,OCH
AVSO161024,287.2,6.74,FEM
AVSO161024,291.36,0.54,KCHI
AVSO161024,294.6,2.5,FEM
AVSO161024,297.94,3.74,FEM
AVSO161024,300.32,0.96,MAL
AVSO161024,301.82,0.66,FEM
AVSO161024,302.02,0.88,MAL
AVSO161024,302.94,2.24,FEM
AVSO161024,305.18,0.56,MAL
AVSO161024,305.74,1.48,FEM
AVSO161024,307.36,1.56,MAL
AVSO161024,308.34,5.0,FEM
AVSO161024,314.6,1.5,FEM
AVSO161024,316.34,10.54,FEM
AVSO161024,327.18,1.8,FEM
AVSO161024,327.24,2.3,OCH
AVSO161024,329.42,0.6,FEM
AVSO161024,329.88,0.34,OCH
