uid,start_time_s,duration_s,label
AYGU120623,1.58,0.58,KCHI
AYGU120623,2.42,1.56,FEM
AYGU120623,2.68,2.4,KCHI
AYGU120623,3.98,1.12,OCH
AYGU120623,5.16,0.96,FEM
AYGU120623,5.9,0.26,OCH
AYGU120623,6.16,1.3,KCHI
AYGU120623,6.84,0.18,OCH
AYGU120623,7.14,0.82,OCH
AYGU120623,8.8,2.22,KCHI
AYGU120623,9.42,2.36,FEM
AYGU120623,11.7,2.12,KCHI
AYGU120623,13.72,1.3,FEM
AYGU120623,14.94,1.82,KCHI
AYGU120623,16.5,1.26,FEM
AYGU120623,16.98,1.02,OCH
AYGU120623,18.88,2.96,KCHI
AYGU120623,21.68,1.6,FEM
AYGU120623,22.82,2.18,KCHI
AYGU120623,24.9,2.26,FEM
AYGU120623,27.12,0.74,MAL
AYGU120623,27.86,0.72,FEM
AYGU120623,28.88,2.52,KCHI
AYGU120623,30.3,1.92,FEM
AYGU120623,32.2,0.76,OCH
AYGU120623,33.06,0.12,OCH
AYGU120623,34.06,0.38,FEM
AYGU120623,34.3,2.42,KCHI
AYGU120623,35.82,0.4,FEM
AYGU120623,36.86,0.42,FEM
AYGU120623,37.74,2.62,KCHI
AYGU120623,39.04,0.76,FEM
AYGU120623,40.6,0.28,MAL
AYGU120623,41.02,2.1,OCH
AYGU120623,41.14,1.04,FEM
AYGU120623,43.78,0.24,FEM
AYGU120623,43.78,0.78,KCHI
AYGU120623,45.82,0.9,FEM
AYGU120623,47.56,0.2,FEM
AYGU120623,47.76,0.34,KCHI
AYGU120623,47.96,1.1,FEM
AYGU120623,49.68,1.66,FEM
AYGU120623,52.56,0.18,FEM
AYGU120623,52.86,0.2,FEM
AYGU120623,53.36,1.26,KCHI
AYGU120623,54.98,0.44,FEM
AYGU120623,55.68,0.52,FEM
AYGU120623,56.18,1.6,KCHI
AYGU120623,57.44,0.92,FEM
AYGU120623,59.94,7.72,FEM
AYGU120623,63.68,0.6,KCHI
AYGU120623,68.86,0.56,FEM
AYGU120623,74.22,1.4,FEM
AYGU120623,75.44,0.18,KCHI
AYGU120623,87.56,0.78,FEM
AYGU120623,91.02,0.68,FEM
AYGU120623,91.6,2.86,OCH
AYGU120623,102.74,1.24,FEM
AYGU120623,104.86,1.28,FEM
AYGU120623,107.7,0.16,KCHI
AYGU120623,109.9,0.74,KCHI
AYGU120623,113.36,2.06,KCHI
AYGU120623,119.4,0.26,KCHI
AYGU120623,122.3,2.0,KCHI
AYGU120623,126.34,0.98,MAL
AYGU120623,129.08,0.78,KCHI
AYGU120623,134.64,0.94,FEM
AYGU120623,136.98,0.7,FEM
AYGU120623,137.72,0.74,OCH
AYGU120623,143.28,1.02,OCH
AYGU120623,152.9,1.24,FEM
AYGU120623,156.26,0.92,FEM
AYGU120623,158.46,0.74,FEM
AYGU120623,164.6,1.54,FEM
AYGU120623,166.66,0.48,KCHI
AYGU120623,167.3,1.22,FEM
AYGU120623,170.7,1.5,FEM
AYGU120623,172.26,1.32,KCHI
AYGU120623,174.34,0.78,KCHI
AYGU120623,175.86,0.66,KCHI
AYGU120623,176.56,0.78,FEM
AYGU120623,177.48,0.92,KCHI
AYGU120623,183.2,1.44,FEM
AYGU120623,192.86,0.26,FEM
AYGU120623,195.68,1.12,FEM
AYGU120623,197.38,0.48,FEM
AYGU120623,208.8,1.16,FEM
AYGU120623,212.04,0.2,KCHI
AYGU120623,213.02,0.7,KCHI
AYGU120623,213.42,0.3,FEM
AYGU120623,214.92,1.72,FEM
AYGU120623,217.38,0.84,FEM
AYGU120623,220.62,1.74,FEM
AYGU120623,230.84,1.02,KCHI
AYGU120623,236.8,0.74,FEM
AYGU120623,238.4,0.4,KCHI
AYGU120623,240.44,0.96,FEM
AYGU120623,241.92,0.5,KCHI
AYGU120623,242.0,1.24,FEM
AYGU120623,243.32,0.4,KCHI
AYGU120623,244.32,0.28,KCHI
AYGU120623,247.34,0.72,KCHI
AYGU120623,248.58,0.52,KCHI
AYGU120623,251.22,3.1,OCH
AYGU120623,254.38,0.14,FEM
AYGU120623,256.02,0.36,KCHI
AYGU120623,261.08,0.28,FEM
AYGU120623,263.56,2.9,OCH
AYGU120623,269.02,0.34,OCH
AYGU120623,271.5,1.38,OCH
AYGU120623,274.62,1.8,FEM
AYGU120623,279.0,0.74,FEM
AYGU120623,281.0,0.92,KCHI
AYGU120623,282.58,0.74,FEM
AYGU120623,283.94,2.18,OCH
AYGU120623,292.58,1.0,OCH
AYGU120623,293.96,0.5,KCHI
AYGU120623,295.34,0.5,KCHI
AYGU120623,298.5,0.5,KCHI
AYGU120623,299.44,0.26,KCHI
AYGU120623,308.48,1.14,FEM
AYGU120623,310.6,1.4,FEM
AYGU120623,312.4,0.96,FEM
AYGU120623,314.52,0.54,FEM
AYGU120623,315.42,0.8,FEM
AYGU120623,318.62,0.78,OCH
AYGU120623,335.62,1.18,FEM
AYGU120623,342.28,1.46,FEM
AYGU120623,346.26,0.62,FEM
AYGU120623,348.64,0.26,FEM
AYGU120623,365.58,0.92,FEM
AYGU120623,373.4,0.72,OCH
AYGU120623,379.22,0.7,FEM
AYGU120623,381.1,0.5,FEM
AYGU120623,385.54,0.18,FEM
AYGU120623,386.92,0.18,OCH
AYGU120623,389.0,1.04,OCH
AYGU120623,390.04,1.06,KCHI
AYGU120623,394.02,0.2,FEM
AYGU120623,406.16,0.78,FEM
AYGU120623,407.46,0.66,FEM
AYGU120623,408.54,0.7,FEM
AYGU120623,410.14,0.76,FEM
AYGU120623,412.08,1.84,FEM
AYGU120623,417.54,0.36,FEM
AYGU120623,421.72,0.82,KCHI
AYGU120623,422.9,1.24,KCHI
AYGU120623,424.84,1.0,KCHI
AYGU120623,427.96,0.5,KCHI
AYGU120623,435.52,1.08,FEM
AYGU120623,436.54,0.94,KCHI
AYGU120623,437.42,0.38,FEM
AYGU120623,438.14,1.06,KCHI
AYGU120623,439.16,0.86,FEM
AYGU120623,440.92,0.86,FEM
AYGU120623,444.62,0.84,FEM
AYGU120623,453.6,0.12,FEM
AYGU120623,454.18,0.44,FEM
AYGU120623,456.24,0.8,FEM
AYGU120623,457.6,0.56,KCHI
AYGU120623,458.28,0.46,FEM
AYGU120623,458.82,0.18,KCHI
AYGU120623,462.62,0.76,KCHI
AYGU120623,465.66,0.96,OCH
AYGU120623,469.42,0.22,OCH
AYGU120623,481.84,1.18,FEM
AYGU120623,483.06,1.36,OCH
AYGU120623,484.68,1.74,FEM
AYGU120623,487.0,0.34,FEM
AYGU120623,491.72,0.86,FEM
AYGU120623,492.82,0.58,KCHI
AYGU120623,494.92,1.06,FEM
AYGU120623,496.92,3.08,FEM
AYGU120623,501.22,1.08,FEM
AYGU120623,502.26,0.9,OCH
AYGU120623,503.68,1.06,FEM
AYGU120623,504.88,2.68,OCH
AYGU120623,507.42,0.64,KCHI
AYGU120623,508.32,0.68,OCH
AYGU120623,517.4,0.42,MAL
AYGU120623,520.24,0.4,KCHI
AYGU120623,525.36,1.24,OCH
AYGU120623,525.38,0.46,FEM
AYGU120623,526.96,0.88,OCH
AYGU120623,529.08,0.26,OCH
AYGU120623,531.46,1.22,FEM
AYGU120623,533.16,0.62,FEM
AYGU120623,533.88,0.54,KCHI
AYGU120623,534.54,1.52,FEM
AYGU120623,536.96,0.86,FEM
AYGU120623,559.02,0.32,FEM
AYGU120623,561.18,1.22,MAL
AYGU120623,570.24,2.2,OCH
AYGU120623,576.86,1.76,FEM
AYGU120623,585.06,0.28,FEM
AYGU120623,593.06,0.38,OCH
AYGU120623,593.84,1.94,OCH
AYGU120623,603.66,1.1,FEM
AYGU120623,605.2,1.2,FEM
AYGU120623,608.04,0.56,FEM
AYGU120623,609.22,0.72,FEM
AYGU120623,610.78,1.5,FEM
AYGU120623,613.16,1.32,FEM
AYGU120623,615.2,0.78,FEM
AYGU120623,616.48,1.06,FEM
AYGU120623,618.24,0.56,FEM
AYGU120623,619.56,1.12,FEM
AYGU120623,621.34,0.56,FEM
AYGU120623,622.68,0.5,KCHI
AYGU120623,623.68,0.52,FEM
AYGU120623,624.72,0.14,OCH
AYGU120623,624.86,0.52,KCHI
AYGU120623,625.22,1.14,FEM
AYGU120623,626.7,1.06,FEM
AYGU120623,628.16,1.0,KCHI
AYGU120623,629.14,0.66,FEM
AYGU120623,630.1,1.36,FEM
AYGU120623,632.06,1.6,FEM
AYGU120623,635.42,1.2,FEM
AYGU120623,636.98,1.48,FEM
AYGU120623,638.88,1.44,OCH
AYGU120623,640.44,0.34,OCH
AYGU120623,642.96,1.58,FEM
AYGU120623,644.94,0.98,FEM
AYGU120623,652.32,0.4,FEM
AYGU120623,652.72,0.8,OCH
AYGU120623,654.76,3.54,FEM
AYGU120623,660.68,0.72,FEM
AYGU120623,662.12,3.4,FEM
AYGU120623,670.9,3.0,FEM
AYGU120623,674.04,0.42,OCH
AYGU120623,674.9,0.88,OCH
AYGU120623,676.6,3.14,OCH
AYGU120623,680.64,1.04,OCH
AYGU120623,683.54,1.02,FEM
AYGU120623,692.52,1.84,OCH
AYGU120623,706.04,0.26,MAL
AYGU120623,706.56,1.0,MAL
AYGU120623,709.6,1.34,FEM
AYGU120623,712.42,1.68,KCHI
AYGU120623,715.66,0.54,FEM
AYGU120623,716.98,0.6,FEM
AYGU120623,718.32,0.14,FEM
AYGU120623,719.2,0.3,FEM
AYGU120623,719.34,0.64,OCH
AYGU120623,721.58,0.86,FEM
AYGU120623,723.38,0.2,FEM
AYGU120623,724.18,0.12,MAL
AYGU120623,724.54,0.38,FEM
AYGU120623,725.52,0.2,FEM
AYGU120623,725.86,0.34,FEM
AYGU120623,727.7,0.64,FEM
AYGU120623,737.76,1.06,FEM
AYGU120623,740.28,1.08,FEM
AYGU120623,741.82,0.98,FEM
AYGU120623,743.46,0.8,FEM
AYGU120623,747.66,0.64,FEM
AYGU120623,760.96,1.82,OCH
AYGU120623,763.3,0.24,OCH
AYGU120623,763.88,2.28,OCH
AYGU120623,774.38,1.02,OCH
AYGU120623,775.98,0.22,OCH
AYGU120623,778.36,1.02,OCH
AYGU120623,779.74,0.14,OCH
AYGU120623,781.1,2.96,OCH
AYGU120623,790.1,0.12,OCH
AYGU120623,795.46,1.4,FEM
AYGU120623,800.7,2.26,KCHI
AYGU120623,821.52,1.84,FEM
AYGU120623,828.12,0.36,KCHI
AYGU120623,828.76,0.58,KCHI
AYGU120623,829.44,0.12,KCHI
AYGU120623,829.66,0.22,KCHI
AYGU120623,835.8,0.18,KCHI
AYGU120623,836.74,0.76,KCHI
AYGU120623,840.72,0.14,OCH
AYGU120623,849.12,0.84,FEM
AYGU120623,850.88,0.84,FEM
AYGU120623,852.32,0.52,OCH
AYGU120623,853.0,0.74,FEM
AYGU120623,856.24,0.56,KCHI
AYGU120623,856.98,1.34,FEM
AYGU120623,859.18,0.5,FEM
AYGU120623,860.58,0.84,FEM
AYGU120623,895.5,1.3,FEM
