uid,start_time_s,duration_s,label
BASE250424,0.14,1.86,FEM
BASE250424,2.4,1.58,KCHI
BASE250424,4.04,2.92,FEM
BASE250424,6.56,0.88,KCHI
BASE250424,7.36,0.6,FEM
BASE250424,8.84,1.42,KCHI
BASE250424,10.3,1.64,MAL
BASE250424,11.94,1.78,KCHI
BASE250424,11.94,2.88,FEM
BASE250424,14.8,0.38,KCHI
BASE250424,15.36,1.28,KCHI
BASE250424,17.9,2.5,KCHI
BASE250424,20.52,0.42,FEM
BASE250424,20.92,0.82,MAL
BASE250424,21.2,1.84,FEM
BASE250424,21.88,1.54,KCHI
BASE250424,23.42,0.46,FEM
BASE250424,25.3,0.48,KCHI
BASE250424,26.3,0.62,KCHI
BASE250424,28.14,3.1,FEM
BASE250424,31.6,0.5,FEM
BASE250424,31.84,1.82,KCHI
BASE250424,33.12,2.7,FEM
BASE250424,34.86,2.6,KCHI
BASE250424,36.78,2.2,FEM
BASE250424,38.46,1.34,KCHI
BASE250424,39.22,4.56,FEM
BASE250424,41.92,0.4,OCH
BASE250424,42.6,0.44,OCH
BASE250424,43.3,0.34,MAL
BASE250424,44.26,0.18,MAL
BASE250424,45.3,0.48,FEM
BASE250424,45.4,0.32,KCHI
BASE250424,45.76,0.42,MAL
BASE250424,46.12,3.86,FEM
BASE250424,46.4,0.48,KCHI
BASE250424,47.92,0.42,MAL
BASE250424,49.7,0.54,MAL
BASE250424,50.32,0.52,KCHI
BASE250424,51.14,2.5,FEM
BASE250424,51.36,0.22,OCH
BASE250424,53.94,1.18,FEM
BASE250424,55.36,0.36,MAL
BASE250424,56.38,0.9,KCHI
BASE250424,57.86,0.6,FEM
BASE250424,58.58,1.12,KCHI
BASE250424,59.7,0.66,OCH
BASE250424,60.3,0.92,FEM
BASE250424,61.12,0.46,KCHI
BASE250424,61.62,0.36,OCH
BASE250424,62.0,0.92,MAL
BASE250424,63.16,0.4,KCHI
BASE250424,63.68,2.46,FEM
BASE250424,65.72,0.44,KCHI
BASE250424,66.4,0.78,OCH
BASE250424,67.32,1.6,OCH
BASE250424,69.08,0.94,KCHI
BASE250424,70.04,0.6,MAL
BASE250424,71.02,0.44,KCHI
BASE250424,73.36,0.46,KCHI
BASE250424,74.68,0.12,OCH
BASE250424,75.24,0.2,FEM
BASE250424,76.86,1.56,FEM
BASE250424,77.54,0.6,MAL
BASE250424,80.36,0.36,OCH
BASE250424,80.76,2.14,FEM
BASE250424,84.06,2.96,FEM
BASE250424,87.18,1.58,FEM
BASE250424,90.16,5.9,FEM
BASE250424,96.4,0.74,MAL
BASE250424,98.98,0.52,FEM
BASE250424,99.5,0.38,MAL
BASE250424,99.88,1.54,FEM
BASE250424,100.62,0.44,MAL
BASE250424,101.5,0.98,KCHI
BASE250424,103.38,5.38,FEM
BASE250424,109.78,0.9,FEM
BASE250424,111.02,0.24,OCH
BASE250424,111.44,0.72,MAL
BASE250424,123.1,1.04,FEM
BASE250424,124.38,1.94,FEM
BASE250424,127.0,0.72,FEM
BASE250424,129.56,0.12,MAL
BASE250424,130.1,0.32,MAL
BASE250424,131.34,1.52,MAL
BASE250424,136.68,1.14,MAL
BASE250424,140.78,0.6,MAL
BASE250424,141.48,1.44,FEM
BASE250424,143.64,2.42,MAL
BASE250424,146.42,0.68,MAL
BASE250424,147.26,2.8,MAL
BASE250424,151.0,0.24,MAL
BASE250424,151.84,0.28,KCHI
BASE250424,152.12,0.24,OCH
BASE250424,152.26,0.36,KCHI
BASE250424,153.42,0.26,KCHI
BASE250424,153.72,0.7,FEM
BASE250424,154.9,0.32,KCHI
BASE250424,155.22,1.64,MAL
BASE250424,157.08,0.62,KCHI
BASE250424,157.78,2.22,MAL
BASE250424,160.92,2.26,MAL
BASE250424,163.18,1.22,FEM
BASE250424,164.82,0.76,MAL
BASE250424,166.64,0.64,FEM
BASE250424,169.76,0.78,FEM
BASE250424,170.68,0.34,FEM
BASE250424,171.96,0.72,FEM
BASE250424,173.1,0.24,FEM
BASE250424,174.76,5.02,FEM
BASE250424,179.8,0.42,MAL
BASE250424,179.98,1.4,FEM
BASE250424,181.16,1.92,MAL
BASE250424,183.52,0.74,FEM
BASE250424,184.88,1.4,MAL
BASE250424,185.8,1.08,FEM
BASE250424,186.82,0.24,MAL
BASE250424,187.06,0.24,OCH
BASE250424,187.06,2.64,FEM
BASE250424,188.54,0.38,OCH
BASE250424,189.94,2.72,FEM
BASE250424,190.36,0.36,OCH
BASE250424,191.08,0.58,MAL
BASE250424,192.1,0.42,MAL
BASE250424,192.8,2.16,FEM
BASE250424,192.82,1.06,MAL
BASE250424,195.14,6.98,FEM
BASE250424,202.28,1.16,MAL
BASE250424,203.82,1.2,FEM
BASE250424,205.38,0.64,MAL
BASE250424,205.94,3.74,FEM
BASE250424,209.8,1.44,FEM
