uid,start_time_s,duration_s,label
DIJH260724,0.16,0.8,MAL
DIJH260724,6.4,1.38,FEM
DIJH260724,11.94,1.02,FEM
DIJH260724,15.4,2.32,FEM
DIJH260724,18.98,0.92,FEM
DIJH260724,21.68,1.08,FEM
DIJH260724,23.88,0.38,FEM
DIJH260724,26.36,1.78,FEM
DIJH260724,30.46,0.3,FEM
DIJH260724,31.3,0.54,OCH
DIJH260724,31.84,0.92,FEM
DIJH260724,32.76,0.48,KCHI
DIJH260724,34.16,0.64,FEM
DIJH260724,37.02,0.62,FEM
DIJH260724,39.62,0.18,FEM
DIJH260724,41.0,0.84,FEM
DIJH260724,42.28,0.58,FEM
DIJH260724,42.5,1.28,OCH
DIJH260724,43.58,0.14,FEM
DIJH260724,43.78,1.2,KCHI
DIJH260724,45.38,0.58,KCHI
DIJH260724,46.22,0.84,MAL
DIJH260724,60.02,1.98,MAL
DIJH260724,73.58,1.54,FEM
DIJH260724,77.76,0.64,FEM
DIJH260724,79.6,1.12,FEM
DIJH260724,87.56,0.86,FEM
DIJH260724,92.16,3.36,FEM
DIJH260724,95.94,1.44,FEM
DIJH260724,99.26,2.1,FEM
DIJH260724,103.02,4.12,FEM
DIJH260724,109.0,0.7,FEM
DIJH260724,109.74,1.7,MAL
DIJH260724,115.42,1.82,FEM
DIJH260724,117.44,0.48,FEM
DIJH260724,119.4,2.5,MAL
DIJH260724,121.88,1.5,FEM
DIJH260724,132.1,1.62,FEM
DIJH260724,132.2,0.14,KCHI
DIJH260724,133.94,1.02,FEM
DIJH260724,135.04,0.28,OCH
DIJH260724,139.3,0.42,FEM
DIJH260724,140.5,2.7,FEM
DIJH260724,143.58,0.54,FEM
DIJH260724,144.98,0.36,FEM
DIJH260724,145.5,0.44,MAL
DIJH260724,147.26,0.52,KCHI
DIJH260724,147.82,4.18,FEM
DIJH260724,153.32,2.26,FEM
DIJH260724,153.36,1.4,OCH
DIJH260724,156.44,0.4,FEM
DIJH260724,158.96,0.22,MAL
DIJH260724,159.2,1.24,FEM
DIJH260724,161.02,1.66,FEM
DIJH260724,163.34,0.4,FEM
DIJH260724,164.64,3.8,FEM
DIJH260724,168.98,2.16,MAL
DIJH260724,176.94,0.22,MAL
DIJH260724,177.4,0.26,MAL
DIJH260724,177.7,4.54,FEM
DIJH260724,182.34,0.42,KCHI
DIJH260724,182.84,0.44,FEM
DIJH260724,184.0,0.46,FEM
DIJH260724,187.26,4.92,FEM
DIJH260724,190.56,0.48,KCHI
DIJH260724,195.56,0.9,FEM
DIJH260724,197.1,3.24,FEM
DIJH260724,199.78,0.8,OCH
DIJH260724,205.34,3.96,FEM
