uid,start_time_s,duration_s,label
DIMI310524,0.0,2.7,FEM
DIMI310524,3.98,0.54,FEM
DIMI310524,5.0,4.02,FEM
DIMI310524,11.96,0.84,OCH
DIMI310524,13.46,0.58,KCHI
DIMI310524,14.08,1.84,OCH
DIMI310524,21.58,1.54,MAL
DIMI310524,22.96,0.92,KCHI
DIMI310524,23.88,1.18,MAL
DIMI310524,25.46,0.88,FEM
DIMI310524,26.54,1.2,FEM
DIMI310524,27.86,0.64,MAL
DIMI310524,27.94,3.16,FEM
DIMI310524,28.98,0.82,MAL
DIMI310524,31.1,1.34,MAL
DIMI310524,32.54,0.82,FEM
DIMI310524,33.76,0.52,MAL
DIMI310524,34.3,1.3,FEM
DIMI310524,35.6,1.98,MAL
DIMI310524,37.76,0.78,FEM
DIMI310524,38.54,0.4,MAL
DIMI310524,39.32,1.3,OCH
DIMI310524,39.46,0.16,FEM
DIMI310524,40.08,0.14,MAL
DIMI310524,40.52,0.28,MAL
DIMI310524,40.92,0.24,OCH
DIMI310524,41.14,0.7,FEM
DIMI310524,41.94,1.82,OCH
DIMI310524,44.68,3.08,FEM
DIMI310524,47.76,3.98,OCH
DIMI310524,48.12,1.34,FEM
DIMI310524,50.72,2.2,FEM
DIMI310524,53.7,1.38,FEM
DIMI310524,55.16,0.56,MAL
DIMI310524,55.8,0.14,OCH
DIMI310524,55.86,0.78,FEM
DIMI310524,56.66,0.76,OCH
DIMI310524,57.16,1.8,FEM
DIMI310524,59.04,0.5,MAL
DIMI310524,59.52,1.82,FEM
DIMI310524,61.34,0.9,KCHI
DIMI310524,62.1,1.46,FEM
DIMI310524,63.42,0.5,KCHI
DIMI310524,63.9,1.42,FEM
DIMI310524,65.28,1.0,KCHI
DIMI310524,65.98,1.06,FEM
DIMI310524,66.4,0.16,KCHI
DIMI310524,66.82,2.42,KCHI
DIMI310524,67.78,1.02,FEM
DIMI310524,69.2,1.46,FEM
DIMI310524,69.66,0.34,KCHI
DIMI310524,72.26,1.46,KCHI
DIMI310524,74.22,0.32,KCHI
DIMI310524,74.74,2.84,FEM
DIMI310524,77.38,0.76,MAL
DIMI310524,78.0,1.6,OCH
DIMI310524,79.6,0.88,KCHI
DIMI310524,80.6,1.6,FEM
DIMI310524,82.4,2.0,FEM
DIMI310524,88.58,0.24,FEM
DIMI310524,89.26,0.34,FEM
DIMI310524,91.54,1.76,FEM
DIMI310524,93.42,3.48,FEM
DIMI310524,97.26,1.4,FEM
DIMI310524,99.2,1.84,FEM
DIMI310524,102.98,3.84,FEM
DIMI310524,107.88,2.76,FEM
DIMI310524,110.0,0.6,KCHI
DIMI310524,110.84,11.78,FEM
DIMI310524,111.46,0.26,KCHI
DIMI310524,120.02,1.38,KCHI
DIMI310524,123.38,0.78,FEM
DIMI310524,126.14,1.92,FEM
DIMI310524,128.1,0.82,KCHI
DIMI310524,129.78,1.28,FEM
DIMI310524,132.78,2.54,FEM
DIMI310524,136.28,1.42,FEM
DIMI310524,139.68,0.7,OCH
DIMI310524,140.42,0.62,FEM
DIMI310524,143.28,2.48,FEM
DIMI310524,144.2,0.22,OCH
DIMI310524,146.3,1.74,FEM
DIMI310524,148.38,1.12,FEM
DIMI310524,149.46,0.48,MAL
DIMI310524,150.22,0.5,FEM
DIMI310524,150.98,1.04,FEM
DIMI310524,152.42,0.66,MAL
DIMI310524,153.58,1.38,FEM
DIMI310524,155.22,0.36,FEM
DIMI310524,156.1,2.12,FEM
DIMI310524,157.04,1.2,KCHI
DIMI310524,161.96,2.86,FEM
DIMI310524,165.0,0.62,MAL
DIMI310524,165.5,7.82,FEM
DIMI310524,173.24,0.9,OCH
DIMI310524,173.68,6.2,FEM
DIMI310524,175.12,0.66,OCH
DIMI310524,177.98,0.24,OCH
DIMI310524,182.22,0.96,FEM
DIMI310524,183.64,1.56,FEM
DIMI310524,186.0,1.34,FEM
DIMI310524,187.58,1.78,FEM
DIMI310524,188.82,0.34,OCH
DIMI310524,189.68,1.44,KCHI
DIMI310524,190.24,7.66,FEM
DIMI310524,191.24,0.72,KCHI
DIMI310524,193.28,1.74,OCH
DIMI310524,197.62,0.82,OCH
DIMI310524,198.32,4.6,FEM
DIMI310524,203.06,4.28,FEM
DIMI310524,206.14,0.36,OCH
DIMI310524,207.34,0.26,OCH
DIMI310524,210.08,1.24,FEM
DIMI310524,212.74,0.82,FEM
DIMI310524,214.92,3.12,FEM
DIMI310524,219.74,3.6,FEM
DIMI310524,223.54,3.92,FEM
DIMI310524,228.32,1.72,KCHI
DIMI310524,229.18,1.8,FEM
DIMI310524,230.96,0.64,KCHI
DIMI310524,231.52,3.48,FEM
DIMI310524,231.7,0.26,OCH
DIMI310524,236.94,1.62,FEM
DIMI310524,238.58,0.22,KCHI
DIMI310524,238.8,0.72,FEM
DIMI310524,239.6,0.28,KCHI
DIMI310524,239.94,1.04,FEM
DIMI310524,241.5,1.0,FEM
DIMI310524,242.96,1.06,FEM
DIMI310524,244.84,0.56,OCH
DIMI310524,245.36,3.8,FEM
DIMI310524,249.74,0.84,FEM
DIMI310524,251.56,5.24,FEM
DIMI310524,254.42,0.3,KCHI
DIMI310524,256.38,0.52,KCHI
DIMI310524,257.2,0.56,FEM
DIMI310524,257.94,0.54,FEM
DIMI310524,260.18,0.36,FEM
DIMI310524,261.66,2.14,FEM
DIMI310524,264.24,3.7,FEM
DIMI310524,268.06,1.14,KCHI
DIMI310524,269.42,1.54,FEM
DIMI310524,271.58,4.06,FEM
DIMI310524,276.4,3.78,FEM
DIMI310524,280.5,1.84,FEM
DIMI310524,283.42,1.86,FEM
DIMI310524,286.48,0.14,KCHI
DIMI310524,286.82,1.48,FEM
DIMI310524,286.86,1.46,KCHI
DIMI310524,288.44,2.44,KCHI
DIMI310524,291.08,1.14,KCHI
DIMI310524,291.16,1.14,FEM
DIMI310524,292.5,1.62,KCHI
DIMI310524,295.68,1.18,KCHI
DIMI310524,297.08,1.42,FEM
DIMI310524,297.86,3.92,KCHI
DIMI310524,299.26,1.62,FEM
DIMI310524,301.88,0.9,FEM
DIMI310524,302.46,0.98,KCHI
DIMI310524,303.96,2.92,KCHI
DIMI310524,306.88,0.42,FEM
DIMI310524,307.72,2.14,KCHI
DIMI310524,309.98,4.14,FEM
DIMI310524,310.26,0.84,KCHI
DIMI310524,312.46,1.26,KCHI
DIMI310524,314.18,0.68,KCHI
DIMI310524,314.92,0.22,MAL
DIMI310524,315.34,0.2,MAL
DIMI310524,315.52,2.7,KCHI
DIMI310524,318.22,0.16,MAL
DIMI310524,318.4,3.34,KCHI
DIMI310524,320.88,0.94,FEM
DIMI310524,321.98,0.64,FEM
DIMI310524,323.04,3.74,FEM
DIMI310524,327.14,1.58,FEM
DIMI310524,327.22,1.44,KCHI
DIMI310524,329.3,2.38,KCHI
DIMI310524,331.9,0.96,FEM
DIMI310524,333.28,1.96,FEM
DIMI310524,335.04,0.62,KCHI
DIMI310524,335.9,1.92,KCHI
DIMI310524,338.16,2.8,KCHI
DIMI310524,341.04,1.2,FEM
DIMI310524,342.56,0.98,FEM
DIMI310524,344.12,0.68,FEM
DIMI310524,345.8,1.02,FEM
DIMI310524,346.26,0.88,KCHI
DIMI310524,347.52,1.98,FEM
DIMI310524,348.28,0.14,MAL
DIMI310524,354.02,0.2,KCHI
DIMI310524,355.34,2.52,FEM
DIMI310524,356.44,0.12,KCHI
DIMI310524,358.2,2.06,OCH
DIMI310524,358.64,0.18,KCHI
DIMI310524,359.22,0.54,KCHI
DIMI310524,359.4,0.8,FEM
DIMI310524,361.26,0.7,KCHI
DIMI310524,362.18,0.78,FEM
DIMI310524,362.92,0.4,KCHI
DIMI310524,363.4,4.22,FEM
DIMI310524,363.52,1.74,KCHI
DIMI310524,365.76,0.4,KCHI
DIMI310524,368.78,0.56,FEM
DIMI310524,369.48,0.58,KCHI
DIMI310524,370.3,0.4,FEM
DIMI310524,371.08,0.62,KCHI
DIMI310524,371.84,0.42,FEM
DIMI310524,373.8,1.82,FEM
DIMI310524,374.58,0.94,KCHI
