uid,start_time_s,duration_s,label
DISI020823,0.0,1.02,FEM
DISI020823,1.34,1.2,MAL
DISI020823,2.48,1.5,FEM
DISI020823,2.64,0.2,MAL
DISI020823,4.1,0.54,FEM
DISI020823,5.32,0.38,FEM
DISI020823,6.14,3.04,FEM
DISI020823,9.42,2.52,FEM
DISI020823,15.06,1.04,MAL
DISI020823,16.2,0.92,OCH
DISI020823,16.28,0.1,FEM
DISI020823,17.18,2.4,FEM
DISI020823,19.9,4.34,FEM
DISI020823,24.7,0.86,MAL
DISI020823,25.66,3.02,MAL
DISI020823,28.7,0.8,FEM
DISI020823,31.0,0.84,FEM
DISI020823,32.44,0.22,MAL
DISI020823,32.94,0.78,MAL
DISI020823,33.92,0.58,OCH
DISI020823,34.24,0.24,FEM
DISI020823,34.6,0.96,MAL
DISI020823,36.38,3.34,MAL
DISI020823,39.98,0.94,MAL
DISI020823,41.02,0.32,FEM
DISI020823,41.36,1.44,MAL
DISI020823,42.0,0.22,FEM
DISI020823,42.46,0.16,FEM
DISI020823,47.76,1.54,FEM
DISI020823,48.0,0.12,MAL
DISI020823,49.3,0.52,MAL
DISI020823,49.8,1.22,FEM
DISI020823,51.28,1.96,FEM
DISI020823,54.86,0.1,MAL
DISI020823,56.64,1.84,FEM
DISI020823,59.02,0.68,FEM
DISI020823,60.32,3.88,FEM
DISI020823,67.66,3.78,FEM
DISI020823,72.32,3.18,FEM
DISI020823,75.62,2.06,FEM
DISI020823,77.98,2.52,FEM
DISI020823,80.52,0.28,OCH
DISI020823,83.18,0.16,FEM
DISI020823,83.58,2.04,FEM
DISI020823,83.9,0.18,MAL
DISI020823,85.86,1.1,FEM
DISI020823,87.56,4.56,FEM
DISI020823,92.84,1.7,FEM
DISI020823,93.34,0.42,MAL
DISI020823,95.18,2.06,FEM
DISI020823,96.92,0.4,OCH
DISI020823,97.94,2.0,FEM
DISI020823,100.1,2.48,FEM
DISI020823,103.66,3.04,FEM
DISI020823,107.46,1.68,FEM
DISI020823,109.5,0.98,FEM
DISI020823,111.28,0.16,FEM
DISI020823,111.68,0.42,MAL
DISI020823,112.02,1.34,FEM
DISI020823,113.44,3.8,OCH
DISI020823,117.62,3.44,FEM
DISI020823,122.06,1.32,FEM
DISI020823,127.36,1.94,FEM
DISI020823,129.74,2.44,FEM
DISI020823,130.22,0.7,KCHI
DISI020823,131.62,0.3,MAL
DISI020823,132.42,1.18,KCHI
DISI020823,132.78,1.14,FEM
DISI020823,134.26,1.5,FEM
DISI020823,135.32,0.4,KCHI
DISI020823,135.98,1.06,FEM
DISI020823,137.38,1.92,FEM
DISI020823,141.28,2.28,FEM
DISI020823,141.4,1.24,KCHI
DISI020823,143.86,1.44,FEM
DISI020823,151.3,3.44,FEM
DISI020823,155.48,0.14,FEM
DISI020823,155.9,0.72,FEM
DISI020823,158.06,1.04,FEM
DISI020823,161.84,0.94,MAL
DISI020823,163.58,0.78,FEM
DISI020823,165.36,0.9,FEM
DISI020823,167.56,1.82,FEM
DISI020823,169.74,0.8,KCHI
DISI020823,170.48,0.9,FEM
DISI020823,178.86,0.24,KCHI
DISI020823,179.42,0.78,KCHI
DISI020823,181.14,1.42,FEM
DISI020823,189.22,3.0,FEM
DISI020823,202.88,0.2,KCHI
DISI020823,203.92,0.42,FEM
DISI020823,216.3,0.18,FEM
DISI020823,217.62,0.6,KCHI
DISI020823,218.24,3.2,FEM
DISI020823,219.14,0.34,KCHI
DISI020823,222.88,0.24,FEM
DISI020823,226.04,0.54,KCHI
DISI020823,226.5,0.84,FEM
DISI020823,229.06,3.38,FEM
DISI020823,233.18,0.4,FEM
DISI020823,234.82,1.82,KCHI
DISI020823,242.3,0.48,FEM
DISI020823,242.78,0.96,KCHI
DISI020823,247.1,1.34,KCHI
DISI020823,250.58,0.3,KCHI
DISI020823,257.64,0.36,KCHI
DISI020823,258.7,0.24,KCHI
DISI020823,259.28,1.84,FEM
DISI020823,262.5,0.18,KCHI
DISI020823,264.9,0.36,KCHI
DISI020823,266.06,0.6,KCHI
DISI020823,275.54,0.5,FEM
DISI020823,277.72,0.44,KCHI
DISI020823,278.6,2.34,KCHI
DISI020823,282.84,1.08,KCHI
DISI020823,289.94,0.6,FEM
DISI020823,293.64,0.44,KCHI
DISI020823,296.48,0.3,KCHI
DISI020823,299.66,1.78,FEM
DISI020823,302.1,1.72,FEM
DISI020823,304.14,0.28,KCHI
DISI020823,308.02,0.32,FEM
DISI020823,308.56,0.68,KCHI
DISI020823,309.44,1.0,KCHI
DISI020823,312.58,1.28,KCHI
DISI020823,314.42,0.46,KCHI
DISI020823,315.92,1.86,FEM
DISI020823,318.4,0.62,FEM
DISI020823,323.44,1.08,KCHI
DISI020823,325.74,0.62,KCHI
DISI020823,329.74,0.76,KCHI
DISI020823,332.46,0.88,KCHI
DISI020823,333.56,0.44,KCHI
DISI020823,334.64,0.22,FEM
DISI020823,335.78,0.46,FEM
DISI020823,338.16,0.14,FEM
DISI020823,340.88,0.44,FEM
DISI020823,342.28,0.24,KCHI
DISI020823,342.9,3.36,KCHI
DISI020823,346.26,2.3,FEM
DISI020823,350.24,0.46,KCHI
DISI020823,350.82,0.4,KCHI
DISI020823,351.5,0.94,KCHI
DISI020823,352.22,0.88,FEM
DISI020823,355.18,1.54,KCHI
DISI020823,357.98,0.22,FEM
DISI020823,358.2,2.08,KCHI
DISI020823,362.18,0.46,FEM
DISI020823,363.18,1.86,KCHI
DISI020823,364.56,1.02,FEM
DISI020823,365.88,2.18,FEM
DISI020823,368.42,1.42,FEM
DISI020823,374.0,0.12,FEM
DISI020823,378.1,1.02,KCHI
DISI020823,384.16,0.34,KCHI
DISI020823,387.98,2.06,KCHI
DISI020823,390.34,3.68,FEM
DISI020823,399.54,0.32,FEM
DISI020823,401.98,1.52,FEM
DISI020823,403.9,1.12,KCHI
DISI020823,404.7,1.26,FEM
DISI020823,405.96,1.32,OCH
DISI020823,406.82,0.88,FEM
DISI020823,407.56,0.14,OCH
DISI020823,407.64,0.24,KCHI
DISI020823,408.02,0.72,KCHI
DISI020823,408.72,1.54,FEM
DISI020823,410.4,0.28,KCHI
DISI020823,412.76,0.52,FEM
DISI020823,413.6,0.78,KCHI
DISI020823,414.32,1.48,FEM
DISI020823,417.44,3.04,FEM
DISI020823,420.98,2.08,FEM
DISI020823,421.8,0.14,KCHI
DISI020823,425.86,0.14,MAL
DISI020823,429.84,0.16,OCH
DISI020823,440.08,1.7,FEM
DISI020823,442.34,2.28,FEM
DISI020823,445.94,0.24,KCHI
DISI020823,450.94,0.4,KCHI
DISI020823,451.52,0.9,KCHI
DISI020823,452.34,1.38,FEM
DISI020823,454.42,1.04,FEM
DISI020823,455.78,0.7,KCHI
DISI020823,456.54,0.86,FEM
DISI020823,457.8,0.32,KCHI
DISI020823,459.18,0.92,FEM
DISI020823,465.66,2.18,FEM
DISI020823,467.68,1.56,KCHI
DISI020823,469.64,1.04,FEM
DISI020823,477.84,1.02,FEM
DISI020823,479.52,0.74,FEM
DISI020823,480.9,0.68,FEM
DISI020823,485.76,1.0,FEM
DISI020823,487.98,2.78,FEM
DISI020823,491.84,1.52,FEM
DISI020823,493.98,2.26,FEM
DISI020823,498.42,2.08,FEM
DISI020823,500.9,1.92,FEM
DISI020823,511.28,1.42,FEM
DISI020823,513.42,0.28,KCHI
DISI020823,513.8,0.82,FEM
DISI020823,515.66,3.94,FEM
DISI020823,519.52,0.76,KCHI
DISI020823,521.28,0.1,FEM
DISI020823,521.38,0.92,KCHI
DISI020823,522.26,0.82,FEM
DISI020823,524.58,1.08,KCHI
DISI020823,529.96,0.96,KCHI
DISI020823,533.32,0.56,FEM
DISI020823,534.68,0.94,MAL
DISI020823,536.36,1.12,KCHI
DISI020823,538.92,1.98,KCHI
DISI020823,541.28,1.44,KCHI
DISI020823,543.36,0.84,KCHI
DISI020823,544.76,1.06,KCHI
DISI020823,548.36,3.32,KCHI
DISI020823,552.9,1.32,KCHI
DISI020823,553.6,1.24,FEM
DISI020823,555.5,1.7,FEM
DISI020823,562.64,0.6,KCHI
DISI020823,563.22,0.96,FEM
DISI020823,565.3,0.86,FEM
DISI020823,566.16,0.82,KCHI
DISI020823,567.28,0.32,FEM
DISI020823,567.8,0.66,KCHI
DISI020823,575.12,0.64,KCHI
