uid,start_time_s,duration_s,label
FAFA120724,0.0,2.72,FEM
FAFA120724,7.0,0.28,FEM
FAFA120724,7.44,0.14,FEM
FAFA120724,7.78,0.16,FEM
FAFA120724,9.58,1.32,FEM
FAFA120724,10.96,0.22,MAL
FAFA120724,11.22,0.32,FEM
FAFA120724,11.66,3.12,FEM
FAFA120724,12.28,0.82,MAL
FAFA120724,13.76,0.58,MAL
FAFA120724,15.0,0.92,MAL
FAFA120724,15.92,2.28,FEM
FAFA120724,17.64,0.72,MAL
FAFA120724,18.56,0.12,MAL
FAFA120724,19.32,0.58,FEM
FAFA120724,21.64,0.96,FEM
FAFA120724,23.88,1.26,FEM
FAFA120724,25.62,0.6,FEM
FAFA120724,27.86,1.06,FEM
FAFA120724,29.52,1.16,FEM
FAFA120724,31.64,0.2,FEM
FAFA120724,38.92,0.82,FEM
FAFA120724,39.3,0.34,MAL
FAFA120724,40.28,0.22,FEM
FAFA120724,40.68,0.56,FEM
FAFA120724,41.82,0.48,FEM
FAFA120724,43.78,0.76,FEM
FAFA120724,44.82,0.88,FEM
FAFA120724,46.3,1.46,FEM
FAFA120724,50.08,0.62,MAL
FAFA120724,50.7,0.26,FEM
FAFA120724,51.16,0.58,MAL
FAFA120724,51.22,0.32,FEM
FAFA120724,55.72,3.98,FEM
FAFA120724,60.4,2.52,FEM
FAFA120724,63.22,0.38,FEM
FAFA120724,64.02,1.08,FEM
FAFA120724,66.24,1.42,FEM
FAFA120724,69.44,0.54,KCHI
FAFA120724,72.92,1.88,FEM
FAFA120724,80.66,0.88,FEM
FAFA120724,83.58,0.3,FEM
FAFA120724,86.26,1.06,MAL
FAFA120724,94.36,1.1,MAL
FAFA120724,97.18,0.38,MAL
FAFA120724,99.5,1.24,MAL
FAFA120724,103.48,1.52,MAL
FAFA120724,104.98,2.38,FEM
FAFA120724,115.76,1.2,MAL
FAFA120724,117.04,1.42,FEM
FAFA120724,119.4,1.2,FEM
FAFA120724,120.84,0.46,MAL
FAFA120724,121.34,1.38,FEM
FAFA120724,122.92,0.46,MAL
FAFA120724,125.02,0.94,FEM
FAFA120724,141.56,1.24,FEM
FAFA120724,144.22,2.74,FEM
FAFA120724,150.26,2.92,FEM
FAFA120724,153.8,0.92,FEM
FAFA120724,177.12,1.88,FEM
FAFA120724,179.4,1.28,FEM
FAFA120724,184.18,2.36,FEM
FAFA120724,192.12,0.38,FEM
FAFA120724,195.22,4.96,FEM
FAFA120724,200.38,2.08,MAL
FAFA120724,203.06,0.64,MAL
FAFA120724,204.8,5.08,FEM
FAFA120724,210.74,0.2,FEM
FAFA120724,210.94,0.2,MAL
FAFA120724,212.1,1.14,FEM
FAFA120724,213.94,2.02,MAL
FAFA120724,217.96,0.94,MAL
FAFA120724,230.88,0.36,KCHI
FAFA120724,234.82,0.56,MAL
FAFA120724,236.54,1.98,MAL
FAFA120724,239.74,1.08,MAL
FAFA120724,242.46,0.44,MAL
FAFA120724,244.12,1.46,FEM
FAFA120724,245.64,0.4,MAL
FAFA120724,247.08,1.32,FEM
FAFA120724,248.46,2.86,MAL
FAFA120724,250.24,0.36,FEM
FAFA120724,251.32,5.02,FEM
FAFA120724,258.7,0.12,FEM
FAFA120724,258.7,1.3,MAL
FAFA120724,260.1,2.1,FEM
FAFA120724,261.5,1.18,MAL
FAFA120724,263.2,0.88,FEM
FAFA120724,264.08,0.2,MAL
FAFA120724,264.86,0.2,FEM
FAFA120724,265.76,2.38,FEM
FAFA120724,273.92,1.54,FEM
FAFA120724,280.56,0.74,MAL
FAFA120724,281.46,1.04,FEM
FAFA120724,287.12,1.5,MAL
FAFA120724,294.02,3.1,FEM
FAFA120724,297.3,1.06,FEM
FAFA120724,298.6,2.36,FEM
FAFA120724,301.82,1.96,FEM
FAFA120724,304.34,2.12,FEM
FAFA120724,310.44,2.9,FEM
FAFA120724,315.04,1.14,FEM
FAFA120724,316.3,2.1,FEM
FAFA120724,321.1,1.62,FEM
FAFA120724,325.82,1.56,FEM
FAFA120724,327.82,2.34,FEM
FAFA120724,331.1,1.58,FEM
FAFA120724,340.68,1.6,FEM
FAFA120724,342.58,2.94,FEM
FAFA120724,353.22,0.62,FEM
FAFA120724,354.22,0.6,FEM
FAFA120724,364.76,1.18,FEM
FAFA120724,366.92,1.26,FEM
FAFA120724,368.98,1.16,FEM
FAFA120724,371.5,1.32,FEM
FAFA120724,373.98,0.4,KCHI
FAFA120724,374.52,0.68,FEM
FAFA120724,375.8,1.48,FEM
FAFA120724,377.76,1.54,FEM
FAFA120724,379.98,0.98,FEM
FAFA120724,386.06,2.28,KCHI
FAFA120724,388.34,3.04,FEM
FAFA120724,391.62,1.52,FEM
FAFA120724,393.26,1.62,FEM
FAFA120724,394.96,1.1,MAL
FAFA120724,399.76,0.84,MAL
FAFA120724,401.16,0.82,FEM
FAFA120724,402.62,0.5,MAL
FAFA120724,404.9,1.82,MAL
FAFA120724,412.48,0.4,FEM
FAFA120724,413.48,0.44,FEM
FAFA120724,418.14,2.82,MAL
FAFA120724,425.86,0.94,FEM
FAFA120724,438.32,1.36,FEM
FAFA120724,440.3,3.58,MAL
FAFA120724,445.76,0.12,KCHI
FAFA120724,447.6,3.3,FEM
FAFA120724,452.06,2.2,MAL
FAFA120724,453.72,2.04,FEM
FAFA120724,457.08,0.62,MAL
FAFA120724,457.16,3.86,FEM
FAFA120724,462.78,2.3,MAL
FAFA120724,465.42,0.24,MAL
FAFA120724,468.88,3.06,FEM
FAFA120724,473.62,2.2,FEM
FAFA120724,485.56,1.42,FEM
FAFA120724,487.1,0.7,KCHI
FAFA120724,488.02,1.32,FEM
FAFA120724,489.44,0.82,KCHI
FAFA120724,490.18,1.14,FEM
FAFA120724,491.4,1.22,KCHI
FAFA120724,492.44,1.4,FEM
FAFA120724,496.34,1.8,FEM
FAFA120724,498.44,0.96,FEM
FAFA120724,499.42,0.86,KCHI
FAFA120724,500.48,0.52,FEM
FAFA120724,500.9,0.78,MAL
FAFA120724,501.62,3.48,FEM
FAFA120724,505.24,0.78,KCHI
FAFA120724,506.04,1.08,MAL
FAFA120724,508.38,1.06,MAL
FAFA120724,509.44,2.62,FEM
FAFA120724,512.56,0.86,OCH
FAFA120724,513.42,0.4,KCHI
FAFA120724,514.08,0.4,FEM
FAFA120724,514.18,0.98,MAL
FAFA120724,514.62,0.3,FEM
FAFA120724,515.7,0.58,KCHI
FAFA120724,516.34,1.0,FEM
FAFA120724,517.54,0.7,KCHI
FAFA120724,518.2,1.18,FEM
FAFA120724,518.58,0.48,KCHI
FAFA120724,519.44,0.82,KCHI
FAFA120724,520.22,2.14,FEM
FAFA120724,521.76,0.82,KCHI
FAFA120724,522.54,0.54,OCH
FAFA120724,523.32,1.46,MAL
FAFA120724,525.36,0.76,FEM
FAFA120724,526.2,0.9,MAL
FAFA120724,531.4,2.92,KCHI
FAFA120724,531.48,1.78,OCH
FAFA120724,535.52,0.48,KCHI
FAFA120724,537.0,0.3,KCHI
FAFA120724,537.3,0.4,OCH
FAFA120724,538.4,0.78,KCHI
FAFA120724,538.56,0.14,OCH
FAFA120724,539.52,0.56,KCHI
FAFA120724,539.88,0.52,OCH
FAFA120724,541.44,0.92,KCHI
