uid,start_time_s,duration_s,label
HAAN270624,7.96,1.42,FEM
HAAN270624,10.04,0.94,FEM
HAAN270624,11.14,0.8,MAL
HAAN270624,18.2,1.36,FEM
HAAN270624,22.98,0.76,FEM
HAAN270624,23.96,1.06,FEM
HAAN270624,25.86,0.92,FEM
HAAN270624,30.44,0.62,FEM
HAAN270624,31.84,0.46,FEM
HAAN270624,48.56,0.94,FEM
HAAN270624,50.52,0.18,FEM
HAAN270624,51.22,0.3,FEM
HAAN270624,59.64,0.32,FEM
HAAN270624,61.14,1.0,FEM
HAAN270624,63.74,0.68,FEM
HAAN270624,79.6,0.82,FEM
HAAN270624,80.54,2.38,FEM
HAAN270624,83.56,3.38,FEM
HAAN270624,87.04,1.54,FEM
HAAN270624,88.72,0.9,MAL
HAAN270624,90.6,1.22,MAL
HAAN270624,92.1,0.6,FEM
HAAN270624,92.68,1.72,MAL
HAAN270624,94.4,1.04,FEM
HAAN270624,95.48,3.6,MAL
HAAN270624,99.08,0.42,FEM
HAAN270624,100.54,0.56,MAL
HAAN270624,102.04,1.44,FEM
HAAN270624,103.46,0.68,MAL
HAAN270624,104.8,2.66,MAL
HAAN270624,108.3,1.06,MAL
HAAN270624,109.64,1.74,FEM
HAAN270624,112.04,1.12,FEM
HAAN270624,113.58,5.12,FEM
HAAN270624,120.8,0.22,MAL
HAAN270624,123.38,0.3,MAL
HAAN270624,125.02,0.46,MAL
HAAN270624,126.54,0.82,MAL
HAAN270624,128.02,1.62,FEM
HAAN270624,130.02,1.32,FEM
HAAN270624,131.34,0.56,MAL
HAAN270624,133.86,1.46,MAL
HAAN270624,135.54,2.76,FEM
HAAN270624,138.6,2.42,FEM
HAAN270624,141.88,0.8,FEM
HAAN270624,144.6,1.12,MAL
HAAN270624,150.3,1.3,FEM
HAAN270624,151.92,1.32,FEM
HAAN270624,153.88,1.3,FEM
HAAN270624,156.72,0.42,MAL
HAAN270624,157.26,1.14,FEM
HAAN270624,164.4,2.04,MAL
HAAN270624,167.4,1.66,MAL
HAAN270624,167.48,1.58,FEM
HAAN270624,169.96,0.6,KCHI
HAAN270624,170.74,1.46,FEM
HAAN270624,171.24,0.24,OCH
HAAN270624,172.66,0.36,FEM
HAAN270624,175.12,0.86,FEM
HAAN270624,179.28,0.12,MAL
HAAN270624,180.94,0.26,MAL
HAAN270624,181.12,0.78,FEM
HAAN270624,183.08,0.24,MAL
HAAN270624,183.28,1.66,FEM
HAAN270624,185.6,1.22,FEM
HAAN270624,187.54,1.7,FEM
HAAN270624,192.74,0.58,FEM
HAAN270624,195.34,1.96,FEM
HAAN270624,197.88,1.76,FEM
HAAN270624,200.38,1.8,FEM
HAAN270624,207.78,0.76,FEM
HAAN270624,213.04,1.14,FEM
