uid,start_time_s,duration_s,label
IHPA310724,5.64,2.18,FEM
IHPA310724,15.92,0.98,OCH
IHPA310724,18.72,0.56,OCH
IHPA310724,19.9,3.98,OCH
IHPA310724,20.94,0.1,KCHI
IHPA310724,26.34,0.12,KCHI
IHPA310724,31.52,4.08,FEM
IHPA310724,35.82,3.36,FEM
IHPA310724,46.96,0.8,MAL
IHPA310724,48.02,1.38,FEM
IHPA310724,49.26,1.62,KCHI
IHPA310724,50.8,0.94,FEM
IHPA310724,59.7,3.62,FEM
IHPA310724,80.2,3.38,KCHI
IHPA310724,86.48,0.72,FEM
IHPA310724,92.2,0.64,FEM
IHPA310724,94.08,0.52,KCHI
IHPA310724,98.0,4.46,FEM
IHPA310724,102.64,0.84,FEM
IHPA310724,103.9,1.42,FEM
IHPA310724,105.24,0.88,KCHI
IHPA310724,106.02,1.88,FEM
IHPA310724,107.84,0.46,KCHI
IHPA310724,108.36,1.44,FEM
IHPA310724,110.66,1.94,FEM
IHPA310724,115.42,5.5,FEM
IHPA310724,121.24,0.72,FEM
IHPA310724,122.62,0.68,FEM
IHPA310724,123.86,0.96,FEM
IHPA310724,125.02,1.32,FEM
IHPA310724,131.34,1.22,FEM
IHPA310724,132.88,1.64,FEM
IHPA310724,135.32,2.04,FEM
IHPA310724,140.52,1.22,FEM
IHPA310724,143.28,0.66,FEM
IHPA310724,144.48,1.92,FEM
IHPA310724,148.96,1.26,FEM
IHPA310724,151.24,1.2,KCHI
IHPA310724,158.22,3.2,FEM
IHPA310724,165.92,0.86,KCHI
IHPA310724,166.86,0.3,FEM
IHPA310724,167.16,0.54,KCHI
IHPA310724,167.66,1.34,FEM
IHPA310724,170.14,3.64,FEM
IHPA310724,173.82,0.92,KCHI
IHPA310724,174.72,1.0,FEM
IHPA310724,175.24,0.36,KCHI
IHPA310724,175.9,0.52,KCHI
IHPA310724,176.44,1.08,FEM
IHPA310724,178.7,2.86,KCHI
IHPA310724,184.16,1.0,FEM
IHPA310724,186.1,1.1,FEM
IHPA310724,189.66,1.02,KCHI
IHPA310724,190.58,0.86,FEM
IHPA310724,192.7,6.66,FEM
IHPA310724,194.12,0.9,KCHI
IHPA310724,199.58,2.58,FEM
IHPA310724,202.14,0.7,KCHI
IHPA310724,202.98,0.12,KCHI
IHPA310724,202.98,2.14,FEM
IHPA310724,203.24,1.0,KCHI
IHPA310724,205.3,0.68,KCHI
IHPA310724,206.02,0.7,FEM
IHPA310724,211.2,0.22,FEM
IHPA310724,215.5,0.6,KCHI
IHPA310724,216.08,0.5,FEM
IHPA310724,217.36,0.64,KCHI
IHPA310724,218.38,0.38,KCHI
IHPA310724,224.66,0.82,KCHI
IHPA310724,225.66,0.74,KCHI
IHPA310724,226.54,0.88,FEM
