uid,start_time_s,duration_s,label
KASE020823,0.2,3.2,FEM
KASE020823,1.08,0.42,KCHI
KASE020823,2.58,0.32,KCHI
KASE020823,3.64,0.74,MAL
KASE020823,4.84,1.26,MAL
KASE020823,7.24,1.24,MAL
KASE020823,8.94,0.82,FEM
KASE020823,10.62,1.32,MAL
KASE020823,12.14,1.42,FEM
KASE020823,14.74,1.18,MAL
KASE020823,16.52,0.92,FEM
KASE020823,17.6,0.26,FEM
KASE020823,18.2,1.14,FEM
KASE020823,19.18,0.72,MAL
KASE020823,20.22,0.56,MAL
KASE020823,21.42,0.76,FEM
KASE020823,24.5,0.62,MAL
KASE020823,25.36,1.56,MAL
KASE020823,27.2,0.66,MAL
KASE020823,28.04,0.64,MAL
KASE020823,29.26,0.52,KCHI
KASE020823,29.26,2.14,FEM
KASE020823,31.44,0.4,MAL
KASE020823,31.84,2.18,FEM
KASE020823,33.2,0.8,OCH
KASE020823,34.68,0.6,OCH
KASE020823,35.38,3.96,FEM
KASE020823,35.66,0.16,OCH
KASE020823,39.8,1.72,FEM
KASE020823,42.34,0.26,FEM
KASE020823,45.66,0.42,MAL
KASE020823,47.56,0.2,FEM
KASE020823,48.42,1.7,MAL
KASE020823,50.66,0.88,FEM
KASE020823,52.72,0.7,MAL
KASE020823,54.86,0.86,KCHI
KASE020823,58.0,0.52,FEM
KASE020823,59.86,0.58,KCHI
KASE020823,61.3,0.24,FEM
KASE020823,65.6,0.36,MAL
KASE020823,65.98,2.74,FEM
KASE020823,68.96,0.66,MAL
KASE020823,70.12,1.18,FEM
KASE020823,71.64,2.52,MAL
KASE020823,72.72,1.18,OCH
KASE020823,74.18,1.04,OCH
KASE020823,75.2,2.4,FEM
KASE020823,77.32,0.8,KCHI
KASE020823,78.08,0.94,FEM
KASE020823,83.72,0.82,OCH
KASE020823,84.8,2.1,OCH
KASE020823,87.9,0.34,OCH
KASE020823,88.7,0.64,MAL
KASE020823,91.24,0.54,MAL
KASE020823,92.64,0.6,OCH
KASE020823,93.36,0.78,MAL
KASE020823,97.26,0.4,MAL
KASE020823,98.42,0.36,FEM
KASE020823,98.44,0.4,MAL
KASE020823,99.92,0.58,MAL
KASE020823,104.22,2.22,MAL
KASE020823,106.86,0.48,MAL
