uid,start_time_s,duration_s,label
KAVI280424,3.98,1.8,FEM
KAVI280424,6.48,1.7,FEM
KAVI280424,9.9,1.14,FEM
KAVI280424,11.04,2.78,MAL
KAVI280424,14.3,0.48,FEM
KAVI280424,15.22,0.7,MAL
KAVI280424,17.02,0.36,FEM
KAVI280424,23.88,4.96,FEM
KAVI280424,29.36,2.48,FEM
KAVI280424,35.26,0.56,FEM
KAVI280424,37.56,1.68,FEM
KAVI280424,39.4,0.4,FEM
KAVI280424,43.98,1.0,FEM
KAVI280424,45.7,6.3,FEM
KAVI280424,52.12,0.96,FEM
KAVI280424,53.34,0.14,MAL
KAVI280424,53.5,3.5,FEM
KAVI280424,57.16,3.04,FEM
KAVI280424,60.92,1.78,FEM
KAVI280424,62.8,1.32,FEM
KAVI280424,66.98,3.76,FEM
KAVI280424,71.16,0.24,FEM
KAVI280424,71.5,0.14,FEM
KAVI280424,76.56,0.76,FEM
KAVI280424,78.78,0.72,FEM
KAVI280424,83.58,3.02,FEM
KAVI280424,86.86,0.7,FEM
KAVI280424,88.48,0.52,KCHI
KAVI280424,88.98,1.26,FEM
KAVI280424,91.68,0.92,FEM
KAVI280424,95.14,1.12,FEM
KAVI280424,98.2,0.56,MAL
KAVI280424,102.14,0.36,FEM
KAVI280424,102.64,3.9,FEM
KAVI280424,109.32,0.22,FEM
KAVI280424,109.68,0.2,FEM
KAVI280424,111.3,2.12,FEM
KAVI280424,114.58,2.16,FEM
KAVI280424,116.94,0.54,MAL
KAVI280424,117.58,0.68,FEM
KAVI280424,118.7,4.68,FEM
KAVI280424,124.76,1.18,FEM
KAVI280424,126.34,0.74,FEM
KAVI280424,127.36,2.4,FEM
KAVI280424,130.1,0.56,FEM
KAVI280424,133.22,2.1,FEM
KAVI280424,139.68,3.6,FEM
KAVI280424,146.84,0.38,FEM
KAVI280424,147.26,1.74,MAL
KAVI280424,148.66,0.76,FEM
KAVI280424,149.3,1.4,MAL
KAVI280424,149.78,1.22,FEM
KAVI280424,166.7,0.46,FEM
KAVI280424,168.0,0.14,FEM
KAVI280424,169.56,1.14,FEM
KAVI280424,170.86,0.28,FEM
KAVI280424,172.04,0.36,FEM
KAVI280424,173.0,0.28,FEM
KAVI280424,174.46,0.66,FEM
KAVI280424,175.58,1.3,FEM
KAVI280424,177.64,0.12,FEM
KAVI280424,177.9,0.8,FEM
KAVI280424,185.22,1.52,FEM
KAVI280424,187.02,0.54,FEM
KAVI280424,187.9,3.14,FEM
KAVI280424,191.76,0.18,FEM
KAVI280424,195.02,1.74,FEM
KAVI280424,195.96,0.52,MAL
KAVI280424,196.98,1.24,FEM
KAVI280424,198.2,0.2,MAL
KAVI280424,199.0,0.96,FEM
KAVI280424,200.24,0.56,FEM
