uid,start_time_s,duration_s,label
MAFA310524,3.0,1.52,FEM
MAFA310524,8.14,3.8,FEM
MAFA310524,12.02,0.78,MAL
MAFA310524,17.7,2.2,FEM
MAFA310524,19.9,0.5,MAL
MAFA310524,21.58,1.72,MAL
MAFA310524,23.92,1.88,MAL
MAFA310524,26.28,0.32,KCHI
MAFA310524,29.5,1.32,FEM
MAFA310524,31.84,1.24,FEM
MAFA310524,33.82,1.76,FEM
MAFA310524,36.22,1.1,FEM
MAFA310524,38.42,1.16,FEM
MAFA310524,39.62,0.18,MAL
MAFA310524,41.08,0.46,FEM
MAFA310524,46.5,0.58,FEM
MAFA310524,47.24,1.46,FEM
MAFA310524,49.82,1.22,FEM
MAFA310524,53.3,2.42,MAL
MAFA310524,54.56,0.42,FEM
MAFA310524,55.88,0.86,FEM
MAFA310524,56.74,0.18,MAL
MAFA310524,56.88,0.38,FEM
MAFA310524,57.18,1.28,MAL
MAFA310524,57.44,0.56,FEM
MAFA310524,58.16,1.36,FEM
MAFA310524,60.68,1.02,FEM
MAFA310524,63.18,0.8,FEM
MAFA310524,64.44,1.48,FEM
MAFA310524,66.72,4.48,FEM
MAFA310524,71.64,2.34,FEM
MAFA310524,74.1,1.1,FEM
MAFA310524,75.32,0.3,FEM
MAFA310524,76.74,0.84,FEM
MAFA310524,78.22,1.38,FEM
MAFA310524,83.58,2.12,FEM
MAFA310524,85.82,2.58,FEM
MAFA310524,89.14,2.24,FEM
MAFA310524,91.54,2.88,FEM
MAFA310524,95.52,2.72,FEM
MAFA310524,101.18,2.16,FEM
MAFA310524,105.58,0.5,FEM
MAFA310524,106.3,3.16,FEM
MAFA310524,109.9,1.32,FEM
MAFA310524,115.42,7.84,FEM
MAFA310524,128.24,3.1,OCH
MAFA310524,131.54,1.5,OCH
MAFA310524,134.08,0.7,OCH
MAFA310524,134.74,1.0,FEM
MAFA310524,135.78,0.96,OCH
MAFA310524,136.68,0.6,FEM
MAFA310524,137.82,0.2,OCH
MAFA310524,137.92,1.38,FEM
MAFA310524,143.28,0.88,FEM
MAFA310524,147.96,0.8,OCH
MAFA310524,149.26,0.88,OCH
MAFA310524,165.16,1.5,OCH
MAFA310524,167.16,0.54,KCHI
MAFA310524,167.6,0.86,FEM
MAFA310524,169.38,1.12,FEM
MAFA310524,171.36,1.28,FEM
MAFA310524,173.18,1.26,FEM
MAFA310524,175.12,2.14,FEM
MAFA310524,177.58,1.34,FEM
MAFA310524,179.26,1.5,FEM
MAFA310524,181.44,1.58,FEM
MAFA310524,183.74,0.44,FEM
MAFA310524,184.7,0.58,KCHI
MAFA310524,185.22,1.4,FEM
MAFA310524,189.4,1.04,FEM
MAFA310524,199.56,0.14,OCH
MAFA310524,205.92,0.64,KCHI
MAFA310524,214.92,3.98,OCH
MAFA310524,232.2,0.86,KCHI
MAFA310524,247.02,1.66,MAL
MAFA310524,261.86,0.82,OCH
MAFA310524,263.66,0.48,OCH
MAFA310524,264.26,0.76,OCH
MAFA310524,269.0,1.36,OCH
MAFA310524,282.58,0.52,OCH
MAFA310524,287.86,0.88,MAL
MAFA310524,288.8,0.62,FEM
MAFA310524,300.3,0.84,FEM
MAFA310524,301.26,0.86,FEM
MAFA310524,305.52,2.12,FEM
MAFA310524,306.6,0.44,MAL
MAFA310524,307.44,0.1,MAL
MAFA310524,308.08,0.66,FEM
MAFA310524,310.1,1.74,FEM
MAFA310524,312.02,0.78,MAL
MAFA310524,312.9,0.7,FEM
MAFA310524,315.6,0.44,FEM
MAFA310524,316.24,0.96,FEM
MAFA310524,319.96,0.98,FEM
MAFA310524,328.08,0.38,KCHI
MAFA310524,329.1,1.24,KCHI
MAFA310524,330.34,0.5,FEM
MAFA310524,333.42,0.2,OCH
MAFA310524,334.58,1.34,KCHI
MAFA310524,341.7,1.32,KCHI
MAFA310524,343.4,0.46,MAL
MAFA310524,344.12,1.82,MAL
MAFA310524,346.26,0.66,KCHI
MAFA310524,347.26,1.64,MAL
MAFA310524,351.3,1.32,KCHI
MAFA310524,353.96,0.26,KCHI
MAFA310524,356.86,0.36,FEM
MAFA310524,358.2,0.54,MAL
MAFA310524,358.74,1.86,KCHI
MAFA310524,362.66,1.92,FEM
MAFA310524,364.62,0.54,KCHI
MAFA310524,369.58,0.54,KCHI
MAFA310524,370.14,0.28,MAL
MAFA310524,374.12,0.26,FEM
MAFA310524,374.72,3.14,KCHI
MAFA310524,377.74,0.16,OCH
MAFA310524,385.24,0.74,MAL
MAFA310524,394.44,1.36,OCH
MAFA310524,400.5,1.92,FEM
MAFA310524,403.18,2.36,FEM
MAFA310524,405.96,1.78,FEM
MAFA310524,409.94,2.08,FEM
MAFA310524,417.9,0.24,OCH
MAFA310524,418.14,0.96,FEM
MAFA310524,419.1,1.44,OCH
MAFA310524,420.26,0.94,FEM
MAFA310524,421.88,0.36,OCH
MAFA310524,426.12,3.0,KCHI
MAFA310524,430.44,1.28,FEM
MAFA310524,432.52,1.5,MAL
MAFA310524,433.82,2.26,FEM
MAFA310524,434.22,0.56,MAL
MAFA310524,435.06,0.34,MAL
