uid,start_time_s,duration_s,label
MOAN250824,2.64,1.22,FEM
MOAN250824,6.32,1.64,FEM
MOAN250824,7.96,0.84,OCH
MOAN250824,8.76,1.5,FEM
MOAN250824,9.1,1.38,MAL
MOAN250824,10.84,1.56,FEM
MOAN250824,13.68,4.56,FEM
MOAN250824,18.2,0.22,OCH
MOAN250824,18.38,0.68,FEM
MOAN250824,19.08,0.82,MAL
MOAN250824,19.9,0.7,FEM
MOAN250824,21.1,4.82,FEM
MOAN250824,25.1,1.64,OCH
MOAN250824,26.06,2.48,FEM
MOAN250824,28.6,0.94,MAL
MOAN250824,29.52,5.22,FEM
MOAN250824,35.3,1.02,FEM
MOAN250824,36.36,1.48,MAL
MOAN250824,37.8,1.36,FEM
MOAN250824,39.58,0.22,MAL
MOAN250824,39.8,2.66,FEM
MOAN250824,42.48,0.94,MAL
MOAN250824,43.78,1.3,FEM
MOAN250824,44.92,0.2,KCHI
MOAN250824,45.5,2.26,FEM
MOAN250824,48.82,0.7,MAL
MOAN250824,49.94,0.5,MAL
MOAN250824,52.16,2.34,FEM
MOAN250824,54.66,1.06,FEM
MOAN250824,59.16,0.54,MAL
MOAN250824,62.4,0.68,FEM
MOAN250824,65.46,0.72,MAL
MOAN250824,68.38,0.24,KCHI
MOAN250824,71.64,1.9,OCH
MOAN250824,77.48,0.82,FEM
MOAN250824,78.82,1.28,FEM
MOAN250824,82.24,0.62,FEM
MOAN250824,84.06,1.28,FEM
MOAN250824,86.32,1.14,FEM
MOAN250824,88.84,1.2,OCH
MOAN250824,90.26,1.18,FEM
MOAN250824,95.52,2.74,FEM
MOAN250824,98.72,1.68,FEM
MOAN250824,100.92,1.02,FEM
MOAN250824,102.5,0.68,FEM
MOAN250824,103.48,1.6,FEM
MOAN250824,105.44,1.64,FEM
MOAN250824,111.56,3.44,FEM
MOAN250824,117.56,1.44,FEM
MOAN250824,119.4,2.16,FEM
MOAN250824,122.06,5.3,FEM
MOAN250824,127.36,3.1,OCH
MOAN250824,130.3,0.5,KCHI
MOAN250824,130.8,1.1,FEM
MOAN250824,131.3,1.0,KCHI
MOAN250824,132.28,0.6,FEM
MOAN250824,133.14,0.6,KCHI
MOAN250824,133.26,2.18,FEM
MOAN250824,135.48,0.7,KCHI
MOAN250824,136.1,1.46,FEM
MOAN250824,138.48,0.82,FEM
MOAN250824,139.3,0.6,KCHI
MOAN250824,140.1,1.14,FEM
MOAN250824,143.74,1.68,FEM
MOAN250824,146.12,1.14,OCH
MOAN250824,146.12,1.9,FEM
MOAN250824,148.88,0.66,KCHI
MOAN250824,150.1,0.5,FEM
MOAN250824,150.58,0.66,KCHI
MOAN250824,151.62,0.5,FEM
MOAN250824,151.74,0.56,KCHI
MOAN250824,152.5,4.7,FEM
MOAN250824,152.9,0.78,KCHI
MOAN250824,156.52,0.26,OCH
MOAN250824,157.0,1.56,OCH
MOAN250824,159.2,2.68,FEM
MOAN250824,162.08,5.66,FEM
MOAN250824,168.96,0.92,FEM
MOAN250824,170.6,0.54,OCH
