uid,start_time_s,duration_s,label
MOAR220224,6.04,1.36,FEM
MOAR220224,9.3,0.82,FEM
MOAR220224,9.84,0.16,MAL
MOAR220224,10.2,0.5,MAL
MOAR220224,10.82,1.12,MAL
MOAR220224,13.46,0.96,FEM
MOAR220224,14.84,3.16,FEM
MOAR220224,18.28,1.28,MAL
MOAR220224,18.9,0.24,FEM
MOAR220224,19.26,0.12,FEM
MOAR220224,19.56,1.74,FEM
MOAR220224,21.14,1.02,KCHI
MOAR220224,22.2,0.5,FEM
MOAR220224,23.88,2.76,FEM
MOAR220224,28.08,0.54,FEM
MOAR220224,29.64,3.86,FEM
MOAR220224,30.08,1.64,KCHI
MOAR220224,33.96,1.86,FEM
MOAR220224,34.12,1.44,KCHI
MOAR220224,36.16,2.48,FEM
MOAR220224,37.9,0.68,KCHI
MOAR220224,38.84,0.92,MAL
MOAR220224,39.78,1.64,FEM
MOAR220224,41.48,0.54,KCHI
MOAR220224,42.2,1.38,KCHI
MOAR220224,43.78,1.18,KCHI
MOAR220224,44.16,0.98,FEM
MOAR220224,47.62,0.14,KCHI
MOAR220224,47.76,0.9,FEM
MOAR220224,50.52,0.82,FEM
MOAR220224,55.72,1.14,OCH
MOAR220224,57.04,0.76,OCH
MOAR220224,57.14,2.56,FEM
MOAR220224,68.22,0.66,FEM
MOAR220224,71.64,1.82,OCH
MOAR220224,83.82,5.08,OCH
MOAR220224,89.02,0.14,OCH
MOAR220224,93.58,1.4,FEM
MOAR220224,96.0,1.28,OCH
MOAR220224,98.4,0.96,OCH
MOAR220224,99.5,2.34,OCH
MOAR220224,104.76,0.26,OCH
MOAR220224,105.28,1.5,OCH
MOAR220224,116.44,0.98,FEM
MOAR220224,120.5,1.14,FEM
MOAR220224,123.38,1.14,KCHI
MOAR220224,124.58,0.6,FEM
MOAR220224,126.32,3.44,FEM
MOAR220224,129.04,1.48,MAL
MOAR220224,131.34,1.42,FEM
MOAR220224,133.56,1.62,KCHI
MOAR220224,135.14,2.04,FEM
MOAR220224,136.92,1.34,KCHI
MOAR220224,137.6,1.28,OCH
MOAR220224,138.78,0.3,KCHI
MOAR220224,139.3,1.08,KCHI
MOAR220224,139.54,2.06,FEM
