uid,start_time_s,duration_s,label
MOSH150224,0.0,1.08,FEM
MOSH150224,2.06,1.06,FEM
MOSH150224,4.62,0.84,FEM
MOSH150224,5.68,0.26,OCH
MOSH150224,8.26,0.6,OCH
MOSH150224,9.04,4.04,FEM
MOSH150224,10.28,0.9,OCH
MOSH150224,15.18,4.1,FEM
MOSH150224,15.92,0.48,MAL
MOSH150224,17.42,0.16,OCH
MOSH150224,19.06,0.22,OCH
MOSH150224,19.42,0.24,MAL
MOSH150224,20.76,0.16,KCHI
MOSH150224,21.52,0.16,FEM
MOSH150224,22.28,1.6,OCH
MOSH150224,23.88,0.68,FEM
MOSH150224,28.08,1.56,FEM
MOSH150224,31.84,0.68,MAL
MOSH150224,33.4,2.42,FEM
MOSH150224,35.82,1.1,MAL
MOSH150224,37.24,1.94,FEM
MOSH150224,39.8,0.68,FEM
MOSH150224,45.2,1.04,FEM
MOSH150224,48.1,0.14,FEM
MOSH150224,48.56,0.2,FEM
MOSH150224,49.86,0.4,FEM
MOSH150224,50.38,0.22,FEM
MOSH150224,51.78,0.48,FEM
MOSH150224,52.86,0.56,FEM
MOSH150224,54.06,0.66,MAL
MOSH150224,55.38,0.34,FEM
MOSH150224,59.7,9.6,FEM
MOSH150224,69.68,0.64,FEM
MOSH150224,73.28,0.66,MAL
MOSH150224,75.62,1.5,FEM
MOSH150224,77.8,2.72,FEM
MOSH150224,80.72,1.32,MAL
MOSH150224,81.08,0.6,FEM
MOSH150224,82.16,0.46,MAL
MOSH150224,82.92,0.66,FEM
MOSH150224,91.54,0.96,OCH
MOSH150224,93.32,0.6,OCH
MOSH150224,96.96,1.98,FEM
MOSH150224,99.12,0.76,OCH
MOSH150224,99.84,1.48,FEM
MOSH150224,101.98,2.3,FEM
MOSH150224,106.0,1.44,OCH
MOSH150224,110.12,0.42,OCH
MOSH150224,115.32,2.2,OCH
MOSH150224,121.92,0.26,KCHI
MOSH150224,122.02,0.84,FEM
MOSH150224,159.28,0.96,FEM
MOSH150224,164.64,0.48,MAL
MOSH150224,166.72,1.64,FEM
MOSH150224,168.58,1.72,MAL
MOSH150224,170.64,0.5,FEM
MOSH150224,174.26,0.86,MAL
MOSH150224,175.12,1.96,FEM
MOSH150224,177.72,1.34,FEM
MOSH150224,179.54,1.18,MAL
