uid,start_time_s,duration_s,label
NARA010624,0.06,2.24,FEM
NARA010624,3.34,2.58,FEM
NARA010624,6.4,1.06,MAL
NARA010624,7.58,0.12,FEM
NARA010624,7.96,1.38,FEM
NARA010624,11.94,1.36,OCH
NARA010624,13.4,1.04,FEM
NARA010624,17.64,0.4,MAL
NARA010624,20.14,3.08,FEM
NARA010624,22.22,0.14,OCH
NARA010624,23.68,0.48,FEM
NARA010624,24.56,0.28,FEM
NARA010624,25.06,2.42,MAL
NARA010624,27.86,0.42,MAL
NARA010624,30.56,0.34,MAL
NARA010624,31.12,0.72,MAL
NARA010624,33.04,1.6,OCH
NARA010624,36.02,2.08,MAL
NARA010624,38.5,0.14,OCH
NARA010624,38.6,1.5,FEM
NARA010624,39.42,0.1,OCH
NARA010624,40.26,0.68,FEM
NARA010624,41.74,4.0,FEM
NARA010624,44.54,0.4,KCHI
NARA010624,45.9,1.64,FEM
NARA010624,48.02,2.2,FEM
NARA010624,55.42,0.3,FEM
NARA010624,63.68,0.86,MAL
NARA010624,65.98,1.48,MAL
NARA010624,67.34,0.32,FEM
NARA010624,67.62,0.96,MAL
NARA010624,69.56,1.6,MAL
NARA010624,71.36,0.28,FEM
NARA010624,75.62,0.96,MAL
NARA010624,78.42,1.18,MAL
NARA010624,79.6,1.56,OCH
NARA010624,81.54,0.26,OCH
NARA010624,83.02,0.54,OCH
NARA010624,84.5,0.8,MAL
NARA010624,86.2,0.12,FEM
NARA010624,86.98,1.16,FEM
NARA010624,90.16,0.44,FEM
NARA010624,91.54,2.46,FEM
NARA010624,107.0,4.16,FEM
NARA010624,111.44,1.92,MAL
NARA010624,113.66,0.16,FEM
NARA010624,114.04,6.94,FEM
NARA010624,115.92,0.22,MAL
NARA010624,121.2,2.88,FEM
NARA010624,124.38,2.98,FEM
NARA010624,133.76,0.42,MAL
NARA010624,134.34,0.58,OCH
NARA010624,135.14,0.18,OCH
NARA010624,136.9,0.72,FEM
NARA010624,147.26,2.18,MAL
NARA010624,155.22,2.52,OCH
