uid,start_time_s,duration_s,label
PRAT070823,1.86,3.1,FEM
PRAT070823,5.32,0.7,MAL
PRAT070823,6.96,0.86,FEM
PRAT070823,7.96,1.06,MAL
PRAT070823,8.3,3.64,FEM
PRAT070823,17.16,0.88,FEM
PRAT070823,19.64,0.14,FEM
PRAT070823,24.9,0.56,KCHI
PRAT070823,26.02,0.76,FEM
PRAT070823,28.78,1.1,FEM
PRAT070823,30.04,0.24,MAL
PRAT070823,30.28,1.76,FEM
PRAT070823,33.0,0.76,FEM
PRAT070823,34.74,0.16,FEM
PRAT070823,40.08,1.32,MAL
PRAT070823,41.4,2.38,FEM
PRAT070823,49.38,0.42,MAL
PRAT070823,54.32,0.7,OCH
PRAT070823,59.7,0.76,FEM
PRAT070823,61.7,0.12,KCHI
PRAT070823,62.38,0.94,MAL
PRAT070823,63.88,0.86,FEM
PRAT070823,66.74,0.88,FEM
PRAT070823,67.92,1.22,KCHI
PRAT070823,69.5,0.98,FEM
PRAT070823,69.8,0.92,KCHI
PRAT070823,70.96,0.68,KCHI
PRAT070823,77.16,0.76,KCHI
PRAT070823,78.0,0.62,MAL
PRAT070823,78.98,0.16,MAL
PRAT070823,79.6,0.5,KCHI
PRAT070823,83.76,0.44,MAL
PRAT070823,87.56,0.42,OCH
PRAT070823,88.92,0.92,KCHI
PRAT070823,89.66,1.88,OCH
PRAT070823,98.52,0.84,KCHI
PRAT070823,99.5,1.06,MAL
PRAT070823,101.2,1.58,KCHI
PRAT070823,102.94,0.22,MAL
PRAT070823,104.24,0.44,FEM
PRAT070823,107.46,1.44,MAL
PRAT070823,109.4,1.08,MAL
PRAT070823,111.44,0.12,OCH
PRAT070823,111.7,0.74,OCH
PRAT070823,112.2,1.44,KCHI
PRAT070823,112.68,0.12,FEM
PRAT070823,113.78,0.98,FEM
PRAT070823,115.24,0.18,FEM
PRAT070823,115.3,0.92,KCHI
PRAT070823,116.38,1.22,FEM
PRAT070823,117.64,0.5,KCHI
PRAT070823,118.16,0.6,MAL
PRAT070823,119.06,0.34,KCHI
PRAT070823,123.38,1.72,KCHI
PRAT070823,127.56,1.2,KCHI
PRAT070823,132.06,0.7,KCHI
PRAT070823,134.0,0.92,KCHI
PRAT070823,136.8,1.58,MAL
PRAT070823,139.38,0.92,MAL
PRAT070823,143.28,1.08,KCHI
PRAT070823,147.26,1.38,MAL
PRAT070823,150.18,0.34,OCH
PRAT070823,157.46,1.6,MAL
PRAT070823,159.2,0.84,MAL
PRAT070823,161.36,0.9,MAL
PRAT070823,162.2,0.64,KCHI
PRAT070823,162.56,2.18,OCH
PRAT070823,164.0,0.26,KCHI
PRAT070823,164.9,1.74,MAL
PRAT070823,169.56,0.9,KCHI
PRAT070823,171.14,1.08,KCHI
PRAT070823,172.28,1.12,MAL
PRAT070823,177.72,2.46,MAL
PRAT070823,180.54,0.98,KCHI
PRAT070823,180.6,0.22,MAL
PRAT070823,181.5,0.98,MAL
PRAT070823,182.72,0.58,MAL
PRAT070823,183.08,1.22,KCHI
PRAT070823,184.3,0.48,MAL
PRAT070823,186.04,1.96,MAL
PRAT070823,189.4,0.78,MAL
PRAT070823,190.4,1.32,MAL
PRAT070823,192.64,1.76,FEM
PRAT070823,195.78,0.56,KCHI
PRAT070823,197.14,0.36,FEM
PRAT070823,198.68,0.62,KCHI
PRAT070823,201.52,1.18,MAL
PRAT070823,201.74,0.62,FEM
PRAT070823,203.22,2.18,MAL
PRAT070823,205.42,0.56,KCHI
PRAT070823,208.26,1.2,KCHI
PRAT070823,209.66,0.82,MAL
PRAT070823,211.66,1.5,MAL
PRAT070823,218.9,0.34,KCHI
PRAT070823,219.22,1.24,MAL
PRAT070823,220.42,0.36,KCHI
PRAT070823,220.8,0.3,MAL
PRAT070823,221.08,0.7,FEM
PRAT070823,221.86,0.38,KCHI
PRAT070823,222.24,0.64,FEM
PRAT070823,222.88,0.38,KCHI
PRAT070823,223.42,0.34,MAL
PRAT070823,223.88,0.78,FEM
PRAT070823,224.74,1.36,MAL
PRAT070823,226.52,0.34,MAL
PRAT070823,226.86,0.78,KCHI
PRAT070823,227.76,0.52,MAL
PRAT070823,229.22,0.22,FEM
PRAT070823,229.58,0.4,MAL
PRAT070823,230.34,1.08,KCHI
PRAT070823,232.48,2.34,MAL
PRAT070823,234.82,0.18,FEM
PRAT070823,235.22,1.12,MAL
PRAT070823,236.52,0.38,OCH
PRAT070823,237.04,2.38,MAL
PRAT070823,239.66,0.62,KCHI
PRAT070823,240.44,2.96,MAL
PRAT070823,245.04,0.92,KCHI
PRAT070823,246.06,0.66,OCH
PRAT070823,246.14,0.58,FEM
PRAT070823,246.9,1.04,MAL
PRAT070823,249.5,0.6,MAL
PRAT070823,250.74,0.6,MAL
PRAT070823,252.46,1.06,MAL
PRAT070823,254.36,2.2,MAL
PRAT070823,256.94,0.5,OCH
PRAT070823,257.2,0.5,KCHI
PRAT070823,257.86,0.12,FEM
PRAT070823,257.98,0.72,MAL
PRAT070823,259.02,1.02,MAL
PRAT070823,260.46,0.4,MAL
PRAT070823,261.52,0.24,MAL
PRAT070823,262.06,0.36,MAL
PRAT070823,262.68,1.84,MAL
PRAT070823,266.66,0.1,MAL
PRAT070823,266.7,1.6,FEM
PRAT070823,268.66,1.8,MAL
PRAT070823,270.96,2.06,MAL
PRAT070823,274.28,0.58,FEM
PRAT070823,274.74,0.96,MAL
PRAT070823,276.88,1.14,FEM
PRAT070823,277.82,1.86,MAL
PRAT070823,279.68,2.38,FEM
PRAT070823,282.1,0.48,MAL
PRAT070823,284.42,0.9,MAL
PRAT070823,285.96,1.32,MAL
PRAT070823,288.98,0.22,MAL
PRAT070823,298.5,0.18,MAL
PRAT070823,301.0,1.48,MAL
PRAT070823,304.36,0.12,MAL
PRAT070823,305.84,1.66,FEM
PRAT070823,307.68,1.2,FEM
PRAT070823,308.44,0.38,KCHI
PRAT070823,308.92,1.24,MAL
PRAT070823,310.74,0.6,MAL
PRAT070823,311.12,0.92,KCHI
PRAT070823,312.84,1.26,MAL
PRAT070823,314.42,0.58,KCHI
PRAT070823,332.4,0.68,MAL
PRAT070823,334.1,0.86,KCHI
PRAT070823,335.0,0.94,MAL
PRAT070823,336.08,0.74,KCHI
PRAT070823,336.98,2.76,MAL
PRAT070823,340.12,0.5,KCHI
PRAT070823,342.44,0.46,MAL
PRAT070823,345.02,1.24,FEM
PRAT070823,347.36,1.62,FEM
PRAT070823,349.3,0.94,MAL
PRAT070823,350.98,0.86,FEM
PRAT070823,352.1,1.34,KCHI
PRAT070823,353.52,0.7,FEM
PRAT070823,355.1,2.08,MAL
PRAT070823,358.7,0.7,MAL
PRAT070823,360.2,1.38,KCHI
PRAT070823,366.16,1.0,KCHI
PRAT070823,367.2,0.44,MAL
PRAT070823,368.42,0.52,KCHI
PRAT070823,368.98,1.16,OCH
PRAT070823,373.0,0.48,KCHI
PRAT070823,373.58,0.48,FEM
PRAT070823,375.26,1.2,MAL
PRAT070823,377.74,1.52,MAL
PRAT070823,378.1,1.68,KCHI
PRAT070823,382.08,0.64,KCHI
PRAT070823,382.48,1.5,OCH
PRAT070823,386.06,2.84,OCH
PRAT070823,389.12,0.42,FEM
PRAT070823,391.28,1.52,FEM
PRAT070823,394.02,0.62,OCH
PRAT070823,395.0,1.38,OCH
PRAT070823,396.8,0.98,KCHI
PRAT070823,398.0,0.26,FEM
PRAT070823,398.72,1.08,KCHI
PRAT070823,399.72,0.66,FEM
PRAT070823,401.06,1.3,KCHI
PRAT070823,403.42,0.2,OCH
PRAT070823,403.72,0.76,KCHI
PRAT070823,404.96,0.62,FEM
PRAT070823,405.86,0.98,KCHI
PRAT070823,407.02,0.46,MAL
PRAT070823,407.62,0.92,KCHI
PRAT070823,409.06,0.82,OCH
PRAT070823,409.8,0.78,KCHI
PRAT070823,411.0,1.52,OCH
PRAT070823,412.62,1.48,KCHI
PRAT070823,417.62,0.28,KCHI
PRAT070823,417.9,0.3,FEM
PRAT070823,418.3,0.56,MAL
PRAT070823,418.8,1.22,KCHI
PRAT070823,420.94,0.94,KCHI
PRAT070823,422.86,1.1,FEM
PRAT070823,424.28,0.22,KCHI
PRAT070823,425.76,0.6,KCHI
PRAT070823,427.42,0.58,FEM
PRAT070823,430.08,2.38,FEM
PRAT070823,434.38,0.74,FEM
PRAT070823,438.48,0.48,FEM
PRAT070823,440.08,0.72,FEM
PRAT070823,443.78,0.14,FEM
PRAT070823,449.44,0.78,FEM
PRAT070823,451.28,0.86,MAL
PRAT070823,452.78,0.8,KCHI
PRAT070823,454.88,0.36,OCH
PRAT070823,460.04,0.1,MAL
PRAT070823,460.26,0.2,MAL
PRAT070823,461.92,1.1,MAL
PRAT070823,463.72,0.5,MAL
PRAT070823,464.66,1.02,MAL
PRAT070823,465.8,1.42,KCHI
PRAT070823,468.42,1.02,MAL
PRAT070823,469.54,0.8,FEM
PRAT070823,470.4,1.04,MAL
PRAT070823,472.44,0.16,MAL
