uid,start_time_s,duration_s,label
RAGA021123,0.34,0.88,MAL
RAGA021123,7.18,0.38,MAL
RAGA021123,8.72,0.54,FEM
RAGA021123,10.48,0.54,FEM
RAGA021123,11.94,0.16,FEM
RAGA021123,13.72,2.2,FEM
RAGA021123,16.38,2.1,FEM
RAGA021123,18.92,4.76,FEM
RAGA021123,23.88,3.74,FEM
RAGA021123,26.44,0.28,OCH
RAGA021123,27.86,4.4,FEM
RAGA021123,33.06,6.74,FEM
RAGA021123,38.52,0.52,KCHI
RAGA021123,40.22,0.34,FEM
RAGA021123,41.1,0.2,FEM
RAGA021123,41.7,0.36,FEM
RAGA021123,42.22,3.8,FEM
RAGA021123,47.76,1.22,FEM
RAGA021123,48.98,2.2,MAL
RAGA021123,51.38,0.36,FEM
RAGA021123,52.04,0.9,OCH
RAGA021123,53.2,4.42,FEM
RAGA021123,57.8,1.9,FEM
RAGA021123,59.84,13.04,FEM
RAGA021123,75.04,0.58,FEM
RAGA021123,75.62,0.18,KCHI
RAGA021123,75.9,0.74,MAL
RAGA021123,77.04,1.42,FEM
RAGA021123,78.48,0.82,MAL
RAGA021123,79.36,0.24,FEM
RAGA021123,86.62,1.62,FEM
RAGA021123,86.72,0.52,KCHI
RAGA021123,88.4,0.88,FEM
RAGA021123,89.4,1.5,FEM
RAGA021123,93.82,5.78,FEM
RAGA021123,100.18,3.3,FEM
RAGA021123,104.68,3.38,FEM
RAGA021123,108.42,2.16,FEM
RAGA021123,113.26,2.94,FEM
RAGA021123,116.42,0.72,KCHI
RAGA021123,116.66,4.74,FEM
RAGA021123,121.5,4.9,FEM
RAGA021123,127.36,0.32,KCHI
RAGA021123,128.32,1.1,OCH
RAGA021123,129.48,3.24,FEM
RAGA021123,134.46,0.86,FEM
RAGA021123,136.02,1.78,FEM
RAGA021123,138.58,1.96,FEM
RAGA021123,140.72,2.8,FEM
RAGA021123,143.98,2.52,FEM
RAGA021123,147.3,0.94,FEM
RAGA021123,150.46,2.42,FEM
RAGA021123,154.44,3.74,FEM
RAGA021123,158.56,10.28,FEM
RAGA021123,169.22,1.52,FEM
RAGA021123,171.32,0.76,FEM
RAGA021123,172.94,1.28,FEM
RAGA021123,174.3,0.82,OCH
RAGA021123,175.1,0.14,FEM
RAGA021123,175.14,0.32,MAL
RAGA021123,175.46,1.24,FEM
RAGA021123,184.22,0.34,FEM
RAGA021123,188.18,2.42,FEM
RAGA021123,192.0,0.98,KCHI
RAGA021123,194.22,2.16,FEM
RAGA021123,196.96,0.16,KCHI
RAGA021123,197.44,1.54,FEM
RAGA021123,203.06,0.18,MAL
RAGA021123,206.2,0.26,OCH
