uid,start_time_s,duration_s,label
RIGA250424,1.06,1.24,MAL
RIGA250424,2.44,0.32,FEM
RIGA250424,2.82,1.16,MAL
RIGA250424,3.98,0.14,FEM
RIGA250424,3.98,0.42,OCH
RIGA250424,4.38,0.58,MAL
RIGA250424,5.08,0.48,MAL
RIGA250424,5.72,1.48,OCH
RIGA250424,5.9,0.84,MAL
RIGA250424,6.8,0.12,FEM
RIGA250424,7.72,0.18,KCHI
RIGA250424,8.42,3.02,OCH
RIGA250424,11.74,1.68,OCH
RIGA250424,12.22,0.42,FEM
RIGA250424,14.48,0.18,FEM
RIGA250424,14.62,0.48,OCH
RIGA250424,16.12,1.04,MAL
RIGA250424,18.74,0.22,FEM
RIGA250424,18.9,0.42,OCH
RIGA250424,19.42,0.68,MAL
RIGA250424,20.92,0.46,MAL
RIGA250424,21.74,0.48,OCH
RIGA250424,22.42,0.26,OCH
RIGA250424,22.86,0.4,OCH
RIGA250424,23.36,0.3,MAL
RIGA250424,23.68,0.16,OCH
RIGA250424,28.74,0.42,MAL
RIGA250424,31.84,1.5,MAL
RIGA250424,35.92,0.84,MAL
RIGA250424,38.96,2.88,FEM
RIGA250424,40.04,0.34,OCH
RIGA250424,42.02,0.36,OCH
RIGA250424,42.46,1.32,FEM
RIGA250424,48.54,0.5,FEM
RIGA250424,50.28,1.46,FEM
RIGA250424,52.66,4.56,FEM
RIGA250424,57.46,6.08,FEM
RIGA250424,57.84,1.66,KCHI
RIGA250424,59.7,0.42,KCHI
RIGA250424,62.78,0.76,KCHI
RIGA250424,63.68,0.2,OCH
RIGA250424,63.68,1.12,KCHI
RIGA250424,64.7,0.96,FEM
RIGA250424,65.6,1.34,OCH
RIGA250424,66.16,0.52,MAL
RIGA250424,66.34,0.26,FEM
RIGA250424,66.78,0.88,FEM
RIGA250424,67.0,0.42,MAL
RIGA250424,68.06,1.34,MAL
RIGA250424,69.86,0.36,OCH
RIGA250424,70.08,0.64,MAL
RIGA250424,71.64,0.54,FEM
RIGA250424,72.6,2.4,FEM
RIGA250424,75.16,0.46,MAL
RIGA250424,75.62,0.2,FEM
RIGA250424,76.14,3.14,FEM
RIGA250424,83.58,0.18,OCH
RIGA250424,84.36,1.82,OCH
RIGA250424,86.2,0.6,MAL
RIGA250424,87.38,0.18,FEM
RIGA250424,88.64,0.86,FEM
RIGA250424,92.44,0.8,FEM
RIGA250424,94.1,0.58,KCHI
RIGA250424,95.2,0.26,FEM
RIGA250424,95.84,1.7,FEM
RIGA250424,98.26,1.1,FEM
RIGA250424,101.06,1.38,MAL
RIGA250424,102.58,1.8,MAL
RIGA250424,104.68,2.56,MAL
RIGA250424,107.58,0.88,FEM
RIGA250424,108.46,0.56,MAL
RIGA250424,108.72,0.14,FEM
RIGA250424,109.58,1.86,MAL
RIGA250424,111.8,0.3,FEM
RIGA250424,112.36,2.8,FEM
RIGA250424,115.2,0.1,OCH
RIGA250424,115.62,0.34,KCHI
RIGA250424,115.94,0.5,FEM
RIGA250424,116.28,0.74,MAL
RIGA250424,116.76,1.4,FEM
RIGA250424,117.34,0.14,MAL
RIGA250424,118.68,7.7,FEM
RIGA250424,127.56,11.74,FEM
RIGA250424,139.3,1.1,MAL
RIGA250424,140.38,0.9,FEM
RIGA250424,143.28,0.56,FEM
RIGA250424,144.14,0.46,FEM
RIGA250424,145.5,1.16,FEM
RIGA250424,147.12,2.06,FEM
RIGA250424,150.48,0.18,MAL
RIGA250424,151.82,1.72,FEM
RIGA250424,154.32,0.5,FEM
RIGA250424,155.3,0.66,FEM
RIGA250424,155.58,0.92,OCH
RIGA250424,156.54,0.86,FEM
RIGA250424,159.06,0.5,MAL
RIGA250424,160.96,1.4,FEM
RIGA250424,162.5,0.46,FEM
RIGA250424,163.18,0.38,FEM
RIGA250424,164.4,0.38,MAL
RIGA250424,164.92,0.74,MAL
RIGA250424,166.02,1.04,MAL
RIGA250424,167.38,2.18,FEM
RIGA250424,170.0,0.48,FEM
RIGA250424,171.94,0.32,KCHI
RIGA250424,173.16,0.54,KCHI
RIGA250424,174.54,0.2,MAL
RIGA250424,175.12,2.9,FEM
RIGA250424,178.14,0.18,FEM
RIGA250424,179.1,0.96,FEM
RIGA250424,180.1,0.42,MAL
RIGA250424,180.38,9.72,FEM
RIGA250424,183.28,0.68,MAL
RIGA250424,188.88,0.72,MAL
RIGA250424,190.22,0.82,MAL
RIGA250424,191.04,4.76,FEM
RIGA250424,193.3,0.66,KCHI
RIGA250424,197.72,0.68,FEM
RIGA250424,199.0,3.12,FEM
RIGA250424,202.42,0.7,FEM
RIGA250424,203.34,1.12,FEM
RIGA250424,204.22,0.52,MAL
RIGA250424,206.56,1.78,FEM
RIGA250424,207.68,0.58,KCHI
RIGA250424,208.74,0.58,KCHI
RIGA250424,208.92,2.96,FEM
RIGA250424,212.36,0.24,FEM
RIGA250424,213.22,2.06,MAL
RIGA250424,216.06,2.06,FEM
RIGA250424,216.78,0.52,KCHI
RIGA250424,218.58,1.62,FEM
RIGA250424,220.42,0.42,KCHI
RIGA250424,221.6,1.2,FEM
RIGA250424,225.0,1.48,FEM
RIGA250424,227.04,0.76,MAL
RIGA250424,228.28,1.16,FEM
RIGA250424,229.66,0.18,MAL
RIGA250424,230.04,4.24,FEM
RIGA250424,234.48,0.34,MAL
RIGA250424,235.58,1.12,FEM
RIGA250424,236.82,1.98,FEM
RIGA250424,239.86,0.96,FEM
RIGA250424,240.92,0.58,MAL
RIGA250424,241.52,1.26,FEM
RIGA250424,243.32,0.86,FEM
RIGA250424,246.8,1.02,FEM
RIGA250424,247.94,0.74,MAL
RIGA250424,248.58,0.7,FEM
RIGA250424,250.74,1.14,FEM
RIGA250424,252.52,2.2,FEM
RIGA250424,256.18,0.1,MAL
RIGA250424,258.7,0.34,FEM
RIGA250424,259.48,0.22,FEM
RIGA250424,260.12,0.8,FEM
RIGA250424,261.44,4.6,FEM
RIGA250424,266.44,0.22,FEM
RIGA250424,266.66,0.46,OCH
RIGA250424,267.02,2.04,FEM
RIGA250424,267.34,0.74,MAL
RIGA250424,269.36,0.7,OCH
RIGA250424,269.72,5.28,FEM
RIGA250424,276.16,2.26,MAL
RIGA250424,278.0,1.42,FEM
RIGA250424,280.4,0.46,MAL
RIGA250424,281.58,0.26,FEM
RIGA250424,281.74,0.76,MAL
RIGA250424,282.62,0.16,FEM
RIGA250424,283.42,2.76,FEM
RIGA250424,286.46,2.48,FEM
RIGA250424,287.48,0.12,MAL
RIGA250424,289.54,1.92,MAL
RIGA250424,290.54,0.26,FEM
RIGA250424,290.9,3.28,FEM
RIGA250424,292.1,0.18,MAL
RIGA250424,295.26,0.98,FEM
RIGA250424,298.68,1.52,FEM
RIGA250424,300.42,1.16,FEM
RIGA250424,301.04,0.42,KCHI
RIGA250424,301.78,0.32,MAL
RIGA250424,302.08,1.68,FEM
RIGA250424,303.9,0.6,FEM
RIGA250424,305.32,2.7,FEM
RIGA250424,310.46,2.82,FEM
RIGA250424,314.16,2.2,FEM
RIGA250424,317.7,0.7,FEM
RIGA250424,319.06,1.96,FEM
RIGA250424,321.56,0.82,FEM
RIGA250424,322.6,0.52,MAL
RIGA250424,323.12,1.02,FEM
RIGA250424,323.52,0.12,MAL
RIGA250424,324.9,0.88,FEM
RIGA250424,325.34,1.5,MAL
RIGA250424,326.7,3.64,FEM
RIGA250424,330.54,1.0,KCHI
RIGA250424,331.26,0.28,FEM
RIGA250424,331.56,0.64,MAL
RIGA250424,332.04,1.52,FEM
RIGA250424,334.32,1.2,KCHI
RIGA250424,335.54,2.76,FEM
RIGA250424,335.96,0.22,MAL
RIGA250424,336.54,3.06,MAL
RIGA250424,339.62,0.9,FEM
RIGA250424,339.72,0.18,MAL
RIGA250424,341.36,4.9,FEM
RIGA250424,350.24,2.46,FEM
RIGA250424,353.18,0.8,FEM
RIGA250424,353.2,0.38,MAL
RIGA250424,353.84,0.26,MAL
RIGA250424,354.44,0.18,KCHI
RIGA250424,354.76,0.62,FEM
