uid,start_time_s,duration_s,label
RUKA101123,0.0,1.46,FEM
RUKA101123,1.78,0.9,KCHI
RUKA101123,3.56,0.84,KCHI
RUKA101123,4.38,0.76,FEM
RUKA101123,5.32,0.72,KCHI
RUKA101123,5.38,0.58,OCH
RUKA101123,5.98,1.04,FEM
RUKA101123,7.96,1.2,FEM
RUKA101123,9.64,0.92,FEM
RUKA101123,10.52,0.7,MAL
RUKA101123,11.46,12.88,FEM
RUKA101123,14.68,0.14,MAL
RUKA101123,23.9,1.1,KCHI
RUKA101123,24.48,10.8,FEM
RUKA101123,29.54,0.16,KCHI
RUKA101123,35.14,0.68,KCHI
RUKA101123,35.46,4.34,FEM
RUKA101123,40.0,9.14,FEM
RUKA101123,40.34,0.84,OCH
RUKA101123,49.62,0.58,FEM
RUKA101123,50.36,0.78,FEM
RUKA101123,51.78,0.42,FEM
RUKA101123,53.3,0.68,FEM
RUKA101123,55.1,0.5,FEM
RUKA101123,55.72,0.52,FEM
RUKA101123,56.94,1.32,FEM
RUKA101123,58.9,2.44,FEM
RUKA101123,63.32,0.64,FEM
RUKA101123,64.96,0.7,KCHI
RUKA101123,65.46,2.94,FEM
RUKA101123,68.44,1.5,KCHI
RUKA101123,69.64,1.86,FEM
RUKA101123,71.0,0.5,KCHI
RUKA101123,71.64,3.22,FEM
RUKA101123,73.3,0.24,OCH
RUKA101123,74.06,0.24,OCH
RUKA101123,75.62,3.98,FEM
RUKA101123,84.1,0.78,FEM
RUKA101123,85.88,1.14,FEM
RUKA101123,87.7,0.74,MAL
RUKA101123,88.08,0.64,FEM
RUKA101123,88.64,2.32,MAL
RUKA101123,91.8,0.72,MAL
RUKA101123,92.76,0.42,FEM
RUKA101123,98.84,0.66,FEM
RUKA101123,99.56,1.4,MAL
RUKA101123,101.04,0.72,FEM
RUKA101123,103.16,0.58,FEM
RUKA101123,103.98,1.44,FEM
RUKA101123,105.56,1.06,FEM
RUKA101123,106.94,2.16,FEM
RUKA101123,109.4,1.18,FEM
RUKA101123,110.78,1.2,KCHI
RUKA101123,111.76,0.74,FEM
RUKA101123,112.92,1.08,FEM
RUKA101123,114.5,1.64,FEM
RUKA101123,116.64,0.8,FEM
RUKA101123,120.04,0.56,FEM
RUKA101123,121.44,1.78,FEM
RUKA101123,123.74,0.78,FEM
RUKA101123,125.2,1.2,FEM
RUKA101123,127.1,1.22,FEM
RUKA101123,129.36,1.1,FEM
RUKA101123,131.34,3.72,FEM
RUKA101123,135.96,0.8,FEM
RUKA101123,137.82,0.82,FEM
RUKA101123,141.6,1.68,FEM
RUKA101123,147.9,1.62,FEM
RUKA101123,150.22,2.32,FEM
RUKA101123,153.18,1.22,FEM
RUKA101123,156.48,0.96,FEM
RUKA101123,163.18,1.34,FEM
RUKA101123,165.08,0.56,FEM
RUKA101123,166.34,2.2,FEM
RUKA101123,169.28,0.54,KCHI
RUKA101123,169.84,0.66,FEM
RUKA101123,179.1,0.86,FEM
RUKA101123,187.3,0.82,FEM
RUKA101123,191.94,10.18,FEM
RUKA101123,203.34,1.06,FEM
RUKA101123,207.22,3.72,FEM
RUKA101123,210.94,0.26,KCHI
RUKA101123,211.38,1.72,FEM
RUKA101123,213.88,0.82,KCHI
RUKA101123,214.96,3.56,FEM
RUKA101123,220.48,2.16,FEM
RUKA101123,223.7,1.64,FEM
RUKA101123,227.9,4.3,FEM
RUKA101123,233.22,3.14,FEM
RUKA101123,236.36,0.84,KCHI
RUKA101123,237.2,1.2,FEM
RUKA101123,239.76,0.74,KCHI
RUKA101123,240.5,0.62,FEM
RUKA101123,241.34,0.64,KCHI
RUKA101123,242.08,1.16,FEM
RUKA101123,243.38,1.36,FEM
RUKA101123,250.82,1.72,KCHI
RUKA101123,252.52,1.22,FEM
RUKA101123,255.32,3.04,FEM
RUKA101123,259.96,1.6,FEM
RUKA101123,264.86,1.8,FEM
RUKA101123,269.04,2.04,KCHI
RUKA101123,271.46,0.9,KCHI
RUKA101123,272.28,0.78,FEM
RUKA101123,273.02,0.6,KCHI
RUKA101123,273.64,1.36,FEM
RUKA101123,275.68,0.58,KCHI
RUKA101123,275.82,2.6,FEM
