uid,start_time_s,duration_s,label
SHDU140124,0.0,1.76,FEM
SHDU140124,7.48,0.48,FEM
SHDU140124,11.2,1.94,FEM
SHDU140124,13.56,4.6,FEM
SHDU140124,21.76,0.72,KCHI
SHDU140124,24.04,3.24,FEM
SHDU140124,30.0,1.44,MAL
SHDU140124,31.48,0.36,FEM
SHDU140124,36.4,2.48,FEM
SHDU140124,39.62,0.18,KCHI
SHDU140124,40.5,0.6,MAL
SHDU140124,41.1,1.02,FEM
SHDU140124,45.78,4.96,FEM
SHDU140124,50.92,0.28,FEM
SHDU140124,52.1,1.26,FEM
SHDU140124,54.44,1.28,FEM
SHDU140124,59.7,0.52,FEM
SHDU140124,61.76,2.92,FEM
SHDU140124,68.5,3.14,FEM
SHDU140124,72.42,2.14,FEM
SHDU140124,75.6,0.1,FEM
SHDU140124,75.9,0.82,FEM
SHDU140124,77.24,0.64,FEM
SHDU140124,80.74,0.94,FEM
SHDU140124,89.18,7.6,FEM
SHDU140124,92.76,0.4,OCH
SHDU140124,96.38,0.2,KCHI
SHDU140124,98.44,0.96,FEM
SHDU140124,101.1,1.14,FEM
SHDU140124,103.22,0.74,FEM
SHDU140124,104.2,2.1,FEM
SHDU140124,106.48,0.6,FEM
SHDU140124,109.16,1.24,FEM
SHDU140124,127.36,0.72,FEM
SHDU140124,133.4,1.92,FEM
SHDU140124,135.64,1.6,FEM
SHDU140124,137.36,2.84,FEM
SHDU140124,141.38,1.12,FEM
SHDU140124,143.28,2.34,FEM
SHDU140124,146.1,3.16,FEM
SHDU140124,149.4,1.84,FEM
SHDU140124,155.42,1.52,FEM
SHDU140124,157.46,0.36,KCHI
SHDU140124,157.94,0.52,FEM
SHDU140124,159.02,3.54,FEM
SHDU140124,163.18,4.82,FEM
SHDU140124,164.12,0.38,KCHI
SHDU140124,168.24,0.88,FEM
SHDU140124,170.22,0.58,FEM
SHDU140124,170.62,1.82,KCHI
SHDU140124,171.68,4.72,FEM
SHDU140124,173.9,2.0,KCHI
SHDU140124,176.62,1.16,FEM
SHDU140124,178.2,0.86,KCHI
SHDU140124,179.14,0.58,FEM
SHDU140124,182.32,1.86,FEM
SHDU140124,184.62,0.5,MAL
SHDU140124,185.12,0.94,FEM
SHDU140124,186.06,0.72,KCHI
SHDU140124,186.8,1.02,MAL
SHDU140124,187.02,0.46,FEM
SHDU140124,187.64,1.26,FEM
SHDU140124,189.44,0.98,MAL
SHDU140124,192.02,2.06,FEM
SHDU140124,195.36,1.58,MAL
SHDU140124,196.94,0.5,FEM
SHDU140124,197.06,0.84,KCHI
SHDU140124,197.86,1.14,FEM
SHDU140124,199.5,0.98,MAL
SHDU140124,202.22,0.76,FEM
SHDU140124,204.6,0.44,FEM
SHDU140124,205.04,1.76,MAL
SHDU140124,207.6,0.96,MAL
SHDU140124,209.12,2.62,KCHI
SHDU140124,211.8,1.28,FEM
SHDU140124,213.96,0.92,OCH
SHDU140124,214.92,1.98,KCHI
SHDU140124,214.96,0.88,FEM
SHDU140124,216.1,0.72,FEM
SHDU140124,219.5,1.22,KCHI
SHDU140124,220.8,0.36,FEM
SHDU140124,221.8,1.44,KCHI
SHDU140124,221.82,1.06,OCH
SHDU140124,222.88,3.54,FEM
SHDU140124,224.42,1.16,KCHI
SHDU140124,226.86,2.94,FEM
SHDU140124,230.84,0.38,FEM
SHDU140124,235.26,1.68,FEM
SHDU140124,236.98,0.36,MAL
SHDU140124,237.82,0.98,FEM
SHDU140124,239.16,1.22,MAL
SHDU140124,240.38,1.04,FEM
SHDU140124,240.54,0.26,MAL
SHDU140124,241.7,0.6,MAL
SHDU140124,242.78,0.7,FEM
SHDU140124,243.64,0.82,MAL
SHDU140124,244.8,0.62,FEM
SHDU140124,245.64,1.12,FEM
SHDU140124,250.74,0.68,FEM
SHDU140124,251.66,0.3,FEM
SHDU140124,253.78,2.14,FEM
SHDU140124,255.9,1.46,MAL
SHDU140124,259.2,1.92,KCHI
SHDU140124,262.18,0.5,FEM
SHDU140124,262.68,0.76,KCHI
SHDU140124,264.18,1.88,KCHI
SHDU140124,266.54,2.54,FEM
SHDU140124,278.6,0.86,MAL
SHDU140124,284.62,1.1,KCHI
SHDU140124,285.82,2.3,FEM
SHDU140124,286.88,2.14,KCHI
SHDU140124,290.82,1.1,FEM
SHDU140124,293.12,1.4,FEM
SHDU140124,294.66,2.46,FEM
SHDU140124,294.8,1.1,KCHI
SHDU140124,296.5,1.38,OCH
SHDU140124,298.62,0.4,KCHI
SHDU140124,299.34,0.44,MAL
SHDU140124,300.04,5.32,FEM
SHDU140124,305.36,1.1,MAL
SHDU140124,306.46,3.98,FEM
SHDU140124,310.44,0.8,MAL
SHDU140124,311.3,1.82,FEM
SHDU140124,313.26,0.86,MAL
SHDU140124,316.2,0.86,FEM
SHDU140124,317.66,0.74,FEM
SHDU140124,320.88,0.56,FEM
SHDU140124,321.68,0.7,MAL
SHDU140124,325.0,0.3,FEM
SHDU140124,326.36,0.94,KCHI
SHDU140124,326.36,0.98,FEM
SHDU140124,327.52,0.56,FEM
SHDU140124,329.18,1.52,FEM
SHDU140124,330.66,1.18,MAL
SHDU140124,331.74,3.28,FEM
SHDU140124,333.52,0.38,OCH
SHDU140124,334.02,0.3,OCH
SHDU140124,336.8,0.72,KCHI
SHDU140124,338.16,0.96,FEM
SHDU140124,340.18,2.38,FEM
SHDU140124,346.1,0.16,FEM
SHDU140124,349.08,0.3,FEM
SHDU140124,350.78,1.66,FEM
SHDU140124,352.6,1.16,MAL
SHDU140124,355.36,0.42,MAL
SHDU140124,356.4,0.24,KCHI
SHDU140124,356.98,1.9,KCHI
SHDU140124,359.04,0.52,MAL
SHDU140124,359.88,0.28,FEM
SHDU140124,359.96,0.98,OCH
SHDU140124,360.96,3.42,FEM
SHDU140124,364.42,0.44,OCH
SHDU140124,364.5,1.5,KCHI
SHDU140124,364.98,1.18,FEM
SHDU140124,366.46,0.42,MAL
SHDU140124,367.1,1.7,MAL
SHDU140124,368.76,0.66,KCHI
SHDU140124,369.08,2.08,FEM
SHDU140124,371.54,1.18,FEM
SHDU140124,373.18,0.38,MAL
SHDU140124,374.02,0.1,FEM
SHDU140124,374.18,1.9,MAL
SHDU140124,375.54,0.18,FEM
SHDU140124,375.82,1.98,FEM
SHDU140124,376.3,0.58,MAL
SHDU140124,376.98,0.2,MAL
SHDU140124,377.8,0.3,MAL
SHDU140124,378.62,0.8,FEM
SHDU140124,381.1,1.08,KCHI
SHDU140124,382.58,0.92,MAL
SHDU140124,383.86,5.82,FEM
SHDU140124,390.3,1.02,FEM
SHDU140124,391.58,0.7,FEM
SHDU140124,393.06,0.84,MAL
SHDU140124,394.02,0.18,FEM
SHDU140124,396.54,1.46,FEM
SHDU140124,401.98,1.0,FEM
SHDU140124,404.2,1.04,FEM
SHDU140124,404.72,1.24,KCHI
SHDU140124,405.4,0.16,FEM
SHDU140124,406.42,1.96,FEM
SHDU140124,408.56,1.22,FEM
SHDU140124,410.16,0.78,KCHI
SHDU140124,410.78,1.18,FEM
SHDU140124,412.08,1.84,FEM
SHDU140124,414.1,0.62,MAL
SHDU140124,414.86,0.2,FEM
SHDU140124,415.18,1.54,MAL
SHDU140124,417.58,0.3,MAL
SHDU140124,417.9,0.5,FEM
SHDU140124,420.04,1.84,FEM
SHDU140124,422.46,0.62,FEM
SHDU140124,423.14,0.5,KCHI
SHDU140124,424.88,0.76,MAL
SHDU140124,425.94,1.3,FEM
SHDU140124,428.56,2.8,FEM
SHDU140124,432.0,1.48,FEM
SHDU140124,434.0,2.82,OCH
SHDU140124,437.1,0.54,FEM
SHDU140124,437.58,0.22,OCH
SHDU140124,437.8,0.3,KCHI
SHDU140124,438.82,0.58,KCHI
SHDU140124,439.86,1.92,FEM
SHDU140124,442.82,0.52,KCHI
SHDU140124,443.46,0.58,OCH
SHDU140124,444.26,0.66,KCHI
SHDU140124,445.02,0.74,OCH
SHDU140124,446.04,0.18,KCHI
SHDU140124,449.74,0.42,FEM
SHDU140124,449.98,2.24,OCH
SHDU140124,451.86,0.76,FEM
SHDU140124,452.56,0.96,OCH
SHDU140124,453.72,0.7,FEM
SHDU140124,454.9,1.34,KCHI
SHDU140124,458.98,0.74,FEM
SHDU140124,461.68,1.0,FEM
SHDU140124,465.78,0.32,FEM
SHDU140124,466.24,0.94,MAL
SHDU140124,468.28,0.68,MAL
SHDU140124,470.22,3.4,FEM
SHDU140124,474.58,0.22,MAL
SHDU140124,476.1,1.5,MAL
SHDU140124,478.2,0.4,MAL
SHDU140124,478.66,0.78,KCHI
SHDU140124,479.48,1.06,MAL
SHDU140124,486.18,0.64,MAL
SHDU140124,489.68,1.62,FEM
SHDU140124,492.12,1.4,FEM
SHDU140124,493.52,2.16,MAL
SHDU140124,496.14,1.36,MAL
SHDU140124,501.48,0.8,MAL
SHDU140124,503.4,1.0,KCHI
SHDU140124,509.9,1.16,MAL
SHDU140124,511.96,0.94,MAL
SHDU140124,513.42,1.0,FEM
SHDU140124,514.38,0.86,MAL
SHDU140124,514.96,1.38,FEM
SHDU140124,517.1,0.3,MAL
SHDU140124,523.2,0.56,MAL
SHDU140124,524.96,0.4,MAL
SHDU140124,529.92,1.08,OCH
SHDU140124,533.08,1.72,FEM
SHDU140124,533.52,1.34,MAL
SHDU140124,536.22,1.08,MAL
SHDU140124,536.52,0.78,FEM
SHDU140124,541.28,2.06,FEM
SHDU140124,543.98,1.22,FEM
SHDU140124,546.4,1.44,MAL
SHDU140124,548.86,0.38,MAL
SHDU140124,550.72,1.98,MAL
SHDU140124,553.38,1.24,MAL
SHDU140124,555.2,1.2,MAL
SHDU140124,557.1,1.2,MAL
SHDU140124,560.58,0.6,MAL
SHDU140124,567.9,1.24,OCH
SHDU140124,569.14,1.54,FEM
SHDU140124,574.16,1.5,FEM
SHDU140124,580.64,1.26,FEM
SHDU140124,582.22,0.88,MAL
SHDU140124,644.76,1.54,FEM
SHDU140124,647.42,0.42,FEM
SHDU140124,648.74,0.3,KCHI
SHDU140124,649.14,0.88,FEM
SHDU140124,650.4,1.4,FEM
SHDU140124,652.36,1.78,FEM
SHDU140124,655.64,1.28,FEM
SHDU140124,657.62,1.76,FEM
SHDU140124,662.64,1.32,FEM
SHDU140124,665.7,1.62,FEM
SHDU140124,669.12,2.12,FEM
SHDU140124,672.96,1.28,FEM
SHDU140124,675.96,0.64,FEM
SHDU140124,688.54,0.44,FEM
SHDU140124,742.58,0.76,KCHI
SHDU140124,743.48,0.66,KCHI
SHDU140124,748.56,1.02,FEM
SHDU140124,750.44,1.5,FEM
SHDU140124,753.32,0.52,FEM
SHDU140124,756.2,0.74,FEM
SHDU140124,759.64,1.56,FEM
SHDU140124,764.16,2.36,FEM
SHDU140124,767.86,1.64,FEM
SHDU140124,770.22,1.9,FEM
SHDU140124,776.66,1.7,FEM
SHDU140124,779.82,1.22,FEM
SHDU140124,781.5,1.54,FEM
SHDU140124,783.28,1.68,FEM
SHDU140124,788.2,1.34,FEM
SHDU140124,791.28,0.74,FEM
SHDU140124,793.64,1.0,FEM
SHDU140124,795.22,1.1,FEM
SHDU140124,797.8,1.18,FEM
SHDU140124,801.02,1.48,FEM
SHDU140124,804.1,0.6,FEM
SHDU140124,805.72,1.18,KCHI
SHDU140124,807.14,1.18,FEM
SHDU140124,809.16,1.76,FEM
SHDU140124,811.56,1.74,KCHI
SHDU140124,817.52,6.34,FEM
SHDU140124,823.86,0.16,MAL
SHDU140124,826.64,0.46,KCHI
SHDU140124,829.14,2.6,FEM
SHDU140124,832.14,2.3,FEM
SHDU140124,837.04,1.12,FEM
SHDU140124,838.72,1.66,FEM
SHDU140124,842.2,0.66,FEM
SHDU140124,844.2,1.68,FEM
SHDU140124,864.58,1.34,FEM
SHDU140124,868.58,1.12,FEM
SHDU140124,870.4,0.38,KCHI
SHDU140124,873.22,1.48,FEM
SHDU140124,906.78,0.66,MAL
SHDU140124,919.98,1.48,FEM
SHDU140124,923.88,2.1,FEM
SHDU140124,927.02,0.32,FEM
SHDU140124,932.96,1.22,FEM
SHDU140124,936.1,1.54,FEM
SHDU140124,958.18,0.78,KCHI
SHDU140124,959.82,0.7,FEM
SHDU140124,962.12,1.46,FEM
SHDU140124,978.96,2.64,FEM
SHDU140124,981.8,1.26,FEM
SHDU140124,995.0,0.12,KCHI
SHDU140124,1050.06,0.4,OCH
SHDU140124,1051.06,0.54,KCHI
SHDU140124,1053.06,0.7,KCHI
SHDU140124,1055.06,0.58,KCHI
SHDU140124,1057.72,0.52,FEM
SHDU140124,1058.52,0.16,FEM
SHDU140124,1058.68,0.88,KCHI
SHDU140124,1071.56,2.08,KCHI
SHDU140124,1076.28,1.48,KCHI
SHDU140124,1078.86,2.76,KCHI
SHDU140124,1082.56,1.22,KCHI
SHDU140124,1084.26,1.56,KCHI
SHDU140124,1086.28,1.82,KCHI
SHDU140124,1092.36,2.74,KCHI
SHDU140124,1096.82,1.48,KCHI
SHDU140124,1099.36,0.46,OCH
SHDU140124,1101.08,0.72,KCHI
SHDU140124,1102.46,1.36,KCHI
SHDU140124,1104.64,1.4,KCHI
SHDU140124,1106.56,1.06,KCHI
SHDU140124,1141.8,0.42,KCHI
SHDU140124,1170.46,1.7,FEM
SHDU140124,1174.42,2.24,FEM
SHDU140124,1177.28,0.8,FEM
SHDU140124,1182.24,0.78,KCHI
SHDU140124,1185.02,1.48,FEM
SHDU140124,1190.02,1.88,FEM
SHDU140124,1193.66,0.92,FEM
SHDU140124,1197.86,1.68,FEM
SHDU140124,1201.96,3.98,FEM
SHDU140124,1206.36,2.64,FEM
SHDU140124,1210.08,2.74,FEM
SHDU140124,1215.36,2.74,FEM
SHDU140124,1223.94,6.7,FEM
SHDU140124,1231.18,7.48,FEM
SHDU140124,1240.8,3.5,FEM
SHDU140124,1259.42,1.14,KCHI
SHDU140124,1261.28,0.38,KCHI
SHDU140124,1325.04,1.08,FEM
SHDU140124,1326.9,1.64,FEM
SHDU140124,1330.38,0.98,FEM
SHDU140124,1332.34,1.06,FEM
SHDU140124,1334.14,1.36,FEM
SHDU140124,1336.26,0.74,KCHI
SHDU140124,1336.94,1.5,FEM
SHDU140124,1339.58,2.28,FEM
SHDU140124,1342.98,1.04,FEM
SHDU140124,1344.58,1.14,FEM
SHDU140124,1351.16,1.22,FEM
SHDU140124,1360.22,0.94,OCH
SHDU140124,1365.54,1.44,FEM
SHDU140124,1424.06,1.28,FEM
SHDU140124,1432.54,0.26,FEM
SHDU140124,1439.32,0.72,FEM
SHDU140124,1445.78,2.14,FEM
SHDU140124,1449.18,2.14,FEM
SHDU140124,1452.08,1.68,FEM
SHDU140124,1459.48,0.92,KCHI
SHDU140124,1460.7,2.64,FEM
SHDU140124,1465.02,1.3,FEM
SHDU140124,1468.22,0.26,FEM
SHDU140124,1468.7,1.18,FEM
SHDU140124,1519.98,0.38,KCHI
SHDU140124,1520.36,0.34,FEM
SHDU140124,1520.82,1.34,KCHI
SHDU140124,1522.34,2.0,KCHI
SHDU140124,1526.28,0.78,KCHI
SHDU140124,1573.22,1.48,FEM
SHDU140124,1590.06,1.16,FEM
SHDU140124,1593.88,1.78,FEM
SHDU140124,1596.42,1.52,FEM
SHDU140124,1600.62,2.32,FEM
SHDU140124,1603.94,1.44,FEM
SHDU140124,1606.72,1.08,FEM
SHDU140124,1609.38,1.28,FEM
SHDU140124,1625.1,0.5,FEM
SHDU140124,1643.9,1.22,OCH
SHDU140124,1649.36,1.4,KCHI
SHDU140124,1671.6,2.3,OCH
SHDU140124,1674.6,0.84,MAL
