uid,start_time_s,duration_s,label
SHGA250923,3.98,2.38,FEM
SHGA250923,13.68,0.52,FEM
SHGA250923,16.94,0.18,OCH
SHGA250923,18.14,1.76,MAL
SHGA250923,20.34,0.44,MAL
SHGA250923,21.2,0.6,MAL
SHGA250923,22.06,1.6,MAL
SHGA250923,23.78,0.1,MAL
SHGA250923,31.84,0.22,FEM
SHGA250923,32.04,0.48,MAL
SHGA250923,32.92,2.9,FEM
SHGA250923,34.7,1.12,MAL
SHGA250923,39.44,0.36,FEM
SHGA250923,47.08,0.16,FEM
SHGA250923,47.76,0.46,MAL
SHGA250923,48.3,9.32,FEM
SHGA250923,48.44,0.16,MAL
SHGA250923,51.6,1.58,KCHI
SHGA250923,57.84,1.1,FEM
SHGA250923,60.74,3.98,FEM
SHGA250923,63.76,0.7,KCHI
SHGA250923,66.08,5.16,FEM
SHGA250923,71.64,0.24,FEM
SHGA250923,74.12,1.16,FEM
SHGA250923,79.6,1.34,FEM
SHGA250923,81.94,5.62,FEM
SHGA250923,91.54,3.98,FEM
SHGA250923,99.62,1.1,FEM
SHGA250923,100.86,4.96,FEM
SHGA250923,107.76,3.0,FEM
SHGA250923,111.18,1.38,FEM
SHGA250923,116.56,1.42,FEM
SHGA250923,118.66,0.48,FEM
SHGA250923,119.4,1.12,FEM
SHGA250923,121.6,1.34,FEM
SHGA250923,126.08,2.36,FEM
SHGA250923,129.88,4.68,FEM
SHGA250923,135.32,0.46,FEM
SHGA250923,136.3,14.16,FEM
SHGA250923,149.16,0.8,KCHI
SHGA250923,150.3,0.94,KCHI
SHGA250923,152.82,0.78,KCHI
SHGA250923,154.82,0.74,FEM
SHGA250923,156.48,1.22,FEM
SHGA250923,158.06,0.82,KCHI
SHGA250923,161.2,0.56,FEM
SHGA250923,162.92,2.16,FEM
SHGA250923,165.4,1.24,FEM
SHGA250923,166.9,0.72,FEM
SHGA250923,167.68,0.56,KCHI
SHGA250923,168.64,1.02,FEM
SHGA250923,171.14,1.0,MAL
SHGA250923,171.98,0.7,FEM
SHGA250923,172.54,0.42,MAL
SHGA250923,173.34,0.54,FEM
SHGA250923,174.9,0.22,MAL
SHGA250923,175.38,0.62,FEM
SHGA250923,177.18,0.4,MAL
SHGA250923,177.48,0.88,FEM
SHGA250923,177.8,0.16,MAL
SHGA250923,178.28,0.34,MAL
SHGA250923,179.68,0.62,KCHI
SHGA250923,179.78,1.28,FEM
SHGA250923,181.32,0.66,MAL
SHGA250923,183.28,0.38,MAL
SHGA250923,183.58,1.3,FEM
SHGA250923,184.52,0.86,MAL
SHGA250923,186.42,1.42,FEM
SHGA250923,188.6,1.08,FEM
SHGA250923,191.62,0.46,FEM
SHGA250923,192.66,1.42,FEM
SHGA250923,196.18,0.44,FEM
SHGA250923,199.94,1.06,MAL
SHGA250923,202.06,1.72,KCHI
SHGA250923,204.44,1.28,KCHI
SHGA250923,210.26,0.68,FEM
SHGA250923,210.6,1.28,MAL
SHGA250923,211.96,1.14,FEM
SHGA250923,213.68,0.6,MAL
SHGA250923,214.92,0.36,FEM
SHGA250923,216.08,1.46,FEM
SHGA250923,221.78,0.48,KCHI
SHGA250923,222.88,2.38,KCHI
SHGA250923,226.74,0.12,KCHI
SHGA250923,227.36,1.02,KCHI
SHGA250923,229.74,1.1,KCHI
SHGA250923,235.76,2.7,FEM
SHGA250923,236.14,0.52,KCHI
SHGA250923,238.4,0.38,KCHI
SHGA250923,238.68,0.12,FEM
SHGA250923,242.78,0.5,KCHI
SHGA250923,243.84,0.58,KCHI
SHGA250923,248.04,1.18,OCH
SHGA250923,249.36,0.32,OCH
SHGA250923,250.74,3.98,OCH
SHGA250923,258.7,3.98,KCHI
SHGA250923,263.14,0.2,OCH
SHGA250923,263.76,0.3,OCH
SHGA250923,264.26,0.68,OCH
SHGA250923,265.1,0.32,OCH
SHGA250923,265.56,0.34,OCH
SHGA250923,266.54,0.12,OCH
SHGA250923,266.66,0.5,KCHI
SHGA250923,274.04,0.58,KCHI
SHGA250923,282.58,4.1,KCHI
SHGA250923,286.56,0.48,FEM
SHGA250923,287.46,2.72,FEM
SHGA250923,291.38,0.82,FEM
SHGA250923,293.72,0.74,FEM
SHGA250923,295.78,3.12,FEM
SHGA250923,299.14,1.92,FEM
SHGA250923,301.26,2.62,FEM
SHGA250923,301.68,1.0,KCHI
SHGA250923,304.86,1.44,FEM
SHGA250923,307.56,1.3,FEM
SHGA250923,310.44,1.88,FEM
SHGA250923,313.68,0.66,OCH
SHGA250923,314.98,0.9,FEM
SHGA250923,316.64,1.62,FEM
SHGA250923,318.28,0.12,KCHI
SHGA250923,318.4,1.2,FEM
SHGA250923,320.26,2.92,FEM
SHGA250923,323.64,2.2,FEM
SHGA250923,327.32,2.18,FEM
SHGA250923,330.34,1.14,FEM
SHGA250923,332.18,2.14,FEM
SHGA250923,334.32,0.56,KCHI
SHGA250923,335.16,1.36,FEM
SHGA250923,337.28,1.28,FEM
SHGA250923,339.2,1.44,FEM
SHGA250923,340.68,1.82,KCHI
SHGA250923,342.28,3.04,FEM
SHGA250923,345.46,0.8,FEM
SHGA250923,345.7,0.44,KCHI
SHGA250923,347.1,1.56,KCHI
SHGA250923,348.68,1.56,FEM
SHGA250923,349.76,0.68,KCHI
SHGA250923,350.5,3.72,FEM
SHGA250923,355.3,0.96,OCH
SHGA250923,356.1,1.94,KCHI
SHGA250923,357.56,0.64,OCH
SHGA250923,358.2,0.48,KCHI
SHGA250923,358.2,2.76,FEM
SHGA250923,361.12,1.44,KCHI
SHGA250923,362.58,1.12,FEM
SHGA250923,363.76,0.9,KCHI
SHGA250923,364.68,4.12,FEM
SHGA250923,368.96,1.18,FEM
SHGA250923,371.16,0.24,FEM
SHGA250923,371.86,1.38,OCH
SHGA250923,373.18,1.82,FEM
SHGA250923,375.68,1.1,KCHI
SHGA250923,376.42,1.68,FEM
SHGA250923,378.1,0.72,OCH
SHGA250923,379.14,0.92,KCHI
SHGA250923,380.04,0.86,FEM
SHGA250923,381.22,0.48,KCHI
SHGA250923,381.84,0.24,OCH
SHGA250923,382.08,1.36,FEM
SHGA250923,383.36,0.9,KCHI
SHGA250923,384.18,1.16,FEM
SHGA250923,387.0,2.64,FEM
SHGA250923,389.36,0.98,KCHI
SHGA250923,390.28,1.5,FEM
SHGA250923,392.1,0.62,KCHI
SHGA250923,392.7,0.94,FEM
SHGA250923,394.96,6.64,FEM
SHGA250923,403.26,2.7,FEM
SHGA250923,403.88,1.16,KCHI
SHGA250923,407.26,0.76,FEM
SHGA250923,407.9,1.02,KCHI
SHGA250923,410.54,1.34,FEM
SHGA250923,412.16,0.82,KCHI
SHGA250923,412.94,2.88,FEM
SHGA250923,415.98,1.92,FEM
SHGA250923,418.74,1.88,FEM
SHGA250923,420.54,1.22,KCHI
SHGA250923,421.74,1.54,FEM
SHGA250923,428.22,0.78,FEM
SHGA250923,429.56,0.74,FEM
SHGA250923,431.12,0.86,FEM
SHGA250923,432.14,0.58,KCHI
SHGA250923,437.8,1.02,FEM
SHGA250923,439.54,2.24,FEM
SHGA250923,447.04,0.74,KCHI
SHGA250923,448.1,2.02,FEM
SHGA250923,450.56,2.64,KCHI
SHGA250923,452.76,0.64,FEM
SHGA250923,455.16,2.46,FEM
SHGA250923,458.94,2.74,FEM
SHGA250923,466.54,1.04,FEM
SHGA250923,472.22,1.36,FEM
SHGA250923,476.36,5.08,FEM
SHGA250923,482.0,9.46,FEM
SHGA250923,489.54,0.22,KCHI
SHGA250923,492.48,1.04,FEM
SHGA250923,493.52,2.46,KCHI
SHGA250923,501.48,0.46,OCH
SHGA250923,502.14,2.9,OCH
SHGA250923,506.1,3.16,FEM
SHGA250923,509.58,1.24,FEM
