uid,start_time_s,duration_s,label
SHGO060723,1.66,0.76,MAL
SHGO060723,4.3,3.56,FEM
SHGO060723,7.36,1.92,KCHI
SHGO060723,9.1,2.34,FEM
SHGO060723,12.96,0.2,FEM
SHGO060723,14.08,9.82,FEM
SHGO060723,17.5,1.12,KCHI
SHGO060723,21.54,0.18,OCH
SHGO060723,22.74,0.26,OCH
SHGO060723,23.84,0.14,OCH
SHGO060723,24.7,3.16,OCH
SHGO060723,27.86,3.78,FEM
SHGO060723,30.76,0.9,OCH
SHGO060723,32.26,0.68,FEM
SHGO060723,34.42,0.14,OCH
SHGO060723,34.5,0.22,FEM
SHGO060723,35.82,0.84,OCH
SHGO060723,37.38,1.26,OCH
SHGO060723,38.84,0.28,FEM
SHGO060723,39.32,2.02,FEM
SHGO060723,41.98,1.18,FEM
SHGO060723,43.78,0.92,FEM
SHGO060723,44.98,0.38,FEM
SHGO060723,45.94,1.84,FEM
SHGO060723,47.98,0.42,FEM
SHGO060723,49.46,0.66,MAL
SHGO060723,50.88,0.86,FEM
SHGO060723,54.56,0.92,FEM
SHGO060723,56.22,0.38,KCHI
SHGO060723,56.74,0.84,FEM
SHGO060723,58.36,2.78,FEM
SHGO060723,61.44,1.16,FEM
SHGO060723,61.68,1.88,OCH
SHGO060723,63.56,2.8,FEM
SHGO060723,67.44,1.18,FEM
SHGO060723,68.44,0.4,MAL
SHGO060723,68.88,0.78,FEM
SHGO060723,69.9,0.66,FEM
SHGO060723,71.2,0.44,MAL
SHGO060723,71.64,2.46,FEM
SHGO060723,75.62,1.7,FEM
SHGO060723,78.08,1.16,FEM
SHGO060723,81.56,0.8,MAL
SHGO060723,84.4,1.2,MAL
SHGO060723,88.92,1.44,FEM
SHGO060723,92.7,1.82,FEM
SHGO060723,94.66,0.86,FEM
SHGO060723,96.46,0.86,MAL
SHGO060723,98.46,0.22,FEM
SHGO060723,99.08,4.02,FEM
SHGO060723,103.98,1.24,FEM
SHGO060723,106.94,1.3,FEM
SHGO060723,108.6,2.84,FEM
SHGO060723,114.1,1.18,FEM
SHGO060723,115.54,0.4,FEM
SHGO060723,115.88,0.78,OCH
SHGO060723,118.42,4.2,FEM
SHGO060723,122.86,0.32,FEM
SHGO060723,123.68,0.46,FEM
SHGO060723,124.88,1.18,FEM
SHGO060723,127.36,7.86,FEM
SHGO060723,135.4,0.8,MAL
SHGO060723,136.4,1.42,FEM
SHGO060723,138.04,0.64,MAL
SHGO060723,139.12,0.6,FEM
SHGO060723,141.04,0.26,OCH
SHGO060723,141.32,0.66,FEM
SHGO060723,142.66,4.26,FEM
SHGO060723,147.26,0.28,OCH
SHGO060723,147.26,2.5,FEM
SHGO060723,150.26,0.2,FEM
SHGO060723,155.22,1.4,FEM
SHGO060723,157.5,0.2,OCH
SHGO060723,160.56,7.02,FEM
SHGO060723,160.96,0.74,OCH
SHGO060723,161.98,0.18,OCH
SHGO060723,167.62,0.48,MAL
SHGO060723,168.18,2.7,FEM
SHGO060723,171.14,0.7,FEM
SHGO060723,172.62,7.0,FEM
SHGO060723,180.04,6.52,FEM
SHGO060723,185.78,0.2,MAL
SHGO060723,186.64,0.42,MAL
SHGO060723,187.12,3.92,FEM
SHGO060723,191.5,1.36,FEM
