uid,start_time_s,duration_s,label
SHKH040923,0.0,1.04,FEM
SHKH040923,0.38,3.32,KCHI
SHKH040923,5.32,2.22,KCHI
SHKH040923,8.96,2.38,KCHI
SHKH040923,10.36,0.12,FEM
SHKH040923,11.32,0.74,FEM
SHKH040923,12.06,2.38,KCHI
SHKH040923,13.76,1.42,FEM
SHKH040923,15.18,0.94,KCHI
SHKH040923,16.16,0.9,FEM
SHKH040923,17.12,0.96,KCHI
SHKH040923,18.74,0.28,FEM
SHKH040923,19.28,0.62,KCHI
SHKH040923,19.9,1.46,FEM
SHKH040923,20.96,1.96,KCHI
SHKH040923,23.02,1.82,FEM
SHKH040923,23.14,6.96,KCHI
SHKH040923,28.38,0.34,FEM
SHKH040923,28.96,0.14,FEM
SHKH040923,29.88,1.06,FEM
SHKH040923,30.32,2.28,KCHI
SHKH040923,32.72,3.0,KCHI
SHKH040923,39.88,0.78,FEM
SHKH040923,41.24,1.66,FEM
SHKH040923,43.1,0.68,FEM
SHKH040923,43.78,0.54,KCHI
SHKH040923,44.42,0.98,FEM
SHKH040923,49.28,1.64,FEM
SHKH040923,51.54,0.2,FEM
SHKH040923,51.74,0.16,KCHI
SHKH040923,54.42,0.44,KCHI
SHKH040923,55.48,1.0,FEM
SHKH040923,56.6,1.78,FEM
SHKH040923,59.58,0.44,FEM
SHKH040923,60.12,0.32,FEM
SHKH040923,60.56,4.36,FEM
SHKH040923,67.66,0.84,FEM
SHKH040923,74.52,0.58,MAL
SHKH040923,80.06,1.22,MAL
SHKH040923,81.82,0.6,KCHI
SHKH040923,82.68,0.9,MAL
SHKH040923,91.54,1.1,FEM
SHKH040923,94.26,0.92,FEM
SHKH040923,96.0,0.8,FEM
SHKH040923,97.66,0.86,FEM
SHKH040923,98.9,1.08,FEM
SHKH040923,103.48,1.06,FEM
SHKH040923,109.12,0.38,FEM
SHKH040923,110.44,0.22,FEM
SHKH040923,118.38,0.96,MAL
SHKH040923,121.82,2.22,FEM
SHKH040923,124.58,1.78,FEM
SHKH040923,126.42,0.64,OCH
SHKH040923,127.1,0.26,FEM
SHKH040923,129.64,1.58,FEM
SHKH040923,130.8,0.24,MAL
SHKH040923,131.2,0.12,MAL
SHKH040923,132.92,0.26,FEM
SHKH040923,133.5,0.92,FEM
SHKH040923,135.64,0.58,KCHI
SHKH040923,136.22,0.54,FEM
SHKH040923,137.58,0.72,KCHI
SHKH040923,139.3,1.0,KCHI
SHKH040923,140.4,0.78,FEM
SHKH040923,141.16,1.04,KCHI
SHKH040923,142.22,2.3,FEM
SHKH040923,151.36,0.24,MAL
SHKH040923,151.54,0.9,KCHI
SHKH040923,152.4,1.76,FEM
SHKH040923,154.54,0.4,KCHI
SHKH040923,154.54,1.8,FEM
SHKH040923,156.74,0.84,FEM
SHKH040923,157.76,0.82,FEM
SHKH040923,158.86,0.8,KCHI
SHKH040923,159.58,1.78,FEM
SHKH040923,161.7,0.76,FEM
SHKH040923,162.82,0.36,FEM
SHKH040923,163.3,0.92,FEM
SHKH040923,164.62,1.66,FEM
SHKH040923,166.56,1.02,FEM
SHKH040923,167.58,0.94,KCHI
SHKH040923,170.08,0.58,FEM
SHKH040923,173.52,0.76,FEM
SHKH040923,174.38,1.04,KCHI
SHKH040923,175.8,0.9,KCHI
SHKH040923,176.74,0.76,FEM
SHKH040923,177.86,1.06,KCHI
SHKH040923,180.08,1.02,KCHI
SHKH040923,181.14,0.72,FEM
SHKH040923,182.44,0.96,FEM
