uid,start_time_s,duration_s,label
SHSO190824,0.0,0.56,FEM
SHSO190824,0.8,1.68,FEM
SHSO190824,2.8,0.34,KCHI
SHSO190824,3.56,0.76,FEM
SHSO190824,3.82,0.12,KCHI
SHSO190824,6.6,0.66,FEM
SHSO190824,7.42,0.68,MAL
SHSO190824,7.96,2.06,FEM
SHSO190824,10.24,1.34,FEM
SHSO190824,10.72,0.28,KCHI
SHSO190824,15.92,1.06,MAL
SHSO190824,17.1,0.56,KCHI
SHSO190824,18.54,1.36,FEM
SHSO190824,20.02,3.96,FEM
SHSO190824,22.36,0.12,MAL
SHSO190824,24.32,3.54,FEM
SHSO190824,27.86,0.46,KCHI
SHSO190824,28.44,0.32,FEM
SHSO190824,28.96,1.6,FEM
SHSO190824,30.32,0.52,OCH
SHSO190824,31.08,0.4,FEM
SHSO190824,34.32,0.92,FEM
SHSO190824,40.08,1.16,FEM
SHSO190824,42.0,0.48,MAL
SHSO190824,45.44,1.52,FEM
SHSO190824,48.62,0.24,FEM
SHSO190824,49.04,2.58,FEM
SHSO190824,52.6,0.8,FEM
SHSO190824,54.2,1.72,MAL
SHSO190824,56.58,0.14,FEM
SHSO190824,56.76,0.1,MAL
SHSO190824,56.86,0.86,FEM
SHSO190824,57.54,0.3,MAL
SHSO190824,57.94,0.4,MAL
SHSO190824,58.4,0.56,FEM
SHSO190824,59.2,3.26,FEM
SHSO190824,62.32,0.82,MAL
SHSO190824,63.68,0.24,FEM
SHSO190824,64.7,0.36,FEM
SHSO190824,65.16,1.34,MAL
SHSO190824,66.66,4.74,FEM
SHSO190824,69.22,0.9,MAL
SHSO190824,72.02,1.62,MAL
SHSO190824,73.66,1.84,FEM
SHSO190824,75.62,0.76,KCHI
SHSO190824,76.92,0.64,MAL
SHSO190824,78.0,1.84,FEM
SHSO190824,80.86,0.4,MAL
SHSO190824,81.12,3.1,FEM
SHSO190824,84.54,7.0,FEM
SHSO190824,95.52,0.66,FEM
SHSO190824,96.46,1.38,FEM
SHSO190824,98.36,3.44,FEM
SHSO190824,102.3,0.16,FEM
SHSO190824,102.56,0.4,FEM
SHSO190824,103.2,0.28,MAL
SHSO190824,103.72,0.54,FEM
SHSO190824,104.3,0.64,MAL
SHSO190824,104.66,0.6,FEM
SHSO190824,105.18,0.32,MAL
SHSO190824,105.36,3.34,FEM
SHSO190824,107.66,0.5,KCHI
SHSO190824,109.82,4.92,FEM
SHSO190824,120.78,0.4,FEM
SHSO190824,123.38,1.24,FEM
SHSO190824,131.34,3.14,OCH
SHSO190824,131.7,0.56,MAL
SHSO190824,145.12,1.6,OCH
SHSO190824,146.84,0.56,FEM
SHSO190824,147.72,1.38,FEM
SHSO190824,148.34,1.06,MAL
SHSO190824,149.68,2.36,FEM
SHSO190824,149.74,0.42,MAL
SHSO190824,152.34,1.24,MAL
SHSO190824,152.48,0.68,FEM
SHSO190824,153.38,1.84,FEM
SHSO190824,155.22,0.52,KCHI
SHSO190824,155.72,2.48,FEM
SHSO190824,159.08,0.5,FEM
SHSO190824,165.32,1.84,FEM
SHSO190824,165.42,0.54,KCHI
SHSO190824,167.72,1.44,FEM
SHSO190824,172.26,0.26,OCH
SHSO190824,173.42,0.2,FEM
SHSO190824,173.98,0.42,MAL
SHSO190824,180.56,0.24,OCH
SHSO190824,180.98,0.24,OCH
SHSO190824,182.34,1.56,FEM
SHSO190824,184.9,2.16,FEM
SHSO190824,189.0,4.62,FEM
SHSO190824,196.76,0.6,FEM
SHSO190824,197.92,0.14,FEM
SHSO190824,199.42,1.44,FEM
SHSO190824,201.4,1.58,FEM
SHSO190824,202.36,0.62,KCHI
SHSO190824,203.7,1.24,FEM
SHSO190824,204.54,2.28,KCHI
SHSO190824,205.74,3.4,FEM
SHSO190824,207.18,1.2,KCHI
SHSO190824,211.26,0.86,MAL
SHSO190824,212.16,0.96,KCHI
SHSO190824,213.06,1.38,FEM
SHSO190824,214.48,0.98,KCHI
SHSO190824,215.44,1.18,FEM
SHSO190824,216.76,1.68,KCHI
SHSO190824,217.98,1.2,FEM
SHSO190824,218.9,0.98,KCHI
SHSO190824,220.12,1.14,KCHI
SHSO190824,221.12,0.3,MAL
SHSO190824,222.56,0.8,KCHI
SHSO190824,223.26,1.1,FEM
SHSO190824,224.62,2.72,KCHI
SHSO190824,225.24,1.62,FEM
SHSO190824,227.28,1.58,FEM
SHSO190824,229.8,0.88,FEM
SHSO190824,230.92,1.18,FEM
SHSO190824,233.22,0.88,KCHI
SHSO190824,234.02,1.3,FEM
SHSO190824,236.1,1.12,FEM
SHSO190824,237.34,0.76,KCHI
SHSO190824,238.14,0.74,FEM
SHSO190824,240.8,1.18,KCHI
SHSO190824,245.04,1.1,KCHI
SHSO190824,246.54,0.92,KCHI
SHSO190824,248.16,2.18,KCHI
SHSO190824,248.54,4.32,FEM
SHSO190824,250.62,1.54,KCHI
SHSO190824,252.76,1.28,KCHI
SHSO190824,254.72,0.3,OCH
SHSO190824,255.22,0.64,FEM
SHSO190824,256.22,1.5,FEM
SHSO190824,256.7,2.06,KCHI
SHSO190824,258.7,3.02,FEM
SHSO190824,258.94,0.14,KCHI
SHSO190824,259.5,3.32,KCHI
SHSO190824,264.04,1.26,FEM
SHSO190824,264.6,1.16,KCHI
SHSO190824,265.76,0.9,FEM
SHSO190824,266.16,1.04,KCHI
SHSO190824,267.16,1.32,FEM
SHSO190824,267.44,0.98,KCHI
SHSO190824,271.72,1.98,KCHI
SHSO190824,272.54,1.96,FEM
SHSO190824,274.04,0.74,KCHI
SHSO190824,275.7,2.06,KCHI
SHSO190824,276.94,1.66,FEM
SHSO190824,278.78,0.8,KCHI
SHSO190824,279.66,2.48,FEM
SHSO190824,280.04,0.54,KCHI
SHSO190824,282.92,1.22,FEM
SHSO190824,284.68,2.66,FEM
SHSO190824,288.74,0.48,FEM
SHSO190824,291.34,3.92,FEM
SHSO190824,296.12,1.0,KCHI
SHSO190824,297.14,4.02,FEM
SHSO190824,301.82,1.86,FEM
SHSO190824,304.66,1.8,FEM
SHSO190824,307.62,1.16,FEM
SHSO190824,310.9,0.86,FEM
SHSO190824,314.54,3.22,FEM
SHSO190824,325.56,0.68,KCHI
SHSO190824,326.36,0.6,FEM
