uid,start_time_s,duration_s,label
SRYA260623,7.14,3.56,FEM
SRYA260623,11.02,3.86,FEM
SRYA260623,11.08,1.56,KCHI
SRYA260623,15.3,0.68,FEM
SRYA260623,17.18,2.08,FEM
SRYA260623,19.74,10.86,FEM
SRYA260623,21.62,0.14,MAL
SRYA260623,30.6,1.08,KCHI
SRYA260623,31.7,0.5,FEM
SRYA260623,32.3,0.54,KCHI
SRYA260623,32.48,3.92,FEM
SRYA260623,36.72,5.02,FEM
SRYA260623,37.56,0.74,KCHI
SRYA260623,42.06,0.86,FEM
SRYA260623,43.98,0.44,FEM
SRYA260623,44.26,1.74,KCHI
SRYA260623,45.66,5.94,FEM
SRYA260623,47.04,0.34,OCH
SRYA260623,47.72,2.0,KCHI
SRYA260623,52.08,0.78,KCHI
SRYA260623,52.88,0.56,FEM
SRYA260623,52.96,0.62,KCHI
SRYA260623,53.94,0.88,KCHI
SRYA260623,56.04,1.68,FEM
SRYA260623,57.86,0.42,KCHI
SRYA260623,58.82,1.0,FEM
SRYA260623,59.82,0.72,KCHI
SRYA260623,60.62,0.14,MAL
SRYA260623,60.76,0.44,FEM
SRYA260623,61.06,0.5,MAL
SRYA260623,61.38,1.32,FEM
SRYA260623,63.14,1.12,MAL
SRYA260623,65.34,0.12,MAL
SRYA260623,69.32,0.74,MAL
SRYA260623,70.8,0.84,KCHI
SRYA260623,71.64,1.06,FEM
SRYA260623,73.0,0.98,MAL
SRYA260623,75.88,0.98,FEM
SRYA260623,78.3,0.52,FEM
SRYA260623,78.64,0.96,MAL
SRYA260623,82.86,2.6,KCHI
SRYA260623,82.9,1.68,FEM
SRYA260623,87.68,1.84,KCHI
SRYA260623,88.74,0.78,FEM
SRYA260623,89.64,1.0,KCHI
SRYA260623,89.72,0.88,FEM
SRYA260623,93.26,1.64,KCHI
SRYA260623,95.52,1.46,KCHI
SRYA260623,97.1,0.9,FEM
SRYA260623,98.12,1.16,KCHI
SRYA260623,99.34,0.76,FEM
SRYA260623,100.7,2.78,FEM
SRYA260623,104.62,0.34,FEM
SRYA260623,109.16,1.82,FEM
SRYA260623,111.66,0.28,FEM
SRYA260623,112.98,0.8,MAL
SRYA260623,113.82,1.5,FEM
SRYA260623,116.48,0.96,FEM
SRYA260623,118.58,0.46,FEM
SRYA260623,123.4,0.32,KCHI
SRYA260623,127.7,2.12,FEM
SRYA260623,132.7,0.16,MAL
SRYA260623,132.9,2.0,KCHI
SRYA260623,136.66,0.34,KCHI
SRYA260623,137.4,0.52,MAL
SRYA260623,137.92,1.88,KCHI
SRYA260623,139.96,0.14,MAL
SRYA260623,144.8,0.6,OCH
SRYA260623,147.26,0.16,KCHI
SRYA260623,158.36,0.84,KCHI
SRYA260623,159.84,1.62,FEM
SRYA260623,160.68,2.14,KCHI
SRYA260623,163.28,1.2,KCHI
SRYA260623,164.64,1.02,FEM
