uid,start_time_s,duration_s,label
SWVA201124,0.0,1.82,FEM
SWVA201124,3.6,0.4,FEM
SWVA201124,6.1,2.52,FEM
SWVA201124,7.52,0.18,OCH
SWVA201124,8.36,0.18,MAL
SWVA201124,8.72,2.24,FEM
SWVA201124,10.28,1.66,MAL
SWVA201124,11.16,0.28,FEM
SWVA201124,11.94,1.0,FEM
SWVA201124,14.64,0.56,MAL
SWVA201124,15.78,4.94,FEM
SWVA201124,21.02,0.62,MAL
SWVA201124,21.6,0.82,FEM
SWVA201124,22.68,0.46,FEM
SWVA201124,22.78,1.1,MAL
SWVA201124,23.94,0.78,FEM
SWVA201124,24.84,2.12,FEM
SWVA201124,25.2,0.52,OCH
SWVA201124,26.0,0.32,OCH
SWVA201124,27.24,0.62,MAL
SWVA201124,28.2,1.14,FEM
SWVA201124,30.06,0.32,FEM
SWVA201124,30.36,0.16,MAL
SWVA201124,30.62,3.92,FEM
SWVA201124,31.04,1.74,OCH
SWVA201124,31.12,0.22,MAL
SWVA201124,34.48,0.36,OCH
SWVA201124,35.0,0.44,FEM
SWVA201124,37.06,0.66,FEM
SWVA201124,38.22,0.54,MAL
SWVA201124,39.18,0.26,MAL
SWVA201124,39.46,1.14,FEM
SWVA201124,39.84,1.5,OCH
SWVA201124,41.64,0.78,OCH
SWVA201124,41.66,0.7,FEM
SWVA201124,45.14,0.24,FEM
SWVA201124,63.68,0.68,FEM
SWVA201124,69.76,0.94,FEM
SWVA201124,70.92,1.38,FEM
SWVA201124,74.0,0.4,FEM
SWVA201124,79.6,0.8,FEM
SWVA201124,85.78,0.46,KCHI
SWVA201124,87.56,0.86,FEM
SWVA201124,90.26,0.56,FEM
SWVA201124,91.68,0.96,FEM
SWVA201124,92.72,0.58,MAL
SWVA201124,93.7,1.36,MAL
SWVA201124,96.54,0.36,FEM
SWVA201124,97.52,0.62,FEM
SWVA201124,98.5,1.0,MAL
SWVA201124,103.52,1.66,MAL
SWVA201124,107.72,0.62,MAL
SWVA201124,108.3,0.96,OCH
SWVA201124,108.52,0.24,FEM
SWVA201124,109.66,0.54,FEM
SWVA201124,123.38,1.3,OCH
SWVA201124,124.78,0.14,OCH
SWVA201124,134.06,0.26,OCH
SWVA201124,135.62,1.1,FEM
SWVA201124,138.04,0.8,OCH
SWVA201124,139.96,1.86,FEM
SWVA201124,144.28,2.52,FEM
SWVA201124,147.06,4.72,FEM
SWVA201124,158.62,0.48,FEM
SWVA201124,160.88,0.64,KCHI
SWVA201124,161.88,1.76,FEM
SWVA201124,164.14,1.32,FEM
SWVA201124,165.6,2.36,FEM
SWVA201124,168.38,2.26,FEM
SWVA201124,173.38,4.84,FEM
SWVA201124,179.36,1.48,FEM
SWVA201124,181.52,1.94,FEM
SWVA201124,183.84,1.44,FEM
SWVA201124,188.06,0.52,KCHI
SWVA201124,189.0,1.28,OCH
SWVA201124,191.04,1.34,FEM
SWVA201124,192.68,0.96,FEM
SWVA201124,197.12,1.34,FEM
SWVA201124,200.2,2.4,FEM
SWVA201124,202.98,0.6,FEM
SWVA201124,203.84,1.44,FEM
SWVA201124,205.96,2.38,FEM
SWVA201124,208.9,0.94,FEM
SWVA201124,210.24,0.62,FEM
SWVA201124,211.64,0.9,FEM
SWVA201124,218.0,0.32,KCHI
SWVA201124,218.74,1.14,KCHI
SWVA201124,219.86,1.52,FEM
SWVA201124,222.4,3.18,FEM
SWVA201124,225.38,2.18,KCHI
SWVA201124,225.9,2.44,FEM
SWVA201124,228.58,0.72,FEM
SWVA201124,229.48,0.26,MAL
SWVA201124,230.14,9.64,FEM
SWVA201124,231.78,1.36,KCHI
SWVA201124,233.72,2.18,KCHI
SWVA201124,240.0,2.78,FEM
SWVA201124,241.72,1.5,KCHI
SWVA201124,243.74,8.08,FEM
SWVA201124,245.26,1.44,KCHI
SWVA201124,247.34,1.24,KCHI
SWVA201124,249.18,0.98,KCHI
SWVA201124,252.1,1.64,KCHI
SWVA201124,254.18,0.96,KCHI
SWVA201124,255.4,0.64,FEM
SWVA201124,256.0,1.24,MAL
SWVA201124,257.84,0.3,KCHI
SWVA201124,257.98,0.62,FEM
SWVA201124,258.94,0.46,MAL
SWVA201124,259.3,0.76,FEM
SWVA201124,259.84,1.16,KCHI
SWVA201124,262.18,0.2,KCHI
SWVA201124,262.68,0.7,KCHI
SWVA201124,263.62,1.36,KCHI
SWVA201124,264.1,2.02,FEM
SWVA201124,265.48,1.06,KCHI
SWVA201124,266.66,1.44,KCHI
SWVA201124,268.08,0.26,FEM
SWVA201124,268.1,2.54,OCH
SWVA201124,269.72,0.26,FEM
SWVA201124,270.34,1.28,FEM
SWVA201124,271.9,2.5,FEM
SWVA201124,272.16,2.26,KCHI
SWVA201124,274.76,1.48,FEM
SWVA201124,276.16,1.62,KCHI
SWVA201124,279.84,0.68,FEM
SWVA201124,282.08,0.5,MAL
SWVA201124,282.58,0.58,FEM
SWVA201124,284.9,2.22,FEM
SWVA201124,287.76,2.32,FEM
SWVA201124,289.82,0.92,KCHI
SWVA201124,290.72,0.42,FEM
SWVA201124,291.18,1.92,MAL
SWVA201124,293.58,0.52,FEM
SWVA201124,301.2,1.28,FEM
SWVA201124,304.46,0.74,MAL
SWVA201124,305.08,0.48,FEM
SWVA201124,305.82,4.62,FEM
SWVA201124,313.4,0.84,MAL
SWVA201124,314.92,2.62,KCHI
SWVA201124,319.22,1.62,FEM
SWVA201124,320.44,1.26,KCHI
SWVA201124,321.8,1.06,FEM
SWVA201124,322.38,1.9,OCH
SWVA201124,324.22,0.7,FEM
SWVA201124,326.18,0.18,FEM
SWVA201124,326.36,0.28,MAL
SWVA201124,327.98,0.54,MAL
SWVA201124,330.38,1.42,MAL
SWVA201124,334.32,0.52,FEM
SWVA201124,335.82,0.62,FEM
SWVA201124,336.8,0.58,FEM
SWVA201124,337.5,0.22,FEM
SWVA201124,338.94,0.84,MAL
SWVA201124,342.28,2.8,FEM
SWVA201124,349.26,0.38,MAL
SWVA201124,351.04,1.7,FEM
SWVA201124,362.58,0.64,KCHI
SWVA201124,365.5,0.24,FEM
SWVA201124,383.56,0.82,FEM
SWVA201124,384.36,0.7,KCHI
SWVA201124,385.76,0.3,KCHI
SWVA201124,387.02,0.4,KCHI
SWVA201124,387.88,0.88,KCHI
SWVA201124,388.74,1.3,FEM
SWVA201124,390.74,0.12,FEM
SWVA201124,392.02,0.8,FEM
SWVA201124,393.28,0.74,FEM
SWVA201124,394.6,0.58,FEM
SWVA201124,395.46,1.0,FEM
SWVA201124,398.0,3.36,FEM
SWVA201124,401.98,1.46,FEM
SWVA201124,403.96,2.3,OCH
SWVA201124,413.4,0.52,KCHI
SWVA201124,413.92,0.86,FEM
SWVA201124,417.12,0.78,FEM
SWVA201124,417.9,0.44,MAL
SWVA201124,424.36,0.14,FEM
SWVA201124,429.6,0.24,KCHI
SWVA201124,433.82,0.2,OCH
SWVA201124,434.2,0.34,OCH
SWVA201124,442.44,0.96,FEM
SWVA201124,443.56,0.76,KCHI
SWVA201124,444.36,0.26,FEM
SWVA201124,444.72,0.86,KCHI
SWVA201124,445.64,0.12,FEM
SWVA201124,445.76,0.2,KCHI
SWVA201124,446.08,0.6,FEM
SWVA201124,446.82,0.54,KCHI
SWVA201124,447.3,0.32,FEM
SWVA201124,447.5,0.58,KCHI
SWVA201124,449.04,0.92,KCHI
SWVA201124,450.04,1.3,FEM
SWVA201124,451.28,1.26,KCHI
SWVA201124,452.68,0.8,OCH
