uid,start_time_s,duration_s,label
TAKU170524,0.68,2.06,FEM
TAKU170524,3.5,4.32,FEM
TAKU170524,7.96,0.26,FEM
TAKU170524,8.36,0.28,KCHI
TAKU170524,9.36,7.4,FEM
TAKU170524,16.98,0.3,FEM
TAKU170524,20.88,1.18,MAL
TAKU170524,29.76,1.34,FEM
TAKU170524,30.32,0.44,MAL
TAKU170524,31.22,0.1,MAL
TAKU170524,31.26,0.14,FEM
TAKU170524,31.88,0.68,OCH
TAKU170524,33.96,0.26,FEM
TAKU170524,35.5,3.76,FEM
TAKU170524,39.8,5.34,FEM
TAKU170524,46.46,1.16,FEM
TAKU170524,48.82,1.52,FEM
TAKU170524,50.92,4.1,FEM
TAKU170524,54.82,0.9,MAL
TAKU170524,57.04,0.56,MAL
TAKU170524,57.58,2.12,FEM
TAKU170524,60.06,0.86,MAL
TAKU170524,61.18,2.9,FEM
TAKU170524,63.7,1.38,MAL
TAKU170524,64.26,1.62,FEM
TAKU170524,65.86,0.9,MAL
TAKU170524,66.98,0.28,MAL
TAKU170524,67.0,0.52,FEM
TAKU170524,68.1,3.54,FEM
TAKU170524,69.52,1.2,MAL
TAKU170524,73.32,1.46,FEM
TAKU170524,75.24,0.38,FEM
TAKU170524,75.62,0.72,MAL
TAKU170524,75.96,0.74,FEM
TAKU170524,76.88,0.96,MAL
TAKU170524,77.7,3.72,FEM
TAKU170524,78.0,0.12,MAL
TAKU170524,82.64,0.34,FEM
TAKU170524,83.9,2.74,FEM
TAKU170524,86.98,1.96,FEM
TAKU170524,89.04,0.4,FEM
TAKU170524,91.24,0.3,FEM
TAKU170524,91.54,0.52,MAL
TAKU170524,92.02,2.96,FEM
TAKU170524,94.98,1.04,MAL
TAKU170524,96.06,1.02,FEM
TAKU170524,98.42,0.2,FEM
TAKU170524,101.04,0.9,KCHI
TAKU170524,101.84,4.26,FEM
TAKU170524,102.5,0.98,KCHI
TAKU170524,105.78,0.98,KCHI
TAKU170524,107.46,1.1,KCHI
TAKU170524,108.44,3.0,FEM
TAKU170524,110.24,1.06,KCHI
TAKU170524,111.44,0.14,MAL
TAKU170524,111.7,0.86,FEM
TAKU170524,113.54,2.42,MAL
TAKU170524,113.9,1.52,FEM
TAKU170524,115.74,0.12,FEM
TAKU170524,116.16,3.4,FEM
TAKU170524,117.16,0.34,MAL
TAKU170524,117.76,0.16,MAL
TAKU170524,118.46,0.2,MAL
TAKU170524,119.78,1.3,FEM
TAKU170524,121.52,1.24,FEM
TAKU170524,121.58,0.22,MAL
TAKU170524,123.38,2.14,FEM
TAKU170524,125.5,0.54,MAL
TAKU170524,125.96,0.2,FEM
TAKU170524,126.16,0.36,MAL
TAKU170524,127.1,1.56,KCHI
TAKU170524,128.68,0.24,MAL
TAKU170524,129.3,1.48,FEM
TAKU170524,129.8,1.54,KCHI
TAKU170524,132.08,2.4,KCHI
TAKU170524,134.64,0.46,MAL
TAKU170524,135.1,1.68,KCHI
TAKU170524,137.26,1.14,KCHI
TAKU170524,138.78,1.62,KCHI
TAKU170524,140.38,1.42,FEM
TAKU170524,141.52,1.3,KCHI
TAKU170524,142.72,1.66,FEM
TAKU170524,143.64,0.76,KCHI
TAKU170524,144.38,0.24,OCH
TAKU170524,144.52,0.48,KCHI
TAKU170524,144.64,1.56,FEM
TAKU170524,144.8,0.12,OCH
TAKU170524,146.44,2.16,FEM
TAKU170524,147.72,0.36,MAL
TAKU170524,148.56,1.22,KCHI
TAKU170524,149.82,0.9,MAL
TAKU170524,151.0,0.12,MAL
TAKU170524,151.42,0.86,FEM
TAKU170524,154.5,0.3,MAL
TAKU170524,154.82,0.4,KCHI
TAKU170524,155.22,0.82,FEM
TAKU170524,156.16,0.6,FEM
TAKU170524,157.06,1.38,OCH
TAKU170524,157.94,1.1,FEM
TAKU170524,159.2,1.78,OCH
TAKU170524,160.32,0.22,FEM
TAKU170524,161.18,2.0,FEM
TAKU170524,163.6,0.22,MAL
TAKU170524,164.18,0.7,MAL
TAKU170524,165.06,6.08,FEM
TAKU170524,174.64,0.32,FEM
TAKU170524,175.12,0.56,MAL
TAKU170524,176.12,0.14,MAL
TAKU170524,176.16,0.3,FEM
TAKU170524,176.46,1.04,MAL
TAKU170524,178.4,2.74,FEM
TAKU170524,179.46,0.16,KCHI
TAKU170524,181.14,1.86,MAL
TAKU170524,185.02,0.52,FEM
TAKU170524,187.06,2.5,FEM
TAKU170524,189.78,1.26,FEM
TAKU170524,195.02,1.76,FEM
TAKU170524,197.46,0.7,FEM
TAKU170524,198.3,3.1,FEM
TAKU170524,201.94,0.16,FEM
TAKU170524,202.54,3.3,FEM
TAKU170524,205.56,0.6,MAL
TAKU170524,206.0,0.22,FEM
TAKU170524,206.6,0.76,FEM
TAKU170524,208.2,2.74,FEM
TAKU170524,210.94,0.58,OCH
TAKU170524,211.3,1.46,FEM
TAKU170524,212.36,0.32,KCHI
TAKU170524,212.92,1.62,FEM
TAKU170524,214.92,3.46,FEM
TAKU170524,226.86,0.52,FEM
TAKU170524,226.9,0.2,KCHI
TAKU170524,227.22,0.16,KCHI
TAKU170524,227.5,0.56,KCHI
TAKU170524,228.28,0.4,FEM
TAKU170524,241.62,0.54,FEM
TAKU170524,242.38,1.4,FEM
TAKU170524,245.94,1.22,FEM
TAKU170524,250.74,1.0,FEM
TAKU170524,252.04,0.58,FEM
TAKU170524,254.22,3.06,FEM
TAKU170524,256.92,0.3,MAL
TAKU170524,257.46,2.8,FEM
TAKU170524,260.36,2.06,MAL
TAKU170524,263.0,0.32,FEM
TAKU170524,263.54,2.48,MAL
TAKU170524,266.1,0.56,FEM
TAKU170524,268.42,0.14,OCH
TAKU170524,268.92,0.58,OCH
TAKU170524,270.64,2.12,FEM
TAKU170524,272.5,0.5,MAL
TAKU170524,273.38,1.24,MAL
TAKU170524,274.62,0.36,FEM
TAKU170524,276.76,0.1,MAL
TAKU170524,277.06,0.94,MAL
TAKU170524,291.82,0.52,FEM
TAKU170524,296.72,0.36,FEM
TAKU170524,298.66,1.3,FEM
TAKU170524,299.9,2.12,KCHI
TAKU170524,301.2,0.86,FEM
TAKU170524,302.48,1.44,FEM
TAKU170524,302.72,1.38,OCH
TAKU170524,303.92,2.72,KCHI
TAKU170524,305.88,0.58,FEM
TAKU170524,306.76,3.72,FEM
TAKU170524,310.06,0.12,OCH
TAKU170524,310.3,1.36,OCH
TAKU170524,310.78,5.36,FEM
TAKU170524,312.3,0.36,OCH
TAKU170524,313.58,4.26,OCH
TAKU170524,316.9,0.96,FEM
TAKU170524,318.06,0.98,FEM
TAKU170524,319.24,3.46,FEM
TAKU170524,322.86,1.3,FEM
TAKU170524,325.18,0.7,FEM
TAKU170524,325.52,0.26,OCH
TAKU170524,326.08,3.1,FEM
TAKU170524,326.24,1.94,OCH
TAKU170524,329.66,0.18,FEM
TAKU170524,330.34,1.36,OCH
TAKU170524,330.9,0.42,FEM
TAKU170524,332.18,0.52,OCH
TAKU170524,333.04,0.22,OCH
TAKU170524,334.34,0.92,FEM
TAKU170524,335.54,2.02,FEM
TAKU170524,335.88,1.6,KCHI
TAKU170524,338.3,3.98,FEM
TAKU170524,346.26,3.46,FEM
TAKU170524,348.7,1.54,KCHI
TAKU170524,349.86,0.14,FEM
TAKU170524,354.22,1.56,FEM
TAKU170524,358.46,3.18,MAL
TAKU170524,362.46,3.7,FEM
TAKU170524,367.44,1.72,FEM
TAKU170524,369.7,8.94,FEM
TAKU170524,379.86,5.26,FEM
TAKU170524,384.78,0.24,MAL
TAKU170524,385.86,0.32,FEM
TAKU170524,388.84,1.88,FEM
TAKU170524,391.36,2.1,FEM
TAKU170524,394.42,1.38,FEM
TAKU170524,395.54,2.18,OCH
TAKU170524,398.16,0.62,FEM
TAKU170524,402.58,0.88,MAL
TAKU170524,404.12,2.42,FEM
TAKU170524,404.9,1.06,MAL
TAKU170524,406.96,0.42,FEM
TAKU170524,407.42,0.64,MAL
TAKU170524,408.62,1.32,FEM
TAKU170524,409.94,0.4,OCH
TAKU170524,411.8,0.9,OCH
