uid,start_time_s,duration_s,label
TESI180124,0.08,0.3,OCH
TESI180124,0.52,0.62,OCH
TESI180124,1.14,0.1,FEM
TESI180124,1.4,1.5,FEM
TESI180124,2.12,1.78,MAL
TESI180124,3.98,0.48,FEM
TESI180124,4.7,1.22,OCH
TESI180124,5.38,5.56,FEM
TESI180124,7.24,0.8,OCH
TESI180124,7.96,0.3,KCHI
TESI180124,8.38,0.64,KCHI
TESI180124,8.46,0.44,OCH
TESI180124,9.32,0.6,OCH
TESI180124,9.9,1.56,KCHI
TESI180124,10.22,0.22,OCH
TESI180124,10.58,0.48,OCH
TESI180124,11.18,0.12,OCH
TESI180124,11.64,0.3,OCH
TESI180124,11.94,0.7,FEM
TESI180124,13.02,0.94,KCHI
TESI180124,13.94,0.76,FEM
TESI180124,15.0,0.74,OCH
TESI180124,15.92,0.5,OCH
TESI180124,16.28,1.48,FEM
TESI180124,17.76,0.88,OCH
TESI180124,18.76,4.1,FEM
TESI180124,23.02,3.4,FEM
TESI180124,27.22,1.18,FEM
TESI180124,29.28,0.8,FEM
TESI180124,32.7,3.12,FEM
TESI180124,35.7,0.12,OCH
TESI180124,36.34,0.8,FEM
TESI180124,37.24,1.54,FEM
TESI180124,41.72,2.32,FEM
TESI180124,44.2,4.42,FEM
TESI180124,48.56,0.46,MAL
TESI180124,49.0,2.74,FEM
TESI180124,52.54,5.24,FEM
TESI180124,53.34,0.98,MAL
TESI180124,57.96,2.36,FEM
TESI180124,60.7,2.68,FEM
TESI180124,63.58,0.84,KCHI
TESI180124,63.68,2.48,FEM
TESI180124,64.78,0.2,KCHI
TESI180124,68.36,3.54,FEM
TESI180124,71.9,0.9,KCHI
TESI180124,74.92,0.3,FEM
TESI180124,75.76,0.5,MAL
TESI180124,76.76,1.3,MAL
TESI180124,78.26,0.42,KCHI
TESI180124,78.94,0.24,KCHI
TESI180124,79.68,0.74,KCHI
TESI180124,80.4,0.2,FEM
TESI180124,80.78,0.94,MAL
TESI180124,81.3,1.04,FEM
TESI180124,82.5,1.38,FEM
TESI180124,83.74,0.62,MAL
TESI180124,85.7,0.68,MAL
TESI180124,86.72,0.84,FEM
TESI180124,87.56,1.46,MAL
TESI180124,88.52,0.94,FEM
TESI180124,89.46,1.54,KCHI
TESI180124,90.22,3.14,FEM
TESI180124,93.66,0.22,MAL
TESI180124,94.06,0.84,MAL
TESI180124,95.18,5.22,FEM
TESI180124,100.28,0.8,MAL
TESI180124,101.08,0.34,FEM
TESI180124,101.34,0.28,MAL
TESI180124,101.62,0.74,FEM
TESI180124,102.08,0.98,MAL
TESI180124,102.62,3.88,FEM
TESI180124,108.06,1.04,MAL
TESI180124,109.0,0.48,FEM
TESI180124,109.44,1.5,MAL
TESI180124,111.04,5.68,FEM
TESI180124,112.86,0.38,KCHI
TESI180124,113.58,0.18,KCHI
TESI180124,114.56,0.82,KCHI
TESI180124,116.22,0.46,KCHI
TESI180124,117.14,0.6,KCHI
TESI180124,117.9,1.0,MAL
TESI180124,118.92,2.42,FEM
TESI180124,121.2,0.14,KCHI
TESI180124,121.46,1.92,MAL
TESI180124,126.58,2.76,FEM
TESI180124,131.1,1.02,FEM
TESI180124,133.4,0.18,FEM
TESI180124,134.18,0.36,FEM
TESI180124,134.38,0.94,MAL
TESI180124,136.5,0.64,OCH
TESI180124,138.64,1.54,FEM
TESI180124,139.86,1.22,MAL
TESI180124,140.38,2.36,FEM
TESI180124,141.5,1.46,MAL
TESI180124,143.52,1.48,FEM
TESI180124,145.36,1.42,FEM
TESI180124,146.2,0.6,KCHI
TESI180124,148.24,0.12,MAL
TESI180124,148.74,2.74,FEM
TESI180124,151.88,0.54,MAL
TESI180124,152.22,2.84,FEM
TESI180124,154.2,0.24,MAL
TESI180124,155.22,3.98,FEM
TESI180124,159.2,0.36,MAL
TESI180124,160.16,1.66,FEM
TESI180124,160.6,0.38,MAL
TESI180124,162.48,6.18,FEM
TESI180124,163.44,0.42,MAL
TESI180124,165.66,0.94,MAL
TESI180124,168.76,1.18,MAL
TESI180124,169.98,0.86,FEM
TESI180124,171.14,1.18,FEM
TESI180124,173.72,1.94,FEM
TESI180124,175.98,0.88,MAL
TESI180124,176.8,0.22,FEM
TESI180124,177.0,1.2,MAL
TESI180124,178.22,1.36,FEM
TESI180124,180.4,0.32,KCHI
TESI180124,181.16,1.36,KCHI
TESI180124,182.8,1.66,KCHI
TESI180124,185.22,1.2,FEM
TESI180124,188.42,0.88,FEM
TESI180124,190.5,1.02,FEM
TESI180124,194.3,0.54,KCHI
TESI180124,194.86,1.32,FEM
TESI180124,196.8,0.7,MAL
TESI180124,197.88,0.5,FEM
TESI180124,199.08,0.4,FEM
TESI180124,199.8,0.48,FEM
TESI180124,200.46,0.32,FEM
TESI180124,201.44,1.26,FEM
TESI180124,203.08,0.56,FEM
TESI180124,204.5,0.64,KCHI
TESI180124,205.24,0.2,FEM
TESI180124,205.44,0.68,MAL
TESI180124,206.12,0.68,KCHI
TESI180124,207.06,0.72,KCHI
TESI180124,207.4,1.42,FEM
TESI180124,209.04,1.9,FEM
TESI180124,210.1,2.42,MAL
TESI180124,211.72,0.46,FEM
TESI180124,212.48,2.54,FEM
TESI180124,217.46,4.88,FEM
TESI180124,218.9,3.48,MAL
TESI180124,222.68,0.14,MAL
TESI180124,222.82,0.72,FEM
TESI180124,223.24,2.54,MAL
TESI180124,223.74,3.22,FEM
TESI180124,226.3,1.9,MAL
TESI180124,227.34,2.62,FEM
TESI180124,228.52,2.32,MAL
TESI180124,230.24,1.38,FEM
TESI180124,235.02,2.94,FEM
TESI180124,235.26,1.48,MAL
TESI180124,238.54,2.54,FEM
TESI180124,240.46,2.76,MAL
TESI180124,243.02,2.0,FEM
TESI180124,245.8,0.54,MAL
TESI180124,246.4,0.9,FEM
TESI180124,247.52,2.56,FEM
TESI180124,250.74,2.4,FEM
TESI180124,253.46,1.4,FEM
TESI180124,256.04,0.84,FEM
TESI180124,257.56,1.1,FEM
TESI180124,259.36,0.86,MAL
TESI180124,261.94,0.74,FEM
TESI180124,263.4,1.0,FEM
TESI180124,264.36,0.76,MAL
TESI180124,264.9,0.88,FEM
TESI180124,265.8,0.48,MAL
TESI180124,266.14,1.98,FEM
TESI180124,268.4,1.22,FEM
TESI180124,269.76,1.38,MAL
TESI180124,271.26,1.02,MAL
TESI180124,272.0,1.06,FEM
TESI180124,272.88,1.74,MAL
TESI180124,275.44,1.06,FEM
TESI180124,275.58,1.14,MAL
TESI180124,276.82,2.9,FEM
TESI180124,277.1,0.64,MAL
TESI180124,280.36,5.4,FEM
TESI180124,285.96,2.98,FEM
TESI180124,289.18,1.98,FEM
TESI180124,291.6,3.48,FEM
TESI180124,295.48,0.14,MAL
TESI180124,295.64,0.84,FEM
TESI180124,296.46,0.7,MAL
TESI180124,297.18,0.38,FEM
TESI180124,298.0,1.28,FEM
TESI180124,298.2,0.3,MAL
TESI180124,299.42,0.6,FEM
TESI180124,300.7,0.1,FEM
TESI180124,301.24,0.38,FEM
TESI180124,302.02,2.12,FEM
TESI180124,302.84,0.22,MAL
TESI180124,303.16,0.12,MAL
TESI180124,304.52,2.66,FEM
TESI180124,308.58,1.18,FEM
TESI180124,310.44,1.3,MAL
TESI180124,311.82,1.3,FEM
TESI180124,313.64,0.78,FEM
TESI180124,314.42,0.58,OCH
TESI180124,315.04,0.94,FEM
TESI180124,316.62,2.72,FEM
TESI180124,319.88,0.18,FEM
TESI180124,320.78,8.44,FEM
TESI180124,329.64,0.64,FEM
TESI180124,330.88,1.26,FEM
TESI180124,332.14,0.9,KCHI
TESI180124,333.04,1.9,FEM
TESI180124,335.06,1.76,FEM
TESI180124,337.06,8.1,FEM
TESI180124,340.12,0.34,KCHI
TESI180124,345.78,3.04,FEM
TESI180124,348.46,0.7,MAL
TESI180124,351.26,1.22,MAL
TESI180124,353.04,1.18,FEM
TESI180124,354.74,0.46,FEM
TESI180124,355.22,2.02,MAL
TESI180124,358.28,0.22,FEM
TESI180124,358.96,1.16,MAL
TESI180124,361.1,0.84,FEM
TESI180124,362.24,0.46,MAL
TESI180124,362.7,3.46,FEM
TESI180124,366.6,0.66,MAL
TESI180124,367.22,0.9,FEM
TESI180124,367.78,0.96,MAL
TESI180124,368.86,1.28,FEM
TESI180124,370.38,0.3,MAL
TESI180124,371.22,0.36,MAL
TESI180124,371.48,0.52,OCH
TESI180124,372.0,0.34,MAL
TESI180124,372.46,1.38,FEM
TESI180124,374.12,2.14,FEM
TESI180124,376.52,1.58,FEM
TESI180124,378.14,0.62,OCH
TESI180124,378.24,1.24,FEM
TESI180124,379.9,0.42,FEM
TESI180124,380.52,6.98,FEM
TESI180124,388.16,0.62,FEM
TESI180124,388.78,0.68,MAL
TESI180124,388.88,0.34,FEM
TESI180124,389.32,0.78,FEM
TESI180124,390.26,3.14,FEM
TESI180124,393.34,0.34,OCH
TESI180124,394.2,5.18,FEM
TESI180124,401.12,1.86,FEM
TESI180124,403.06,0.6,MAL
TESI180124,403.78,0.74,FEM
TESI180124,405.72,0.52,FEM
TESI180124,406.52,0.68,FEM
TESI180124,407.56,0.18,MAL
TESI180124,410.4,0.82,MAL
TESI180124,411.56,0.8,FEM
TESI180124,412.6,0.56,MAL
TESI180124,413.08,0.64,FEM
TESI180124,413.92,0.82,MAL
TESI180124,414.74,1.26,FEM
TESI180124,419.28,3.02,FEM
TESI180124,423.06,0.92,FEM
TESI180124,425.04,0.14,MAL
TESI180124,426.38,2.2,FEM
TESI180124,427.42,0.36,MAL
