uid,start_time_s,duration_s,label
TRGA241023,0.12,1.08,FEM
TRGA241023,2.72,0.52,FEM
TRGA241023,3.42,0.5,FEM
TRGA241023,6.16,0.62,FEM
TRGA241023,7.36,0.2,KCHI
TRGA241023,7.96,0.22,FEM
TRGA241023,8.44,0.84,MAL
TRGA241023,9.04,0.38,FEM
TRGA241023,9.76,0.24,FEM
TRGA241023,10.2,0.2,KCHI
TRGA241023,10.94,0.74,MAL
TRGA241023,13.76,0.74,FEM
TRGA241023,15.92,0.32,FEM
TRGA241023,16.96,0.68,FEM
TRGA241023,17.6,0.82,MAL
TRGA241023,18.5,0.64,FEM
TRGA241023,19.32,0.34,KCHI
TRGA241023,22.42,0.36,FEM
TRGA241023,22.8,0.42,MAL
TRGA241023,23.26,0.62,FEM
TRGA241023,23.88,0.12,OCH
TRGA241023,24.58,0.72,MAL
TRGA241023,25.74,0.46,FEM
TRGA241023,27.5,1.42,FEM
TRGA241023,29.68,1.42,FEM
TRGA241023,34.28,1.54,MAL
TRGA241023,34.36,1.28,FEM
TRGA241023,35.98,0.22,FEM
TRGA241023,39.84,0.56,MAL
TRGA241023,41.28,1.1,MAL
TRGA241023,42.72,0.38,FEM
TRGA241023,43.2,4.32,FEM
TRGA241023,43.78,0.8,MAL
TRGA241023,45.3,2.2,MAL
TRGA241023,47.68,2.72,FEM
TRGA241023,47.76,2.62,OCH
TRGA241023,50.3,0.64,MAL
TRGA241023,50.6,7.4,FEM
TRGA241023,56.64,0.54,MAL
TRGA241023,57.28,0.18,MAL
TRGA241023,57.96,0.66,MAL
TRGA241023,58.72,0.12,MAL
TRGA241023,59.7,0.1,MAL
TRGA241023,59.72,1.04,FEM
TRGA241023,60.76,1.36,MAL
TRGA241023,63.44,0.48,FEM
TRGA241023,63.92,0.4,KCHI
TRGA241023,64.16,2.96,FEM
TRGA241023,67.66,5.16,FEM
TRGA241023,72.74,0.68,OCH
TRGA241023,73.12,2.5,FEM
TRGA241023,76.58,0.88,KCHI
TRGA241023,77.6,1.12,MAL
TRGA241023,79.0,0.14,KCHI
TRGA241023,79.14,0.46,FEM
TRGA241023,80.5,0.46,FEM
TRGA241023,80.88,1.82,MAL
TRGA241023,82.52,5.04,FEM
TRGA241023,88.84,1.36,FEM
TRGA241023,90.64,1.3,FEM
TRGA241023,91.54,0.7,KCHI
TRGA241023,92.08,2.58,FEM
TRGA241023,95.02,2.16,FEM
TRGA241023,95.3,0.22,KCHI
TRGA241023,97.22,1.04,KCHI
TRGA241023,98.98,1.22,FEM
TRGA241023,103.2,0.72,FEM
TRGA241023,103.88,1.2,OCH
TRGA241023,105.02,1.94,FEM
TRGA241023,105.58,0.5,KCHI
TRGA241023,107.02,1.28,KCHI
TRGA241023,107.04,0.42,OCH
TRGA241023,107.84,0.16,OCH
TRGA241023,108.12,0.18,OCH
TRGA241023,108.28,3.16,FEM
TRGA241023,111.26,1.36,KCHI
TRGA241023,112.66,1.16,MAL
TRGA241023,113.72,0.68,KCHI
TRGA241023,114.08,1.06,MAL
TRGA241023,115.3,0.12,OCH
TRGA241023,115.42,0.58,FEM
TRGA241023,116.3,0.38,MAL
TRGA241023,116.68,0.22,FEM
TRGA241023,117.1,2.12,MAL
TRGA241023,119.4,0.34,MAL
TRGA241023,119.46,2.98,FEM
TRGA241023,120.54,0.22,MAL
TRGA241023,123.48,0.38,OCH
TRGA241023,123.7,1.6,MAL
TRGA241023,124.46,2.12,OCH
TRGA241023,126.72,0.48,FEM
