uid,start_time_s,duration_s,label
VAGA260623,0.0,0.42,KCHI
VAGA260623,1.48,3.58,KCHI
VAGA260623,6.66,2.22,FEM
VAGA260623,9.04,2.74,FEM
VAGA260623,10.84,0.28,KCHI
VAGA260623,12.28,2.54,KCHI
VAGA260623,14.76,4.54,FEM
VAGA260623,19.34,0.56,MAL
VAGA260623,19.9,0.32,FEM
VAGA260623,21.24,0.88,FEM
VAGA260623,22.32,1.68,FEM
VAGA260623,24.22,0.44,MAL
VAGA260623,24.82,3.34,FEM
VAGA260623,28.28,7.14,FEM
VAGA260623,35.82,0.62,KCHI
VAGA260623,38.22,1.58,FEM
VAGA260623,39.74,1.88,KCHI
VAGA260623,41.86,0.22,MAL
VAGA260623,42.76,0.68,KCHI
VAGA260623,43.62,0.16,MAL
VAGA260623,44.2,0.3,OCH
VAGA260623,44.64,0.26,OCH
VAGA260623,44.96,2.8,KCHI
VAGA260623,47.14,3.2,FEM
VAGA260623,50.72,1.26,FEM
VAGA260623,52.94,2.78,FEM
VAGA260623,57.32,0.4,KCHI
VAGA260623,59.0,1.4,KCHI
VAGA260623,59.7,3.72,FEM
VAGA260623,61.66,0.98,OCH
VAGA260623,63.98,0.92,OCH
VAGA260623,65.0,1.7,FEM
VAGA260623,66.94,1.62,FEM
VAGA260623,68.9,0.36,OCH
VAGA260623,69.06,2.36,FEM
VAGA260623,74.9,0.7,FEM
VAGA260623,79.6,0.82,OCH
VAGA260623,80.46,0.84,FEM
VAGA260623,81.94,5.6,FEM
VAGA260623,88.54,0.84,KCHI
VAGA260623,88.56,0.76,FEM
VAGA260623,89.46,4.18,FEM
VAGA260623,94.86,2.48,FEM
VAGA260623,98.08,0.58,FEM
VAGA260623,99.24,0.88,FEM
VAGA260623,100.42,1.96,FEM
VAGA260623,102.68,0.94,FEM
VAGA260623,104.78,1.68,FEM
VAGA260623,106.6,1.48,FEM
VAGA260623,109.04,1.26,FEM
VAGA260623,113.1,1.44,MAL
VAGA260623,115.42,3.02,OCH
VAGA260623,118.98,0.24,OCH
VAGA260623,120.1,1.78,OCH
VAGA260623,122.74,0.22,OCH
VAGA260623,123.38,0.6,FEM
VAGA260623,124.6,0.34,KCHI
VAGA260623,125.92,0.56,FEM
VAGA260623,126.98,1.42,FEM
VAGA260623,129.1,0.5,FEM
VAGA260623,131.34,0.7,OCH
VAGA260623,132.3,0.32,OCH
VAGA260623,154.26,0.32,FEM
VAGA260623,155.22,0.68,FEM
VAGA260623,160.22,0.72,OCH
VAGA260623,165.0,0.68,OCH
VAGA260623,166.08,1.08,OCH
VAGA260623,168.24,1.28,FEM
VAGA260623,173.3,1.26,FEM
VAGA260623,174.56,0.56,MAL
VAGA260623,175.12,0.48,FEM
VAGA260623,176.94,0.96,MAL
VAGA260623,177.84,0.76,FEM
VAGA260623,183.08,0.18,FEM
VAGA260623,183.82,2.58,FEM
VAGA260623,187.48,1.4,FEM
VAGA260623,189.18,1.54,FEM
VAGA260623,191.34,2.94,FEM
VAGA260623,193.04,0.16,OCH
VAGA260623,199.86,0.88,MAL
VAGA260623,202.26,0.64,FEM
VAGA260623,203.18,0.7,FEM
VAGA260623,205.42,0.68,FEM
VAGA260623,208.26,1.1,FEM
VAGA260623,209.58,1.36,FEM
VAGA260623,213.56,0.94,FEM
VAGA260623,215.36,0.84,FEM
VAGA260623,218.76,0.14,FEM
VAGA260623,219.44,1.16,FEM
VAGA260623,220.86,0.6,FEM
VAGA260623,222.18,0.62,FEM
VAGA260623,223.96,0.26,OCH
VAGA260623,224.76,1.02,OCH
VAGA260623,226.0,1.78,FEM
VAGA260623,228.46,1.32,FEM
VAGA260623,229.98,0.52,MAL
VAGA260623,230.84,1.08,FEM
VAGA260623,232.0,0.62,KCHI
VAGA260623,233.64,0.32,KCHI
VAGA260623,234.82,0.44,KCHI
VAGA260623,235.54,0.8,FEM
VAGA260623,236.32,0.68,KCHI
VAGA260623,237.38,1.42,FEM
VAGA260623,239.4,1.64,FEM
VAGA260623,240.66,0.34,KCHI
VAGA260623,241.56,0.96,MAL
VAGA260623,242.78,1.04,FEM
VAGA260623,245.72,1.88,FEM
VAGA260623,248.78,0.26,KCHI
VAGA260623,249.3,0.98,MAL
VAGA260623,249.94,0.26,FEM
VAGA260623,250.74,1.14,FEM
VAGA260623,252.78,3.42,FEM
VAGA260623,257.04,0.74,FEM
VAGA260623,257.3,1.1,MAL
VAGA260623,258.16,0.24,FEM
VAGA260623,258.56,0.82,MAL
VAGA260623,259.14,1.32,FEM
VAGA260623,260.8,0.64,MAL
VAGA260623,261.36,0.5,FEM
VAGA260623,264.1,1.12,MAL
VAGA260623,265.56,0.2,OCH
VAGA260623,265.94,0.72,FEM
VAGA260623,266.88,1.78,OCH
VAGA260623,266.96,0.44,KCHI
VAGA260623,268.46,2.18,FEM
VAGA260623,270.62,1.06,OCH
VAGA260623,271.68,1.56,FEM
VAGA260623,273.5,0.56,OCH
VAGA260623,273.68,0.94,FEM
VAGA260623,274.94,2.02,FEM
VAGA260623,277.08,0.82,KCHI
VAGA260623,278.26,0.5,MAL
VAGA260623,278.92,1.7,MAL
VAGA260623,283.12,0.4,FEM
VAGA260623,289.16,1.38,MAL
VAGA260623,291.0,0.88,FEM
VAGA260623,292.16,1.44,FEM
VAGA260623,297.8,0.7,FEM
VAGA260623,298.5,0.38,KCHI
VAGA260623,298.92,2.3,MAL
VAGA260623,302.8,1.98,MAL
VAGA260623,305.06,0.5,OCH
VAGA260623,306.6,0.96,FEM
VAGA260623,307.94,1.42,FEM
VAGA260623,310.0,0.44,KCHI
VAGA260623,310.44,2.54,OCH
VAGA260623,313.74,0.68,FEM
VAGA260623,314.86,0.88,FEM
VAGA260623,317.38,1.06,FEM
VAGA260623,321.02,0.4,OCH
VAGA260623,321.68,2.0,FEM
VAGA260623,324.06,2.68,FEM
VAGA260623,327.42,2.92,FEM
VAGA260623,334.32,1.06,OCH
VAGA260623,335.76,1.86,OCH
VAGA260623,339.72,1.14,KCHI
VAGA260623,344.04,2.34,FEM
VAGA260623,347.3,1.4,FEM
VAGA260623,348.96,1.28,KCHI
VAGA260623,350.38,1.44,FEM
VAGA260623,352.3,0.9,FEM
VAGA260623,353.5,2.38,FEM
VAGA260623,356.4,0.26,FEM
VAGA260623,356.44,1.76,MAL
VAGA260623,357.2,0.5,FEM
VAGA260623,358.2,0.26,FEM
VAGA260623,361.06,1.12,FEM
VAGA260623,362.18,1.18,MAL
VAGA260623,362.94,0.1,FEM
VAGA260623,363.54,1.54,FEM
VAGA260623,363.72,0.76,MAL
VAGA260623,365.18,0.14,OCH
VAGA260623,365.52,0.34,OCH
VAGA260623,366.16,2.06,FEM
VAGA260623,369.04,1.1,MAL
VAGA260623,370.96,1.48,FEM
VAGA260623,373.04,1.5,FEM
VAGA260623,375.04,1.06,FEM
VAGA260623,376.7,1.04,OCH
VAGA260623,378.3,2.9,FEM
VAGA260623,378.34,0.64,KCHI
VAGA260623,381.78,3.52,FEM
VAGA260623,386.92,0.58,KCHI
VAGA260623,387.84,0.78,KCHI
VAGA260623,388.46,3.56,FEM
VAGA260623,393.1,3.06,FEM
VAGA260623,395.64,0.22,KCHI
VAGA260623,396.98,1.36,FEM
VAGA260623,398.64,0.76,FEM
VAGA260623,399.6,0.48,MAL
VAGA260623,400.2,0.38,MAL
VAGA260623,401.46,0.52,MAL
VAGA260623,402.3,1.1,FEM
VAGA260623,403.68,0.28,KCHI
VAGA260623,404.12,1.12,KCHI
VAGA260623,405.28,2.72,FEM
VAGA260623,408.64,1.3,OCH
VAGA260623,409.94,2.28,FEM
VAGA260623,415.24,0.92,MAL
VAGA260623,416.72,1.04,FEM
VAGA260623,418.98,1.32,FEM
VAGA260623,421.38,0.5,FEM
VAGA260623,425.2,0.66,FEM
VAGA260623,429.92,0.3,OCH
VAGA260623,430.04,0.24,MAL
VAGA260623,431.2,0.66,KCHI
VAGA260623,431.98,0.74,OCH
VAGA260623,432.04,0.66,MAL
VAGA260623,433.82,0.38,KCHI
VAGA260623,434.26,0.66,MAL
VAGA260623,434.54,0.92,FEM
VAGA260623,435.36,0.38,MAL
VAGA260623,436.12,1.22,MAL
VAGA260623,438.42,0.3,KCHI
VAGA260623,438.74,1.86,MAL
VAGA260623,440.96,1.66,KCHI
VAGA260623,442.2,3.38,FEM
VAGA260623,446.04,1.48,FEM
VAGA260623,447.8,2.32,FEM
VAGA260623,449.62,0.1,MAL
VAGA260623,450.3,1.64,FEM
VAGA260623,453.2,0.52,KCHI
VAGA260623,454.32,3.84,FEM
VAGA260623,460.2,1.22,MAL
VAGA260623,461.76,1.72,OCH
VAGA260623,463.68,0.38,OCH
VAGA260623,464.84,0.82,MAL
VAGA260623,465.66,0.34,FEM
VAGA260623,466.0,0.56,OCH
VAGA260623,468.32,2.18,FEM
VAGA260623,473.62,0.54,OCH
VAGA260623,476.7,0.68,MAL
VAGA260623,477.6,1.04,FEM
VAGA260623,478.76,2.82,FEM
VAGA260623,482.02,5.18,FEM
VAGA260623,486.86,1.3,MAL
VAGA260623,488.1,0.88,OCH
VAGA260623,489.14,0.4,MAL
VAGA260623,489.54,0.48,FEM
VAGA260623,490.02,1.74,MAL
VAGA260623,495.3,2.04,FEM
VAGA260623,498.04,2.04,OCH
VAGA260623,500.86,0.62,OCH
VAGA260623,502.64,0.44,OCH
VAGA260623,503.16,0.78,MAL
VAGA260623,504.1,1.02,FEM
VAGA260623,505.46,0.7,FEM
VAGA260623,507.92,0.98,OCH
VAGA260623,508.2,0.8,FEM
VAGA260623,509.14,1.1,FEM
VAGA260623,510.06,1.18,OCH
VAGA260623,511.1,0.9,FEM
VAGA260623,512.4,0.62,OCH
VAGA260623,512.92,1.14,FEM
VAGA260623,514.38,1.38,FEM
VAGA260623,516.26,2.66,FEM
VAGA260623,517.7,0.16,KCHI
VAGA260623,519.28,3.38,FEM
VAGA260623,523.8,1.2,OCH
VAGA260623,528.22,1.12,MAL
VAGA260623,529.52,1.1,MAL
VAGA260623,530.62,0.32,OCH
VAGA260623,530.94,0.3,MAL
VAGA260623,532.02,0.36,MAL
VAGA260623,532.54,0.16,OCH
VAGA260623,532.66,3.18,FEM
VAGA260623,536.4,0.86,MAL
VAGA260623,537.3,1.84,FEM
VAGA260623,539.3,0.24,OCH
VAGA260623,540.52,0.32,OCH
VAGA260623,542.1,1.92,MAL
VAGA260623,544.18,0.5,MAL
VAGA260623,544.58,0.32,FEM
VAGA260623,544.78,0.46,MAL
