uid,start_time_s,duration_s,label
VESO210524,0.0,4.72,FEM
VESO210524,4.06,0.44,OCH
VESO210524,6.08,0.78,FEM
VESO210524,7.1,4.08,FEM
VESO210524,10.48,0.7,OCH
VESO210524,11.68,1.58,FEM
VESO210524,14.2,1.94,FEM
VESO210524,15.26,0.38,KCHI
VESO210524,16.64,0.62,FEM
VESO210524,19.48,7.78,FEM
VESO210524,24.78,0.32,MAL
VESO210524,25.26,0.42,MAL
VESO210524,25.86,1.76,MAL
VESO210524,27.36,2.12,FEM
VESO210524,29.54,1.1,KCHI
VESO210524,30.32,1.52,FEM
VESO210524,31.84,2.94,MAL
VESO210524,32.82,0.18,FEM
VESO210524,34.76,0.94,FEM
VESO210524,35.82,0.34,MAL
VESO210524,36.1,6.68,FEM
VESO210524,42.96,2.82,FEM
VESO210524,46.88,5.22,FEM
VESO210524,47.26,0.5,OCH
VESO210524,53.14,1.56,FEM
VESO210524,53.26,1.32,MAL
VESO210524,54.88,1.84,FEM
VESO210524,55.02,0.7,MAL
VESO210524,57.0,0.5,FEM
VESO210524,58.66,1.04,FEM
VESO210524,61.34,0.54,FEM
VESO210524,63.22,0.96,FEM
VESO210524,65.06,2.6,FEM
VESO210524,67.0,0.12,MAL
VESO210524,68.36,1.98,FEM
VESO210524,70.56,2.24,FEM
VESO210524,71.94,0.74,KCHI
VESO210524,72.9,0.86,FEM
VESO210524,74.6,3.18,FEM
VESO210524,80.12,1.86,FEM
VESO210524,82.26,1.14,FEM
VESO210524,84.1,1.46,FEM
VESO210524,84.46,0.18,KCHI
VESO210524,86.08,0.44,KCHI
VESO210524,86.48,5.06,FEM
VESO210524,90.8,0.32,KCHI
VESO210524,91.78,1.38,FEM
VESO210524,95.52,1.4,FEM
VESO210524,97.14,3.76,FEM
VESO210524,101.12,0.24,FEM
VESO210524,101.36,0.74,MAL
VESO210524,102.24,2.14,FEM
VESO210524,104.4,0.56,MAL
VESO210524,104.98,1.42,FEM
VESO210524,106.22,1.02,MAL
VESO210524,107.46,0.7,MAL
VESO210524,107.7,5.02,FEM
VESO210524,110.58,0.26,MAL
VESO210524,113.9,1.42,FEM
VESO210524,115.6,10.58,FEM
VESO210524,126.34,3.18,FEM
VESO210524,126.46,0.9,KCHI
VESO210524,130.28,0.46,FEM
VESO210524,130.44,0.9,MAL
VESO210524,131.98,7.0,FEM
