uid,start_time_s,duration_s,label
VISO240624,0.04,3.74,FEM
VISO240624,4.42,5.52,FEM
VISO240624,9.62,0.24,OCH
VISO240624,10.08,1.1,FEM
VISO240624,11.04,0.14,OCH
VISO240624,11.42,0.52,OCH
VISO240624,11.48,3.98,FEM
VISO240624,14.38,0.8,MAL
VISO240624,16.2,0.22,FEM
VISO240624,16.82,0.66,OCH
VISO240624,18.1,1.28,MAL
VISO240624,19.5,2.46,MAL
VISO240624,22.5,0.24,OCH
VISO240624,22.74,1.14,MAL
VISO240624,23.88,1.64,FEM
VISO240624,24.88,0.84,MAL
VISO240624,26.96,4.84,FEM
VISO240624,31.98,0.6,FEM
VISO240624,32.96,0.66,FEM
VISO240624,34.08,2.24,FEM
VISO240624,37.44,1.86,OCH
VISO240624,40.06,1.22,FEM
VISO240624,41.6,0.6,MAL
VISO240624,43.1,0.68,FEM
VISO240624,44.62,0.48,FEM
VISO240624,45.46,1.56,FEM
VISO240624,47.24,0.52,MAL
VISO240624,47.76,0.24,FEM
VISO240624,48.36,2.14,FEM
VISO240624,51.78,2.96,FEM
VISO240624,54.88,0.14,KCHI
VISO240624,55.06,0.4,FEM
VISO240624,55.68,8.0,FEM
VISO240624,61.54,0.52,OCH
VISO240624,62.68,1.0,KCHI
VISO240624,68.4,1.16,FEM
VISO240624,69.56,0.8,MAL
VISO240624,70.46,0.68,FEM
VISO240624,71.64,0.44,FEM
VISO240624,72.34,2.34,FEM
VISO240624,72.94,0.6,MAL
VISO240624,74.34,0.78,MAL
VISO240624,75.06,1.1,FEM
VISO240624,76.5,0.74,FEM
VISO240624,76.74,1.66,MAL
VISO240624,77.36,0.38,FEM
VISO240624,77.86,1.32,FEM
VISO240624,78.62,0.6,MAL
VISO240624,79.54,0.86,FEM
VISO240624,82.66,2.52,FEM
VISO240624,86.52,1.14,MAL
VISO240624,88.28,2.26,FEM
VISO240624,90.54,1.0,MAL
VISO240624,95.52,1.84,FEM
VISO240624,97.68,0.12,FEM
VISO240624,99.38,1.26,FEM
VISO240624,101.18,0.88,FEM
VISO240624,102.04,0.22,MAL
VISO240624,103.48,0.58,MAL
VISO240624,104.2,1.1,FEM
VISO240624,105.42,0.68,MAL
VISO240624,106.46,0.4,MAL
VISO240624,106.72,0.74,FEM
VISO240624,107.46,0.3,KCHI
VISO240624,107.78,3.66,FEM
VISO240624,111.9,1.88,FEM
VISO240624,113.48,0.74,MAL
VISO240624,114.48,0.28,KCHI
VISO240624,115.72,1.96,FEM
VISO240624,117.8,0.4,FEM
VISO240624,118.68,0.72,FEM
VISO240624,119.76,1.72,FEM
VISO240624,122.16,2.64,FEM
VISO240624,124.88,1.18,OCH
VISO240624,125.88,2.04,FEM
VISO240624,126.22,0.16,OCH
VISO240624,128.68,0.28,FEM
VISO240624,129.5,1.12,FEM
VISO240624,130.86,2.66,FEM
VISO240624,135.28,1.42,FEM
VISO240624,137.48,1.56,FEM
VISO240624,140.36,0.96,FEM
VISO240624,142.58,2.32,MAL
VISO240624,144.9,0.3,KCHI
VISO240624,145.34,1.34,MAL
VISO240624,146.04,0.78,FEM
VISO240624,148.88,1.06,FEM
VISO240624,154.5,2.34,FEM
VISO240624,158.04,1.1,FEM
VISO240624,162.02,1.16,MAL
VISO240624,164.52,0.8,MAL
VISO240624,166.8,2.78,FEM
VISO240624,170.76,1.26,FEM
VISO240624,172.84,1.46,FEM
VISO240624,175.12,0.16,KCHI
VISO240624,176.4,2.94,FEM
VISO240624,179.76,0.8,FEM
VISO240624,181.86,1.14,FEM
VISO240624,183.98,1.8,FEM
VISO240624,186.18,0.88,FEM
VISO240624,187.84,1.56,FEM
VISO240624,191.68,1.74,FEM
VISO240624,193.74,0.18,FEM
VISO240624,194.5,1.6,FEM
VISO240624,196.72,1.84,FEM
VISO240624,199.54,0.92,FEM
VISO240624,201.98,0.74,KCHI
VISO240624,202.72,1.32,FEM
VISO240624,204.94,1.44,FEM
VISO240624,206.96,0.9,FEM
VISO240624,210.94,2.1,FEM
VISO240624,213.3,1.14,FEM
VISO240624,214.74,0.14,KCHI
VISO240624,214.86,0.44,FEM
VISO240624,217.2,1.68,FEM
VISO240624,221.64,0.3,MAL
VISO240624,222.1,0.38,MAL
VISO240624,225.0,0.68,FEM
VISO240624,229.4,0.54,KCHI
VISO240624,230.2,1.68,FEM
VISO240624,231.0,0.86,KCHI
VISO240624,232.0,0.7,FEM
VISO240624,233.18,1.5,FEM
VISO240624,233.26,0.78,KCHI
VISO240624,238.8,0.88,OCH
VISO240624,241.6,0.76,OCH
VISO240624,242.88,1.36,FEM
VISO240624,247.22,1.36,FEM
VISO240624,249.06,1.46,FEM
VISO240624,251.4,1.4,FEM
VISO240624,253.84,0.58,FEM
VISO240624,254.72,0.72,KCHI
VISO240624,255.42,0.9,FEM
VISO240624,257.0,0.62,FEM
VISO240624,257.04,1.1,KCHI
VISO240624,258.7,0.16,OCH
VISO240624,260.08,0.8,FEM
VISO240624,261.84,2.58,FEM
VISO240624,264.78,2.36,FEM
VISO240624,267.68,2.78,FEM
VISO240624,267.98,1.08,KCHI
VISO240624,269.7,1.38,KCHI
VISO240624,271.0,2.0,FEM
VISO240624,273.54,1.02,FEM
VISO240624,275.22,1.3,FEM
VISO240624,276.48,0.74,KCHI
VISO240624,276.94,0.98,FEM
VISO240624,278.2,1.42,FEM
VISO240624,279.58,0.54,KCHI
VISO240624,280.26,0.5,FEM
VISO240624,281.28,1.3,FEM
VISO240624,282.58,0.6,KCHI
VISO240624,283.46,0.8,FEM
VISO240624,285.22,0.8,KCHI
VISO240624,286.12,0.92,FEM
VISO240624,287.16,0.8,FEM
VISO240624,289.18,1.28,FEM
VISO240624,289.38,0.72,KCHI
VISO240624,291.2,2.8,FEM
VISO240624,298.0,3.94,FEM
VISO240624,299.94,0.32,KCHI
VISO240624,302.48,2.64,FEM
VISO240624,306.32,0.14,MAL
VISO240624,308.42,2.82,FEM
VISO240624,311.36,0.54,OCH
VISO240624,311.88,2.48,FEM
VISO240624,314.54,1.56,FEM
VISO240624,317.58,5.76,FEM
VISO240624,318.08,0.28,KCHI
VISO240624,323.78,0.56,FEM
VISO240624,324.14,0.54,MAL
VISO240624,324.8,1.4,KCHI
VISO240624,326.2,1.78,FEM
VISO240624,328.24,1.62,FEM
VISO240624,331.68,1.24,FEM
VISO240624,334.32,2.18,FEM
VISO240624,338.9,1.44,KCHI
VISO240624,340.28,1.54,FEM
VISO240624,342.94,3.26,FEM
VISO240624,350.64,0.26,OCH
VISO240624,351.94,1.8,FEM
VISO240624,358.64,2.5,FEM
VISO240624,369.38,1.5,FEM
VISO240624,373.38,1.16,FEM
VISO240624,376.32,1.08,FEM
VISO240624,378.98,1.98,FEM
VISO240624,381.34,1.36,FEM
VISO240624,386.06,0.7,KCHI
VISO240624,387.96,0.9,FEM
VISO240624,390.94,1.8,FEM
VISO240624,395.22,1.1,OCH
VISO240624,397.68,0.32,OCH
VISO240624,399.74,0.96,FEM
VISO240624,406.28,1.62,FEM
VISO240624,411.86,1.56,FEM
VISO240624,412.56,0.42,KCHI
VISO240624,415.5,0.56,FEM
VISO240624,417.26,0.64,FEM
