uid,start_time_s,duration_s,label
ZOIB270124,0.0,4.5,FEM
ZOIB270124,4.88,2.24,FEM
ZOIB270124,7.2,0.72,MAL
ZOIB270124,7.92,1.4,FEM
ZOIB270124,11.1,0.84,FEM
ZOIB270124,21.0,1.2,FEM
ZOIB270124,22.46,0.78,FEM
ZOIB270124,26.68,1.18,FEM
ZOIB270124,28.2,0.32,FEM
ZOIB270124,31.2,0.4,FEM
ZOIB270124,39.82,3.18,FEM
ZOIB270124,44.12,2.7,FEM
ZOIB270124,47.68,0.74,FEM
ZOIB270124,48.84,0.66,FEM
ZOIB270124,51.0,1.8,FEM
ZOIB270124,53.24,0.82,FEM
ZOIB270124,55.72,0.22,FEM
ZOIB270124,58.16,1.54,FEM
ZOIB270124,71.08,1.64,FEM
ZOIB270124,83.58,3.76,FEM
ZOIB270124,120.34,0.62,FEM
ZOIB270124,121.08,0.32,FEM
ZOIB270124,121.52,0.22,FEM
ZOIB270124,121.88,1.5,FEM
ZOIB270124,139.8,0.42,FEM
ZOIB270124,145.26,0.4,FEM
ZOIB270124,153.42,1.4,FEM
ZOIB270124,154.9,0.32,KCHI
ZOIB270124,159.3,0.34,FEM
ZOIB270124,171.14,1.0,FEM
ZOIB270124,175.26,1.4,FEM
ZOIB270124,177.68,1.0,FEM
ZOIB270124,179.72,1.22,FEM
ZOIB270124,181.96,0.14,OCH
ZOIB270124,183.08,0.6,FEM
ZOIB270124,184.0,3.06,FEM
ZOIB270124,187.46,0.44,FEM
ZOIB270124,187.84,0.24,KCHI
ZOIB270124,189.3,1.74,FEM
ZOIB270124,202.84,2.54,FEM
ZOIB270124,206.96,0.48,MAL
ZOIB270124,216.1,0.16,FEM
ZOIB270124,217.9,0.86,FEM
ZOIB270124,280.66,0.16,KCHI
ZOIB270124,280.94,0.14,KCHI
ZOIB270124,282.44,0.14,KCHI
ZOIB270124,313.7,0.72,KCHI
ZOIB270124,334.8,1.48,KCHI
ZOIB270124,336.42,0.12,KCHI
ZOIB270124,353.04,1.18,FEM
ZOIB270124,392.74,0.64,FEM
ZOIB270124,394.06,1.48,FEM
ZOIB270124,396.58,1.42,FEM
ZOIB270124,398.0,0.66,KCHI
ZOIB270124,401.76,2.24,FEM
ZOIB270124,405.62,0.34,FEM
ZOIB270124,413.92,1.24,FEM
ZOIB270124,434.36,0.64,KCHI
ZOIB270124,435.66,0.96,FEM
ZOIB270124,444.8,0.4,FEM
ZOIB270124,449.22,1.42,FEM
